rosbagTimestamp,address,x_m,y_m,z_m
1545133016831606513,4,0.0,0.0,0.0
1545133016832110102,9,1.359,0.0,0.0
1545133016832136681,6,-0.014,-1.186,0.0
1545133027114947900,4,0.0,0.0,0.0
1545133027115478865,9,1.359,0.0,0.0
1545133027115525182,6,-0.014,-1.186,0.0
1545133037400030424,4,0.0,0.0,0.0
1545133037400169786,9,1.359,0.0,0.0
1545133037400347187,6,-0.014,-1.186,0.0
1545133047685357274,4,0.0,0.0,0.0
1545133047685563809,9,1.359,0.0,0.0
1545133047685583695,6,-0.014,-1.186,0.0
1545133057969338694,4,0.0,0.0,0.0
1545133057969447372,9,1.359,0.0,0.0
1545133057969464936,6,-0.014,-1.186,0.0
1545133068254179523,4,0.0,0.0,0.0
1545133068254236787,9,1.359,0.0,0.0
1545133068254261497,6,-0.014,-1.186,0.0
1545133078540182755,4,0.0,0.0,0.0
1545133078540537010,9,1.359,0.0,0.0
1545133078540565105,6,-0.014,-1.186,0.0
1545133088825016438,4,0.0,0.0,0.0
1545133088825101334,9,1.359,0.0,0.0
1545133088825118989,6,-0.014,-1.186,0.0
1545133099109896229,4,0.0,0.0,0.0
1545133099110156846,9,1.359,0.0,0.0
1545133099110222121,6,-0.014,-1.186,0.0
1545133109396711655,4,0.0,0.0,0.0
1545133109396754028,9,1.359,0.0,0.0
1545133109397258493,6,-0.014,-1.186,0.0
1545133119681751856,4,0.0,0.0,0.0
1545133119682032727,9,1.359,0.0,0.0
1545133119682222785,6,-0.014,-1.186,0.0
1545133129967874227,4,0.0,0.0,0.0
1545133129968096751,9,1.359,0.0,0.0
1545133129968119787,6,-0.014,-1.186,0.0
1545133140254096851,4,0.0,0.0,0.0
1545133140254111718,9,1.359,0.0,0.0
1545133140254197603,6,-0.014,-1.186,0.0
