rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545133011169760080,560000,0.137,-1.015,-0.072,2
1545133011170620030,560117,0.136,-1.015,-0.072,2
1545133011172561087,560234,0.136,-1.015,-0.076,2
1545133011280015406,560349,0.137,-1.015,-0.073,2
1545133011399304961,560465,0.138,-1.016,-0.073,2
1545133011516169424,560581,0.137,-1.016,-0.074,2
1545133011635507960,560698,0.137,-1.016,-0.073,2
1545133011753463506,560813,0.136,-1.015,-0.073,2
1545133011871668602,560929,0.135,-1.015,-0.075,2
1545133011989118378,561045,0.137,-1.015,-0.071,2
1545133012106869833,561162,0.137,-1.015,-0.072,2
1545133012226646250,561278,0.137,-1.015,-0.074,2
1545133012344908702,561394,0.138,-1.016,-0.071,2
1545133012580894887,561626,0.136,-1.015,-0.074,2
1545133012698538058,561742,0.136,-1.015,-0.074,2
1545133012817253179,561858,0.137,-1.016,-0.072,2
1545133012935529178,561975,0.136,-1.015,-0.073,2
1545133013053834305,562090,0.137,-1.016,-0.073,2
1545133013171239530,562207,0.136,-1.016,-0.073,2
1545133013290172923,562324,0.137,-1.016,-0.071,2
1545133013408750621,562439,0.137,-1.016,-0.072,2
1545133013526799635,562555,0.136,-1.015,-0.072,2
1545133013645402831,562671,0.137,-1.015,-0.068,2
1545133013762889151,562788,0.133,-1.014,-0.076,2
1545133013882174414,562903,0.133,-1.014,-0.073,2
1545133013998938833,563019,0.117,-1.014,-0.091,2
1545133014118398020,563136,0.113,-1.013,-0.099,2
1545133014235936894,563252,0.111,-1.014,-0.1,2
1545133014353822265,563368,0.106,-1.015,-0.108,2
1545133014472462776,563485,0.116,-1.015,-0.099,2
1545133014590800435,563601,0.113,-1.014,-0.104,2
1545133014709300607,563716,0.112,-1.015,-0.107,2
1545133014826303976,563832,0.11,-1.013,-0.111,2
1545133015063311603,564065,0.111,-1.01,-0.113,2
1545133015182013462,564180,0.113,-1.006,-0.112,2
1545133015300923643,564297,0.114,-1.001,-0.11,2
1545133015417809101,564415,0.118,-0.999,-0.108,2
1545133015535566788,564530,0.119,-0.998,-0.105,2
1545133015654993420,564646,0.118,-0.998,-0.107,2
1545133015772184834,564762,0.119,-0.998,-0.108,2
1545133015890902505,564879,0.111,-0.997,-0.116,2
1545133016008259975,564994,0.087,-0.997,-0.132,2
1545133016246292032,565226,0.056,-0.996,-0.153,2
1545133016364396891,565343,0.052,-0.996,-0.156,2
