rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545133011170611300,5,560234,0.136,-1.015,-0.076,2
1545133011279993332,5,560349,0.137,-1.015,-0.073,2
1545133011399281786,5,560465,0.138,-1.016,-0.073,2
1545133011516112085,5,560581,0.137,-1.016,-0.074,2
1545133011635455327,5,560698,0.137,-1.016,-0.073,2
1545133011753456697,5,560813,0.136,-1.015,-0.073,2
1545133011871574929,5,560929,0.135,-1.015,-0.075,2
1545133011989054667,5,561045,0.137,-1.015,-0.071,2
1545133012106857894,5,561162,0.137,-1.015,-0.072,2
1545133012226635389,5,561278,0.137,-1.015,-0.074,2
1545133012344884634,5,561394,0.138,-1.016,-0.071,2
1545133012580841088,5,561626,0.136,-1.015,-0.074,2
1545133012698439922,5,561742,0.136,-1.015,-0.074,2
1545133012817172928,5,561858,0.137,-1.016,-0.072,2
1545133012935494977,5,561975,0.136,-1.015,-0.073,2
1545133013053845210,5,562090,0.137,-1.016,-0.073,2
1545133013171245741,5,562207,0.136,-1.016,-0.073,2
1545133013290096755,5,562324,0.137,-1.016,-0.071,2
1545133013408722968,5,562439,0.137,-1.016,-0.072,2
1545133013526744495,5,562555,0.136,-1.015,-0.072,2
1545133013645415873,5,562671,0.137,-1.015,-0.068,2
1545133013762868586,5,562788,0.133,-1.014,-0.076,2
1545133013881868227,5,562903,0.133,-1.014,-0.073,2
1545133013998933960,5,563019,0.117,-1.014,-0.091,2
1545133014118406763,5,563136,0.113,-1.013,-0.099,2
1545133014235909456,5,563252,0.111,-1.014,-0.1,2
1545133014353660066,5,563368,0.106,-1.015,-0.108,2
1545133014472439611,5,563485,0.116,-1.015,-0.099,2
1545133014590695611,5,563601,0.113,-1.014,-0.104,2
1545133014709241425,5,563716,0.112,-1.015,-0.107,2
1545133014826282719,5,563832,0.11,-1.013,-0.111,2
1545133015063276413,5,564065,0.111,-1.01,-0.113,2
1545133015182104971,5,564180,0.113,-1.006,-0.112,2
1545133015300874806,5,564297,0.114,-1.001,-0.11,2
1545133015417792240,5,564415,0.118,-0.999,-0.108,2
1545133015535432438,5,564530,0.119,-0.998,-0.105,2
1545133015654629094,5,564646,0.118,-0.998,-0.107,2
1545133015772187304,5,564762,0.119,-0.998,-0.108,2
1545133015890871213,5,564879,0.111,-0.997,-0.116,2
1545133016008189710,5,564994,0.087,-0.997,-0.132,2
1545133016245600877,5,565226,0.056,-0.996,-0.153,2
1545133016364378924,5,565343,0.052,-0.996,-0.156,2
1545133016481279833,5,565459,0.066,-0.995,-0.148,2
1545133016599034603,5,565575,0.074,-0.995,-0.143,2
1545133016718454289,5,565692,0.077,-0.995,-0.141,2
1545133016954233306,5,565923,0.078,-0.992,-0.142,2
1545133017072442465,5,566039,0.078,-0.987,-0.147,2
1545133017191327615,5,566156,0.078,-0.981,-0.15,2
1545133017309879206,5,566271,0.081,-0.973,-0.15,2
1545133017427796013,5,566388,0.088,-0.964,-0.148,2
1545133017545690520,5,566505,0.098,-0.955,-0.146,2
1545133017663705700,5,566620,0.106,-0.943,-0.15,2
1545133017783093337,5,566736,0.111,-0.93,-0.164,2
1545133017900480451,5,566852,0.115,-0.919,-0.166,2
1545133018018430785,5,566969,0.117,-0.909,-0.163,2
1545133018136943390,5,567084,0.121,-0.901,-0.151,2
1545133018254696991,5,567200,0.125,-0.895,-0.132,2
1545133018375224239,5,567317,0.127,-0.889,-0.125,2
1545133018491147877,5,567433,0.13,-0.883,-0.12,2
1545133018609319539,5,567549,0.13,-0.876,-0.116,2
1545133018727343537,5,567665,0.131,-0.869,-0.112,2
1545133018847443385,5,567782,0.131,-0.862,-0.11,2
1545133018964354932,5,567897,0.13,-0.855,-0.108,2
1545133019082817698,5,568013,0.129,-0.847,-0.106,2
1545133019200217048,5,568130,0.126,-0.838,-0.104,2
1545133019318380685,5,568246,0.127,-0.834,-0.114,2
1545133019438028553,5,568361,0.137,-0.837,-0.134,2
1545133019555425829,5,568478,0.147,-0.841,-0.159,2
1545133019674290654,5,568595,0.145,-0.828,-0.155,2
1545133019909398628,5,568826,0.137,-0.809,-0.138,2
1545133020028987602,5,568943,0.122,-0.782,-0.106,2
1545133020146880464,5,569059,0.107,-0.753,-0.094,2
1545133020264404151,5,569174,0.107,-0.74,-0.11,2
1545133020383346795,5,569290,0.108,-0.727,-0.132,2
1545133020501104397,5,569407,0.109,-0.712,-0.163,2
1545133020618994727,5,569524,0.109,-0.698,-0.176,2
1545133020737388364,5,569640,0.11,-0.681,-0.198,2
1545133020862656599,5,569756,0.112,-0.66,-0.224,2
1545133020973952117,5,569873,0.114,-0.65,-0.217,2
1545133021211691929,5,570104,0.117,-0.641,-0.191,2
1545133021328130803,5,570220,0.119,-0.632,-0.169,2
1545133021446668804,5,570337,0.122,-0.629,-0.123,2
1545133021564526340,5,570452,0.124,-0.617,-0.103,2
1545133021801643203,5,570686,0.125,-0.602,-0.088,2
1545133021919339338,5,570801,0.127,-0.59,-0.056,2
1545133022274394815,5,571150,0.128,-0.559,-0.089,2
1545133022392777017,5,571265,0.127,-0.523,-0.132,2
1545133022628263290,5,571497,0.124,-0.504,-0.132,2
1545133022747345292,5,571614,0.118,-0.484,-0.144,2
1545133022865220411,5,571730,0.111,-0.479,-0.114,2
1545133022983570631,5,571846,0.103,-0.477,-0.079,2
1545133023101092690,5,571963,0.1,-0.462,-0.094,2
1545133023219306934,5,572078,0.1,-0.448,-0.101,2
1545133023337122096,5,572194,0.092,-0.436,-0.109,2
1545133023574366567,5,572427,0.086,-0.42,-0.116,2
1545133023810759674,5,572659,0.088,-0.4,-0.117,2
1545133024047302288,5,572891,0.089,-0.376,-0.12,2
1545133024166017226,5,573007,0.103,-0.351,-0.109,2
1545133024283250415,5,573123,0.117,-0.33,-0.095,2
1545133024519308219,5,573355,0.122,-0.31,-0.091,2
1545133024638806562,5,573471,0.126,-0.292,-0.085,2
1545133024756340074,5,573588,0.129,-0.276,-0.08,2
1545133024873947407,5,573704,0.132,-0.26,-0.074,2
1545133024992915654,5,573820,0.133,-0.247,-0.068,2
1545133025230711904,5,574053,0.133,-0.223,-0.069,2
