rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags,angle
1545133011167439685,5,558838,0.134,-1.015,-0.073,2,0.0
1545133011167543331,5,558955,0.135,-1.015,-0.071,2,0.0
1545133011167590138,5,559072,0.135,-1.015,-0.072,2,0.0
1545133011167634081,5,559188,0.134,-1.016,-0.076,2,0.0
1545133011169146764,5,559304,0.136,-1.017,-0.075,2,0.0
1545133011169252287,5,559421,0.136,-1.016,-0.075,2,0.0
1545133011169520589,5,559652,0.137,-1.016,-0.074,2,0.0
1545133011169637790,5,559768,0.137,-1.015,-0.071,2,0.0
1545133011169737997,5,560000,0.137,-1.015,-0.072,2,0.0
1545133011169792171,5,560117,0.136,-1.015,-0.072,2,0.0
1545133011170571309,5,560234,0.136,-1.015,-0.076,2,0.0
1545133011279995317,5,560349,0.137,-1.015,-0.073,2,0.0
1545133011399389020,5,560465,0.138,-1.016,-0.073,2,0.0
1545133011516052456,5,560581,0.137,-1.016,-0.074,2,0.0
1545133011635519846,5,560698,0.137,-1.016,-0.073,2,0.0
1545133011753385706,5,560813,0.136,-1.015,-0.073,2,0.0
1545133011871548962,5,560929,0.135,-1.015,-0.075,2,0.0
1545133011989041210,5,561045,0.137,-1.015,-0.071,2,0.0
1545133012106822946,5,561162,0.137,-1.015,-0.072,2,0.0
1545133012226587852,5,561278,0.137,-1.015,-0.074,2,0.0
1545133012344738342,5,561394,0.138,-1.016,-0.071,2,0.0
1545133012580812755,5,561626,0.136,-1.015,-0.074,2,0.0
1545133012698435654,5,561742,0.136,-1.015,-0.074,2,0.0
1545133012817157339,5,561858,0.137,-1.016,-0.072,2,0.0
1545133012935394296,5,561975,0.136,-1.015,-0.073,2,0.0
1545133013053760963,5,562090,0.137,-1.016,-0.073,2,0.0
1545133013171183042,5,562207,0.136,-1.016,-0.073,2,0.0
1545133013290012190,5,562324,0.137,-1.016,-0.071,2,0.0
1545133013408571826,5,562439,0.137,-1.016,-0.072,2,0.0
1545133013526367866,5,562555,0.136,-1.015,-0.072,2,0.0
1545133013645382291,5,562671,0.137,-1.015,-0.068,2,0.0
1545133013762840850,5,562788,0.133,-1.014,-0.076,2,0.0
1545133013881839780,5,562903,0.133,-1.014,-0.073,2,0.0
1545133013998923352,5,563019,0.117,-1.014,-0.091,2,0.0
1545133014118188235,5,563136,0.113,-1.013,-0.099,2,0.0
1545133014235897707,5,563252,0.111,-1.014,-0.1,2,0.0
1545133014353642279,5,563368,0.106,-1.015,-0.108,2,0.0
1545133014472357642,5,563485,0.116,-1.015,-0.099,2,0.0
1545133014590679029,5,563601,0.113,-1.014,-0.104,2,0.0
1545133014709145663,5,563716,0.112,-1.015,-0.107,2,0.0
1545133014826203866,5,563832,0.11,-1.013,-0.111,2,0.0
1545133015063274944,5,564065,0.111,-1.01,-0.113,2,0.0
1545133015181562445,5,564180,0.113,-1.006,-0.112,2,0.0
1545133015300855201,5,564297,0.114,-1.001,-0.11,2,0.0
1545133015417760257,5,564415,0.118,-0.999,-0.108,2,0.0
1545133015535401896,5,564530,0.119,-0.998,-0.105,2,0.0
1545133015654600607,5,564646,0.118,-0.998,-0.107,2,0.0
1545133015772140659,5,564762,0.119,-0.998,-0.108,2,0.0
1545133015890772872,5,564879,0.111,-0.997,-0.116,2,0.0
1545133016008191331,5,564994,0.087,-0.997,-0.132,2,0.0
1545133016245366190,5,565226,0.056,-0.996,-0.153,2,0.0
1545133016364329055,5,565343,0.052,-0.996,-0.156,2,0.0
1545133016481105166,5,565459,0.066,-0.995,-0.148,2,0.0
1545133016599012394,5,565575,0.074,-0.995,-0.143,2,0.0
1545133016718425896,5,565692,0.077,-0.995,-0.141,2,0.0
1545133016954218497,5,565923,0.078,-0.992,-0.142,2,0.0
1545133017072387089,5,566039,0.078,-0.987,-0.147,2,0.0
1545133017191312077,5,566156,0.078,-0.981,-0.15,2,0.0
1545133017309629487,5,566271,0.081,-0.973,-0.15,2,0.0
1545133017427754233,5,566388,0.088,-0.964,-0.148,2,0.0
1545133017545584775,5,566505,0.098,-0.955,-0.146,2,0.0
1545133017663624049,5,566620,0.106,-0.943,-0.15,2,0.0
1545133017783062363,5,566736,0.111,-0.93,-0.164,2,0.0
1545133017900484299,5,566852,0.115,-0.919,-0.166,2,0.0
1545133018018309786,5,566969,0.117,-0.909,-0.163,2,0.0
1545133018136901199,5,567084,0.121,-0.901,-0.151,2,0.0
1545133018254688340,5,567200,0.125,-0.895,-0.132,2,0.0
1545133018375202405,5,567317,0.127,-0.889,-0.125,2,0.0
1545133018491104721,5,567433,0.13,-0.883,-0.12,2,0.0
1545133018609288070,5,567549,0.13,-0.876,-0.116,2,0.0
1545133018727291943,5,567665,0.131,-0.869,-0.112,2,0.0
1545133018847414059,5,567782,0.131,-0.862,-0.11,2,0.0
1545133018964331277,5,567897,0.13,-0.855,-0.108,2,0.0
1545133019082789573,5,568013,0.129,-0.847,-0.106,2,0.0
1545133019200132322,5,568130,0.126,-0.838,-0.104,2,0.0
1545133019318316735,5,568246,0.127,-0.834,-0.114,2,0.0
1545133019437874968,5,568361,0.137,-0.837,-0.134,2,0.0
1545133019555370537,5,568478,0.147,-0.841,-0.159,2,0.0
1545133019674281793,5,568595,0.145,-0.828,-0.155,2,0.0
1545133019909391235,5,568826,0.137,-0.809,-0.138,2,0.0
1545133020028947247,5,568943,0.122,-0.782,-0.106,2,0.0
1545133020146723547,5,569059,0.107,-0.753,-0.094,2,0.0
1545133020264379118,5,569174,0.107,-0.74,-0.11,2,0.0
1545133020383329708,5,569290,0.108,-0.727,-0.132,2,0.0
1545133020501084137,5,569407,0.109,-0.712,-0.163,2,0.0
1545133020618957685,5,569524,0.109,-0.698,-0.176,2,0.0
1545133020737327658,5,569640,0.11,-0.681,-0.198,2,0.0
1545133020862638272,5,569756,0.112,-0.66,-0.224,2,0.0
1545133020973928273,5,569873,0.114,-0.65,-0.217,2,0.0
1545133021211656647,5,570104,0.117,-0.641,-0.191,2,0.0
1545133021328067984,5,570220,0.119,-0.632,-0.169,2,0.0
1545133021446637020,5,570337,0.122,-0.629,-0.123,2,0.0
1545133021564509045,5,570452,0.124,-0.617,-0.103,2,0.0
1545133021801608169,5,570686,0.125,-0.602,-0.088,2,0.0
1545133021919240268,5,570801,0.127,-0.59,-0.056,2,0.0
1545133022274363136,5,571150,0.128,-0.559,-0.089,2,0.0
1545133022392771274,5,571265,0.127,-0.523,-0.132,2,0.0
1545133022628220676,5,571497,0.124,-0.504,-0.132,2,0.0
1545133022747323443,5,571614,0.118,-0.484,-0.144,2,0.0
1545133022865164678,5,571730,0.111,-0.479,-0.114,2,0.0
1545133022983507445,5,571846,0.103,-0.477,-0.079,2,0.0
1545133023101076269,5,571963,0.1,-0.462,-0.094,2,0.0
1545133023219305496,5,572078,0.1,-0.448,-0.101,2,0.0
1545133023337100755,5,572194,0.092,-0.436,-0.109,2,0.0
1545133023574268286,5,572427,0.086,-0.42,-0.116,2,0.0
1545133023810707933,5,572659,0.088,-0.4,-0.117,2,0.0
1545133024047285871,5,572891,0.089,-0.376,-0.12,2,0.0
1545133024165942604,5,573007,0.103,-0.351,-0.109,2,0.0
1545133024283205707,5,573123,0.117,-0.33,-0.095,2,0.0
1545133024519245235,5,573355,0.122,-0.31,-0.091,2,0.0
1545133024638782861,5,573471,0.126,-0.292,-0.085,2,0.0
1545133024756331217,5,573588,0.129,-0.276,-0.08,2,0.0
1545133024873932582,5,573704,0.132,-0.26,-0.074,2,0.0
1545133024992884237,5,573820,0.133,-0.247,-0.068,2,0.0
1545133025230538165,5,574053,0.133,-0.223,-0.069,2,0.0
1545133025347416329,5,574168,0.132,-0.211,-0.078,2,0.0
1545133025465703796,5,574284,0.132,-0.2,-0.086,2,0.0
1545133025583659173,5,574401,0.132,-0.189,-0.097,2,0.0
1545133025702761305,5,574517,0.133,-0.182,-0.111,2,0.0
1545133025820728768,5,574632,0.136,-0.176,-0.122,2,0.0
1545133025938705439,5,574749,0.138,-0.173,-0.128,2,0.0
1545133026056798072,5,574867,0.142,-0.17,-0.131,2,0.0
1545133026174455785,5,574982,0.146,-0.169,-0.122,2,0.0
1545133026294163688,5,575098,0.145,-0.148,-0.15,2,0.0
1545133026410728910,5,575214,0.147,-0.146,-0.134,2,0.0
1545133026529137234,5,575331,0.15,-0.146,-0.112,2,0.0
1545133026647893969,5,575446,0.15,-0.144,-0.097,2,0.0
1545133026764982264,5,575562,0.155,-0.163,-0.046,2,0.0
1545133026884581459,5,575678,0.156,-0.164,-0.037,2,0.0
1545133027120235279,5,575911,0.156,-0.164,-0.039,2,0.0
