rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1545133011166020823,,0,,1545133008,171763587,"""imu_link""",,0.4926630468,0.5166650963,-0.4638605874,0.5245874511,"[0.0020408835262060165, -0.000996698741801083, -0.0007037598988972604, -0.0009966986253857613, 0.0034660950768738985, 0.0013484880328178406, -0.000703759549651295, 0.001348485006019473, 0.002451155334711075]",,-0.00106526519961,0.00106526519961,-0.0,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.37954142,-0.04850253,-0.1077834,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133011166087489,,1,,1545133008,224741066,"""imu_link""",,0.4932672942,0.517302913,-0.4643976962,0.5252588371,"[0.002039888873696327, -0.0009961128234863281, -0.0007029125699773431, -0.000996113638393581, 0.003466929541900754, 0.001348333084024489, -0.0007029117550700903, 0.0013483305228874087, 0.002450360683724284]",,0.0,0.0,-0.00106526519961,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.30050026,-0.11856174,-0.01976029,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133011166108810,,2,,1545133008,275835751,"""imu_link""",,0.4926294775,0.5166650963,-0.4638605874,0.5245874511,"[0.00204577948898077, -0.0009964335476979613, -0.0007033889414742589, -0.000996433780528605, 0.003471767995506525, 0.0013484139926731586, -0.0007033881265670061, 0.0013484115479514003, 0.0024561460595577955]",,0.0,0.0,-0.0,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.28073997,-0.22634514,-0.01976029,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133011166189549,,3,,1545133008,326668461,"""imu_link""",,0.4925623389,0.5166986656,-0.4638605874,0.5246210204,"[0.0020445294212549925, -0.000997407827526331, -0.0007047755061648786, -0.0009974079439416528, 0.0034675393253564835, 0.0013486586976796389, -0.000704774574842304, 0.0013486560201272368, 0.0024545362684875727]",,0.00106526519961,0.00106526519961,-0.0,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.17295657,0.03952058,-0.03952058,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133011166201633,,4,,1545133008,376535252,"""imu_link""",,0.4925959082,0.5166986656,-0.4638270181,0.5246545897,"[0.002044601831585169, -0.0009969157399609685, -0.0007039898191578686, -0.0009969162056222558, 0.0034692357294261456, 0.0013484418159350753, -0.0007039887132123113, 0.001348439371213317, 0.0024546447675675154]",,0.00213053039923,0.00213053039923,-0.0,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.25199773,-0.02874224,-0.1077834,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133011166243967,,5,,1545133008,425402185,"""imu_link""",,0.4925959082,0.5166650963,-0.4638270181,0.524688159,"[0.0020435790065675974, -0.0009963162010535598, -0.0007031605928204954, -0.000996316783130169, 0.0034698876552283764, 0.001348251709714532, -0.0007031597197055817, 0.0013482491485774517, 0.0024538130965083838]",,0.00106526519961,0.00106526519961,-0.0,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.25199773,-0.05928087,0.08802311,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133011166272111,,6,,1545133008,476355494,"""imu_link""",,0.4932337249,0.5172693437,-0.4643976962,0.5253259757,"[0.0020425792317837477, -0.0009957373840734363, -0.0007023459766060114, -0.000995738198980689, 0.0034704844001680613, 0.0013480314519256353, -0.0007023450452834368, 0.001348029007203877, 0.002452948596328497]",,0.00106526519961,0.0,-0.0,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.35079918,-0.1077834,-0.02874224,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133011166324711,,7,,1545133008,528834789,"""imu_link""",,0.4925287696,0.5166650963,-0.4638941567,0.5246545897,"[0.0020452034659683704, -0.000997633207589388, -0.0007050321437418461, -0.0009976342553272843, 0.003467297414317727, 0.0013484809314832091, -0.0007050311542116106, 0.0013484781375154853, 0.0024548342917114496]",,0.0,0.00106526519961,-0.0,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.35079918,-0.05928087,-0.03952058,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133011166342289,,8,,1545133008,580692593,"""imu_link""",,0.4924952003,0.5166650963,-0.4638605874,0.5247217283,"[0.002044128719717264, -0.0009969896636903286, -0.0007041651988402009, -0.0009969905950129032, 0.003468085080385208, 0.0013483531074598432, -0.000704164442140609, 0.0013483504299074411, 0.0024540622252970934]",,-0.00213053039923,0.0,-0.00106526519961,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.27175802,-0.11856174,0.03952058,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133011166369903,,9,,1545133008,628316794,"""imu_link""",,0.492461631,0.5166986656,-0.4638605874,0.5247217283,"[0.0020449566654860973, -0.0009962754556909204, -0.0007032667053863406, -0.0009962768526747823, 0.0034709079191088676, 0.001348287332803011, -0.0007032661815173924, 0.0013482851209118962, 0.002455343957990408]",,-0.00106526519961,0.00106526519961,-0.0,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.19271686,-0.07904116,-0.09880145,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
