rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545136351465738461,135067,0.143,-0.127,-0.11,2
1545136351466092978,135184,0.143,-0.129,-0.109,2
1545136351482572377,135300,0.143,-0.13,-0.109,2
1545136351601100427,135415,0.143,-0.131,-0.109,2
1545136351718601512,135531,0.143,-0.131,-0.108,2
1545136351837588909,135648,0.143,-0.13,-0.108,2
1545136351956714980,135763,0.142,-0.129,-0.109,2
1545136352073638367,135880,0.143,-0.129,-0.109,2
1545136352192739958,135997,0.143,-0.129,-0.109,2
1545136352310830933,136114,0.142,-0.127,-0.111,2
1545136352428966913,136229,0.141,-0.128,-0.11,2
1545136352546628964,136345,0.141,-0.129,-0.11,2
1545136352783998289,136578,0.143,-0.129,-0.11,2
1545136352901950209,136693,0.143,-0.13,-0.111,2
1545136353020664207,136809,0.143,-0.129,-0.111,2
1545136353138215715,136927,0.141,-0.13,-0.111,2
1545136353255607514,137042,0.142,-0.129,-0.112,2
1545136353374920420,137158,0.142,-0.127,-0.111,2
1545136353492539704,137274,0.142,-0.127,-0.112,2
1545136353610634844,137391,0.143,-0.126,-0.111,2
1545136353728421608,137506,0.143,-0.127,-0.109,2
1545136353848015772,137622,0.143,-0.128,-0.108,2
1545136353966403702,137738,0.142,-0.129,-0.107,2
1545136354083962519,137855,0.143,-0.129,-0.107,2
1545136354201865665,137971,0.142,-0.129,-0.109,2
1545136354320865305,138087,0.142,-0.128,-0.111,2
1545136354439575533,138204,0.142,-0.127,-0.11,2
1545136354556578953,138319,0.144,-0.126,-0.11,2
1545136354675158272,138435,0.149,-0.124,-0.107,2
1545136354794093623,138551,0.158,-0.121,-0.104,2
1545136355030896397,138783,0.19,-0.11,-0.105,2
1545136355148336274,138899,0.208,-0.105,-0.109,2
1545136355265510199,139017,0.227,-0.101,-0.111,2
1545136355384766660,139132,0.244,-0.1,-0.116,2
1545136355503331885,139248,0.26,-0.099,-0.13,2
1545136355621291320,139364,0.272,-0.096,-0.121,2
1545136355739422986,139481,0.285,-0.095,-0.12,2
1545136355858213661,139596,0.299,-0.093,-0.116,2
1545136355976351710,139712,0.312,-0.091,-0.103,2
1545136356096053936,139828,0.326,-0.091,-0.113,2
1545136356212253473,139945,0.34,-0.091,-0.114,2
1545136356329753361,140061,0.351,-0.09,-0.116,2
1545136356449208530,140177,0.362,-0.089,-0.115,2
1545136356567033629,140294,0.372,-0.088,-0.114,2
1545136356685170698,140409,0.382,-0.086,-0.115,2
1545136356802725429,140525,0.392,-0.086,-0.116,2
1545136356920863441,140641,0.404,-0.085,-0.116,2
1545136357040170993,140758,0.417,-0.086,-0.119,2
1545136357159225544,140873,0.427,-0.087,-0.117,2
1545136357276196117,140989,0.434,-0.087,-0.115,2
1545136357393811895,141106,0.437,-0.087,-0.115,2
