rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1545138197129023078,,96,,1545138194,921206619,"""imu_link""",,0.0597197847,0.054382266,0.9307759811,0.3565395353,"[0.0019580370280891657, -0.00031828746432438493, -0.0003645384276751429, -0.00031828763894736767, 0.0017373586306348443, 0.0002608074573799968, -0.00036453871871344745, 0.00026080795214511454, 0.0018335225759074092]",,0.00213053039923,0.00213053039923,0.0703075031745,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-0.20658485,0.02874224,10.08493346,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545138197129092466,,97,,1545138194,971989414,"""imu_link""",,0.0598540619,0.0545165432,0.9318166294,0.3572780599,"[0.001958731561899185, -0.0003189916315022856, -0.000365347892511636, -0.0003189917479176074, 0.0017378011252731085, 0.00026146313757635653, -0.00036534812534227967, 0.0002614635450299829, 0.0018340474925935268]",,0.00106526519961,-0.00319579559884,0.0703075031745,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-0.15628593,-0.04850253,9.90888724,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545138197129286576,,98,,1545138195,23079861,"""imu_link""",,0.0598204926,0.0543486967,0.9307759811,0.3565731046,"[0.001963991206139326, -0.0003185809182468802, -0.00036520016146823764, -0.00031858100555837154, 0.0017426491249352694, 0.0002610808296594769, -0.0003652003069873899, 0.00026108112069778144, 0.0018393046921119094]",,0.00106526519961,-0.00319579559884,0.0692422379749,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-0.3233502,-0.02874224,9.93762948,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545138197129326134,,99,,1545138195,71686087,"""imu_link""",,0.0597197847,0.0541808502,0.9306752732,0.356841659,"[0.0019596361089497805, -0.0003174997109454125, -0.00036531477235257626, -0.00031749968184158206, 0.0017391886794939637, 0.00026121357223019004, -0.0003653150924947113, 0.00026121389237232506, 0.0018381314584985375]",,0.00213053039923,-0.00532632599807,0.0692422379749,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-0.22634514,-0.11856174,9.8981089,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545138197129438052,,100,,1545138195,124201105,"""imu_link""",,0.0598876312,0.0541472809,0.9305745653,0.3571102134,"[0.001961603295058012, -0.0003182752407155931, -0.0003662241797428578, -0.00031827512430027127, 0.0017405322287231684, 0.00026180860004387796, -0.0003662245871964842, 0.000261808920186013, 0.0018395459046587348]",,0.00213053039923,-0.00745685639729,0.0703075031745,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-0.19580651,-0.00898195,10.00768869,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545138197129506926,,101,,1545138195,172710388,"""imu_link""",,0.0600554777,0.0541472809,0.9304402881,0.3573787678,"[0.001962580718100071, -0.0003190416900906712, -0.00036713879671879113, -0.00031904157367534935, 0.0017408854328095913, 0.0002624048793222755, -0.00036713917506858706, 0.0002624052867759019, 0.0018399955006316304]",,0.00106526519961,-0.00532632599807,0.0703075031745,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-0.23532709,-0.18682456,10.0957118,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545138197129560303,,102,,1545138195,223765913,"""imu_link""",,0.0602233242,0.0541808502,0.9314809364,0.3581508617,"[0.001962444046512246, -0.0003197906771674752, -0.00036809383891522884, -0.0003197906771674752, 0.0017402807716280222, 0.0002630867238622159, -0.0003680942754726857, 0.00026308721862733364, 0.0018396105151623487]",,0.00106526519961,-0.00532632599807,0.0703075031745,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-0.20658485,-0.07904116,10.02565259,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545138197129627720,,103,,1545138195,275916985,"""imu_link""",,0.0599547698,0.0538451572,0.9304402881,0.357513045,"[0.001959530171006918, -0.00031757738906890154, -0.0003672150778584182, -0.000317577418172732, 0.0017382883233949542, 0.00026222201995551586, -0.00036721533979289234, 0.00026222263113595545, 0.0018402347341179848]",,0.00106526519961,-0.00639159119768,0.0703075031745,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-0.25508738,-0.15628593,10.00768869,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545138197129704604,,104,,1545138195,325235078,"""imu_link""",,0.060089047,0.0538451572,0.9303395802,0.3577480301,"[0.001959565095603466, -0.00031834401306696236, -0.0003680992522276938, -0.00031834401306696236, 0.0017377010080963373, 0.00026279722806066275, -0.00036809968878515065, 0.0002627977228257805, 0.0018396875821053982]",,0.00213053039923,-0.00639159119768,0.0692422379749,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-0.23532709,-0.13652564,10.01667064,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545138197129777837,,105,,1545138195,375362242,"""imu_link""",,0.0602568935,0.0539122958,0.9302388723,0.3579158766,"[0.001962583977729082, -0.0003191163996234536, -0.00036897591780871153, -0.0003191163996234536, 0.0017401366494596004, 0.0002633851836435497, -0.0003689764125738293, 0.000263385649304837, 0.001842148252762854]",,0.00106526519961,-0.00532632599807,0.0692422379749,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-0.25508738,0.20658485,9.88912695,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
