rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545149545084521803,5,134666,0.128,-0.802,-0.161,2
1545149545202647951,5,134783,0.129,-0.802,-0.159,2
1545149545322112483,5,134899,0.128,-0.801,-0.16,2
1545149545439454646,5,135015,0.128,-0.802,-0.16,2
1545149545558489485,5,135132,0.128,-0.801,-0.162,2
1545149545675909918,5,135248,0.128,-0.801,-0.163,2
1545149545911612743,5,135479,0.128,-0.803,-0.164,2
1545149546029577804,5,135596,0.131,-0.807,-0.168,2
1545149546149420384,5,135712,0.134,-0.809,-0.173,2
1545149546266292132,5,135827,0.136,-0.808,-0.175,2
1545149546384357958,5,135944,0.135,-0.798,-0.171,2
1545149546502270903,5,136062,0.131,-0.788,-0.168,2
1545149546620610435,5,136177,0.129,-0.777,-0.162,2
1545149546738865924,5,136293,0.126,-0.767,-0.159,2
1545149546857452650,5,136409,0.126,-0.758,-0.157,2
1545149546975591206,5,136526,0.125,-0.747,-0.152,2
1545149547094045745,5,136641,0.124,-0.736,-0.149,2
1545149547212961216,5,136757,0.123,-0.726,-0.148,2
1545149547329508480,5,136874,0.122,-0.717,-0.146,2
1545149547447512083,5,136990,0.121,-0.705,-0.144,2
1545149547565222963,5,137106,0.121,-0.693,-0.139,2
1545149547684481225,5,137222,0.12,-0.682,-0.134,2
1545149547802296924,5,137339,0.119,-0.671,-0.129,2
1545149547920685478,5,137454,0.119,-0.66,-0.127,2
1545149548039088087,5,137570,0.118,-0.647,-0.127,2
1545149548156385694,5,137687,0.118,-0.635,-0.128,2
1545149548275493774,5,137803,0.117,-0.622,-0.129,2
1545149548393240616,5,137918,0.116,-0.609,-0.133,2
1545149548511514219,5,138035,0.114,-0.598,-0.133,2
1545149548747276838,5,138267,0.114,-0.584,-0.131,2
1545149548865260045,5,138383,0.113,-0.57,-0.129,2
1545149548983909490,5,138500,0.113,-0.557,-0.122,2
1545149549101209014,5,138616,0.114,-0.544,-0.12,2
1545149549219922838,5,138731,0.114,-0.532,-0.115,2
1545149549338694912,5,138847,0.115,-0.519,-0.109,2
1545149549457777510,5,138964,0.116,-0.509,-0.107,2
1545149549574920371,5,139080,0.115,-0.5,-0.101,2
1545149549692634355,5,139196,0.115,-0.491,-0.101,2
1545149549810791708,5,139313,0.114,-0.481,-0.1,2
1545149549928994706,5,139429,0.112,-0.469,-0.096,2
1545149550047213737,5,139544,0.111,-0.456,-0.095,2
1545149550165301890,5,139660,0.11,-0.445,-0.089,2
1545149550283455070,5,139777,0.11,-0.434,-0.089,2
1545149550401947562,5,139893,0.11,-0.425,-0.084,2
1545149550521019754,5,140008,0.11,-0.416,-0.079,2
1545149550637401953,5,140126,0.111,-0.407,-0.081,2
1545149550873102760,5,140357,0.111,-0.397,-0.08,2
1545149550992855279,5,140473,0.112,-0.385,-0.084,2
1545149551110478007,5,140590,0.113,-0.372,-0.086,2
1545149551228258360,5,140706,0.114,-0.357,-0.085,2
1545149551346923883,5,140821,0.116,-0.341,-0.087,2
1545149551464478489,5,140937,0.118,-0.326,-0.086,2
1545149551584188225,5,141054,0.12,-0.312,-0.085,2
1545149551701355765,5,141171,0.121,-0.299,-0.085,2
1545149551819652359,5,141287,0.123,-0.287,-0.083,2
1545149552055389526,5,141520,0.125,-0.269,-0.085,2
1545149552173762541,5,141635,0.128,-0.25,-0.087,2
1545149552291578922,5,141751,0.131,-0.232,-0.092,2
1545149552410420669,5,141867,0.132,-0.215,-0.096,2
1545149552765385292,5,142216,0.134,-0.199,-0.099,2
1545149552882707553,5,142333,0.137,-0.182,-0.104,2
1545149553001032317,5,142448,0.14,-0.167,-0.111,2
1545149553118399114,5,142564,0.143,-0.153,-0.117,2
1545149553237691007,5,142680,0.145,-0.146,-0.121,2
1545149553355450914,5,142797,0.145,-0.139,-0.123,2
1545149553473569799,5,142912,0.149,-0.137,-0.146,2
1545149553591242281,5,143028,0.154,-0.136,-0.172,2
1545149553947294895,5,143377,0.158,-0.136,-0.194,2
1545149554065736828,5,143493,0.163,-0.14,-0.222,2
1545149554773617139,5,144189,0.164,-0.141,-0.226,2
1545149554891816715,5,144307,0.164,-0.141,-0.226,2
1545149555010526828,5,144423,0.161,-0.138,-0.205,2
1545149555127221990,5,144538,0.154,-0.136,-0.177,2
1545149555245955811,5,144654,0.146,-0.134,-0.152,2
1545149555365828639,5,144771,0.138,-0.133,-0.128,2
1545149555482445171,5,144887,0.138,-0.142,-0.123,2
1545149555836586792,5,145235,0.145,-0.145,-0.121,2
1545149555955134346,5,145351,0.151,-0.146,-0.121,2
1545149556072588096,5,145467,0.154,-0.146,-0.122,2
1545149556191076605,5,145584,0.154,-0.141,-0.131,2
1545149556309931222,5,145700,0.149,-0.144,-0.142,2
1545149556428009699,5,145815,0.144,-0.147,-0.142,2
1545149556664019800,5,146048,0.141,-0.15,-0.141,2
1545149556782082128,5,146164,0.138,-0.151,-0.139,2
1545149556900662886,5,146279,0.136,-0.152,-0.134,2
1545149557019063083,5,146396,0.139,-0.151,-0.137,2
1545149557137547067,5,146514,0.142,-0.147,-0.138,2
1545149557254739702,5,146629,0.145,-0.145,-0.141,2
1545149557373106056,5,146745,0.146,-0.143,-0.147,2
1545149557490945293,5,146861,0.144,-0.144,-0.148,2
1545149557608852887,5,146978,0.143,-0.147,-0.15,2
1545149557728024298,5,147093,0.141,-0.149,-0.147,2
1545149557845461991,5,147209,0.141,-0.149,-0.141,2
1545149557963964423,5,147325,0.142,-0.148,-0.133,2
1545149558081204345,5,147442,0.145,-0.149,-0.126,2
1545149558200638604,5,147558,0.151,-0.15,-0.123,2
1545149558318856528,5,147674,0.158,-0.15,-0.12,2
1545149558437036391,5,147791,0.166,-0.152,-0.118,2
1545149558673210385,5,148022,0.176,-0.151,-0.118,2
1545149558794177774,5,148138,0.188,-0.15,-0.114,2
1545149558908998300,5,148255,0.201,-0.151,-0.109,2
1545149559027029032,5,148370,0.217,-0.15,-0.104,2
1545149559263235072,5,148604,0.235,-0.151,-0.088,2
1545149559381908831,5,148719,0.252,-0.152,-0.075,2
1545149559618142558,5,148952,0.284,-0.15,-0.051,2
1545149559735122728,5,149068,0.298,-0.149,-0.057,2
1545149559853631447,5,149183,0.311,-0.149,-0.061,2
1545149559973447143,5,149299,0.323,-0.15,-0.071,2
1545149560090859603,5,149416,0.334,-0.151,-0.081,2
1545149560208214026,5,149532,0.345,-0.151,-0.084,2
1545149560327529757,5,149648,0.357,-0.151,-0.09,2
1545149560446063859,5,149765,0.369,-0.15,-0.086,2
1545149560562427686,5,149881,0.379,-0.149,-0.088,2
1545149560680902787,5,149996,0.386,-0.148,-0.089,2
1545149560799648433,5,150112,0.392,-0.148,-0.089,2
1545149560917853545,5,150229,0.396,-0.147,-0.094,2
1545149561035614781,5,150345,0.402,-0.147,-0.093,2
1545149561153354881,5,150460,0.411,-0.146,-0.096,2
1545149561271921794,5,150578,0.422,-0.146,-0.095,2
1545149561389343629,5,150694,0.434,-0.147,-0.093,2
1545149561509540177,5,150809,0.445,-0.148,-0.093,2
1545149561626756768,5,150925,0.454,-0.148,-0.088,2
1545149561745446543,5,151042,0.462,-0.147,-0.085,2
1545149561862527591,5,151158,0.471,-0.146,-0.085,2
1545149561980478644,5,151273,0.484,-0.146,-0.082,2
1545149562098388957,5,151389,0.497,-0.145,-0.086,2
1545149562217800056,5,151506,0.51,-0.145,-0.089,2
1545149562336969734,5,151623,0.523,-0.145,-0.089,2
1545149562453994377,5,151739,0.536,-0.142,-0.095,2
