rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545124921112710476,426352,0.05,0.753,0.0,2
1545124921157110535,426465,0.076,0.751,0.0,2
1545124921273369851,426576,0.111,0.752,0.0,2
1545124921504011848,426800,0.074,0.775,0.0,2
1545124921619884879,426913,0.09,0.787,0.0,2
1545124921735090635,427025,0.118,0.795,0.0,2
1545124921850167054,427138,0.226,0.794,0.0,2
1545124921966072400,427249,0.321,0.787,0.0,2
1545124922197259203,427473,0.481,0.776,0.0,2
1545124922312194118,427586,0.554,0.771,0.0,2
1545124922426631685,427697,0.626,0.765,0.0,2
1545124922543156753,427810,0.694,0.76,0.0,2
1545124922657860726,427921,0.76,0.755,0.0,2
1545124922774130328,428035,0.821,0.756,0.0,2
1545124922889253878,428146,0.878,0.756,0.0,2
1545124923004126126,428259,0.933,0.754,0.0,2
1545124923120275559,428370,0.986,0.751,0.0,2
1545124923235195732,428483,1.036,0.745,0.0,2
1545124923351354793,428594,1.079,0.739,0.0,2
1545124923466204757,428707,1.116,0.735,0.0,2
1545124923581228801,428818,1.145,0.732,0.0,2
1545124923697191025,428931,1.168,0.729,0.0,2
1545124923811940283,429044,1.186,0.727,0.0,2
1545124923927791914,429157,1.2,0.725,0.0,2
1545124924043793475,429268,1.212,0.724,0.0,2
1545124924157899846,429381,1.223,0.725,0.0,2
1545124924274071813,429492,1.232,0.726,0.0,2
1545124924389351790,429604,1.239,0.728,0.0,2
1545124924505146847,429716,1.245,0.731,0.0,2
1545124924620123159,429828,1.249,0.735,0.0,2
1545124924735151528,429940,1.251,0.74,0.0,2
1545124924851021107,430054,1.253,0.746,0.0,2
1545124924966009470,430165,1.254,0.755,0.0,2
1545124925082965363,430277,1.254,0.767,0.0,2
1545124925312337571,430501,1.253,0.797,0.0,2
1545124925427589914,430613,1.252,0.816,0.0,2
1545124925543470893,430725,1.251,0.836,0.0,2
1545124925658798000,430838,1.25,0.859,0.0,2
1545124925773926097,430949,1.249,0.884,0.0,2
1545124925888824439,431062,1.248,0.911,0.0,2
1545124926005200458,431174,1.247,0.941,0.0,2
1545124926120897461,431286,1.246,0.972,0.0,2
1545124926236207649,431398,1.243,1.005,0.0,2
1545124926350796701,431510,1.24,1.039,0.0,2
1545124926467506696,431622,1.237,1.073,0.0,2
1545124926580913649,431735,1.233,1.106,0.0,2
1545124926697337741,431846,1.231,1.137,0.0,2
1545124926813070148,431959,1.23,1.166,0.0,2
1545124926928061547,432071,1.232,1.192,0.0,2
1545124927044188287,432183,1.234,1.217,0.0,2
1545124927160315345,432295,1.236,1.24,0.0,2
1545124927274413850,432408,1.237,1.261,0.0,2
1545124927390314766,432519,1.238,1.28,0.0,2
1545124927504914938,432632,1.239,1.297,0.0,2
1545124927621638938,432743,1.238,1.311,0.0,2
1545124927736233905,432856,1.236,1.323,0.0,2
1545124927851306848,432967,1.232,1.332,0.0,2
1545124927967171212,433081,1.226,1.34,0.0,2
1545124928082245134,433192,1.219,1.346,0.0,2
1545124928199211049,433305,1.211,1.35,0.0,2
1545124928313172223,433416,1.202,1.354,0.0,2
1545124928428001881,433529,1.194,1.357,0.0,2
1545124928544207013,433640,1.184,1.359,0.0,2
1545124928659367307,433753,1.176,1.362,0.0,2
1545124928775309163,433864,1.168,1.364,0.0,2
1545124928890308793,433977,1.158,1.367,0.0,2
1545124929006039279,434090,1.136,1.369,0.0,2
1545124929121222047,434203,1.103,1.371,0.0,2
1545124929236320650,434314,1.062,1.372,0.0,2
1545124929352457040,434427,1.017,1.371,0.0,2
1545124929466984175,434538,0.981,1.371,0.0,2
1545124929582258045,434651,0.951,1.371,0.0,2
1545124929698354420,434762,0.923,1.37,0.0,2
1545124929813098164,434874,0.897,1.37,0.0,2
1545124929928376067,434986,0.871,1.369,0.0,2
1545124930045068021,435100,0.845,1.368,0.0,2
1545124930159369988,435211,0.818,1.367,0.0,2
1545124930275463971,435324,0.791,1.367,0.0,2
1545124930390566556,435435,0.761,1.367,0.0,2
1545124930505705119,435548,0.728,1.368,0.0,2
1545124930621251190,435659,0.693,1.369,0.0,2
1545124930736198087,435771,0.656,1.37,0.0,2
1545124930851996731,435883,0.62,1.372,0.0,2
1545124930967270678,435995,0.585,1.374,0.0,2
1545124931082796998,436108,0.55,1.376,0.0,2
1545124931198330653,436221,0.516,1.378,0.0,2
1545124931313165146,436332,0.481,1.379,0.0,2
1545124931429085321,436444,0.446,1.381,0.0,2
1545124931544025516,436556,0.41,1.382,0.0,2
1545124931659125862,436668,0.373,1.382,0.0,2
1545124931775139209,436780,0.338,1.383,0.0,2
1545124931890121235,436892,0.304,1.384,0.0,2
1545124932236161554,437229,0.216,1.386,0.0,2
1545124932351937209,437341,0.19,1.385,0.0,2
1545124932466940894,437453,0.165,1.384,0.0,2
1545124932582866541,437565,0.143,1.383,0.0,2
1545124932698322727,437677,0.123,1.38,0.0,2
1545124932813215280,437789,0.107,1.378,0.0,2
1545124932929370480,437902,0.092,1.375,0.0,2
1545124933044320121,438013,0.076,1.372,0.0,2
1545124933161223019,438126,0.061,1.368,0.0,2
1545124933275354943,438238,0.046,1.362,0.0,2
1545124933390151948,438350,0.033,1.355,0.0,2
1545124933505882039,438462,-0.083,1.33,0.0,2
1545124933621112905,438575,-0.271,1.265,0.0,2
1545124933737440749,438686,-0.505,1.156,0.0,2
1545124933851830507,438799,-0.773,0.998,0.0,2
1545124933966407400,438910,-0.952,0.811,0.0,2
1545124934083920413,439023,-1.066,0.616,0.0,2
1545124934313347607,439249,-1.026,0.608,0.0,2
1545124934544307130,439473,-0.757,0.784,0.0,2
1545124934660712448,439584,-0.578,0.948,0.0,2
1545124934775346718,439697,-0.472,0.969,0.0,2
1545124934890994087,439808,-0.413,0.951,0.0,2
1545124935006486111,439921,-0.299,0.955,0.0,2
1545124935121227454,440032,-0.218,0.936,0.0,2
1545124935238195817,440146,-0.161,0.913,0.0,2
1545124935352320842,440257,-0.12,0.891,0.0,2
1545124935467847823,440370,-0.089,0.875,0.0,2
1545124935583145396,440481,-0.061,0.869,0.0,2
1545124935698383123,440594,-0.035,0.87,0.0,2
1545124935814149900,440705,-0.012,0.877,0.0,2
1545124935929135693,440818,0.001,0.876,0.0,2
1545124936044049782,440929,0.006,0.866,0.0,2
1545124936159450269,441042,0.004,0.851,0.0,2
1545124936275547876,441154,-0.002,0.834,0.0,2
1545124936390948534,441267,-0.009,0.818,0.0,2
1545124936506126880,441378,-0.015,0.804,0.0,2
1545124936622181090,441491,-0.021,0.794,0.0,2
1545124936737261372,441602,-0.027,0.783,0.0,2
1545124936851909470,441715,-0.029,0.78,0.0,2
1545124936968195753,441826,-0.028,0.78,0.0,2
1545124937083068369,441938,-0.026,0.779,0.0,2
1545124937314769830,442164,-0.02,0.78,0.0,2
1545124937429635711,442275,-0.017,0.777,0.0,2
1545124937544971279,442388,-0.013,0.773,0.0,2
1545124937660433404,442499,-0.008,0.768,0.0,2
1545124937775230703,442612,-0.002,0.764,0.0,2
1545124937890928730,442723,0.006,0.761,0.0,2
1545124938006258928,442835,0.017,0.759,0.0,2
1545124938122172645,442947,0.03,0.756,0.0,2
1545124938237515881,443059,0.047,0.753,0.0,2
1545124938353281012,443172,0.068,0.752,0.0,2
1545124938468500977,443285,0.092,0.751,0.0,2
1545124938583349199,443396,0.052,0.756,0.0,2
1545124938699244183,443508,-0.035,0.752,0.0,2
1545124938814262905,443620,-0.071,0.763,0.0,2
1545124938929426488,443732,-0.073,0.776,0.0,2
1545124939045137851,443844,0.011,0.784,0.0,2
1545124939159705161,443956,0.16,0.799,0.0,2
1545124939391356905,444182,0.346,0.792,0.0,2
1545124939505957792,444295,0.411,0.786,0.0,2
1545124939621904731,444406,0.467,0.78,0.0,2
1545124939737144918,444519,0.516,0.775,0.0,2
1545124939853422408,444630,0.562,0.77,0.0,2
1545124939968118763,444743,0.606,0.766,0.0,2
1545124940083116153,444854,0.65,0.762,0.0,2
1545124940199951999,444967,0.693,0.759,0.0,2
1545124940314214541,445078,0.735,0.756,0.0,2
1545124940429313106,445192,0.774,0.756,0.0,2
1545124940545289515,445303,0.81,0.755,0.0,2
1545124940659968119,445416,0.843,0.754,0.0,2
1545124940776319404,445527,0.873,0.751,0.0,2
1545124940891373326,445640,0.903,0.747,0.0,2
1545124941006168574,445751,0.931,0.741,0.0,2
1545124941122232089,445864,0.956,0.735,0.0,2
1545124941238013261,445975,0.978,0.729,0.0,2
1545124941353200467,446088,0.996,0.725,0.0,2
1545124941467971553,446200,1.017,0.723,0.0,2
1545124941583258647,446313,1.033,0.723,0.0,2
1545124941699539066,446424,1.047,0.724,0.0,2
1545124941814014817,446537,1.061,0.726,0.0,2
1545124941930246086,446648,1.068,0.727,0.0,2
1545124942045736454,446761,1.077,0.729,0.0,2
1545124942160215852,446872,1.086,0.73,0.0,2
1545124942277321174,446985,1.093,0.731,0.0,2
1545124942391075320,447096,1.1,0.731,0.0,2
1545124942507033679,447210,1.106,0.731,0.0,2
1545124942621739696,447321,1.112,0.732,0.0,2
1545124942737668072,447434,1.12,0.735,0.0,2
1545124942853487841,447545,1.131,0.737,0.0,2
1545124942968407061,447658,1.141,0.742,0.0,2
1545124943084401362,447769,1.152,0.749,0.0,2
1545124943199213170,447882,1.162,0.758,0.0,2
1545124943315132560,447993,1.172,0.768,0.0,2
1545124943430029084,448106,1.179,0.783,0.0,2
1545124943545504747,448218,1.185,0.796,0.0,2
1545124943661397029,448331,1.19,0.809,0.0,2
1545124943775976085,448442,1.196,0.82,0.0,2
1545124943891093114,448555,1.204,0.828,0.0,2
1545124944007134131,448666,1.212,0.838,0.0,2
1545124944237834638,448890,1.219,0.851,0.0,2
1545124944353876495,449002,1.222,0.868,0.0,2
1545124944468124938,449114,1.225,0.886,0.0,2
1545124944584121935,449228,1.228,0.905,0.0,2
1545124944699218248,449340,1.228,0.925,0.0,2
1545124944813999882,449452,1.228,0.945,0.0,2
1545124944930372442,449564,1.228,0.965,0.0,2
1545124945045392673,449676,1.226,0.985,0.0,2
1545124945161222787,449789,1.222,1.006,0.0,2
1545124945276061742,449900,1.216,1.028,0.0,2
1545124945391977188,450013,1.206,1.05,0.0,2
1545124945507183005,450124,1.197,1.074,0.0,2
1545124945622148833,450237,1.197,1.097,0.0,2
1545124945738090918,450349,1.197,1.12,0.0,2
1545124945853414542,450462,1.205,1.137,0.0,2
1545124946084429583,450686,1.209,1.175,0.0,2
1545124946199217633,450797,1.205,1.195,0.0,2
1545124946315227097,450910,1.194,1.218,0.0,2
1545124946431376666,451021,1.19,1.238,0.0,2
1545124946545389741,451134,1.187,1.255,0.0,2
1545124946661534633,451246,1.192,1.265,0.0,2
1545124946776336112,451359,1.198,1.273,0.0,2
1545124946892326332,451470,1.197,1.28,0.0,2
1545124947007483930,451583,1.195,1.285,0.0,2
1545124947238361537,451807,1.174,1.299,0.0,2
1545124947353248160,451918,1.161,1.305,0.0,2
1545124947468716354,452031,1.148,1.31,0.0,2
1545124947584492259,452142,1.134,1.315,0.0,2
1545124947699317855,452256,1.118,1.32,0.0,2
1545124947815095635,452367,1.1,1.324,0.0,2
1545124947930017877,452480,1.081,1.328,0.0,2
1545124948045192523,452591,1.063,1.334,0.0,2
1545124948161460964,452704,1.05,1.339,0.0,2
1545124948275391008,452815,1.03,1.344,0.0,2
1545124948392289742,452928,1.002,1.347,0.0,2
1545124948508421741,453039,0.969,1.348,0.0,2
1545124948622274296,453152,0.928,1.347,0.0,2
1545124948738434631,453264,0.893,1.344,0.0,2
1545124948853402991,453377,0.862,1.343,0.0,2
1545124948969013490,453488,0.832,1.341,0.0,2
1545124949084101180,453601,0.8,1.341,0.0,2
1545124949315127608,453825,0.763,1.343,0.0,2
1545124949430267449,453936,0.725,1.346,0.0,2
1545124949546241622,454049,0.688,1.348,0.0,2
1545124949661218953,454160,0.655,1.352,0.0,2
1545124949776472557,454275,0.627,1.353,0.0,2
1545124949892492135,454386,0.6,1.356,0.0,2
1545124950007237227,454499,0.57,1.359,0.0,2
1545124950123412434,454610,0.539,1.362,0.0,2
1545124950584148775,455058,0.871,1.394,0.0,2
1545124950700788059,455170,1.045,1.468,0.0,2
1545124950815951615,455283,1.128,1.536,0.0,2
1545124950930398760,455395,1.156,1.588,0.0,2
1545124951045708614,455507,0.787,1.597,0.0,2
