rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545124921273344929,5,426576,0.111,0.752,0.0,2
1545124921504001571,5,426800,0.074,0.775,0.0,2
1545124921619890746,5,426913,0.09,0.787,0.0,2
1545124921735081128,5,427025,0.118,0.795,0.0,2
1545124921850038753,5,427138,0.226,0.794,0.0,2
1545124921966054961,5,427249,0.321,0.787,0.0,2
1545124922197212394,5,427473,0.481,0.776,0.0,2
1545124922312175641,5,427586,0.554,0.771,0.0,2
1545124922426571468,5,427697,0.626,0.765,0.0,2
1545124922543129962,5,427810,0.694,0.76,0.0,2
1545124922657841586,5,427921,0.76,0.755,0.0,2
1545124922774111104,5,428035,0.821,0.756,0.0,2
1545124922889226346,5,428146,0.878,0.756,0.0,2
1545124923004135423,5,428259,0.933,0.754,0.0,2
1545124923120115975,5,428370,0.986,0.751,0.0,2
1545124923235179816,5,428483,1.036,0.745,0.0,2
1545124923351217218,5,428594,1.079,0.739,0.0,2
1545124923466194788,5,428707,1.116,0.735,0.0,2
1545124923581198438,5,428818,1.145,0.732,0.0,2
1545124923697181735,5,428931,1.168,0.729,0.0,2
1545124923811876818,5,429044,1.186,0.727,0.0,2
1545124923927724953,5,429157,1.2,0.725,0.0,2
1545124924043513337,5,429268,1.212,0.724,0.0,2
1545124924157885979,5,429381,1.223,0.725,0.0,2
1545124924274048715,5,429492,1.232,0.726,0.0,2
1545124924389270710,5,429604,1.239,0.728,0.0,2
1545124924505082605,5,429716,1.245,0.731,0.0,2
1545124924620098443,5,429828,1.249,0.735,0.0,2
1545124924735062567,5,429940,1.251,0.74,0.0,2
1545124924850958757,5,430054,1.253,0.746,0.0,2
1545124924965942289,5,430165,1.254,0.755,0.0,2
1545124925082869087,5,430277,1.254,0.767,0.0,2
1545124925312330937,5,430501,1.253,0.797,0.0,2
1545124925427537722,5,430613,1.252,0.816,0.0,2
1545124925543065792,5,430725,1.251,0.836,0.0,2
1545124925658818858,5,430838,1.25,0.859,0.0,2
1545124925773778823,5,430949,1.249,0.884,0.0,2
1545124925888805293,5,431062,1.248,0.911,0.0,2
1545124926005173981,5,431174,1.247,0.941,0.0,2
1545124926120793478,5,431286,1.246,0.972,0.0,2
1545124926236178597,5,431398,1.243,1.005,0.0,2
1545124926350776173,5,431510,1.24,1.039,0.0,2
1545124926467379779,5,431622,1.237,1.073,0.0,2
1545124926580898976,5,431735,1.233,1.106,0.0,2
1545124926697337755,5,431846,1.231,1.137,0.0,2
1545124926813049762,5,431959,1.23,1.166,0.0,2
1545124926928051652,5,432071,1.232,1.192,0.0,2
1545124927044182382,5,432183,1.234,1.217,0.0,2
