rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags,angle
1545124921111584511,5,426016,0.002,0.762,0.0,2,0.0
1545124921112250660,5,426241,0.029,0.755,0.0,2,0.0
1545124921112697962,5,426352,0.05,0.753,0.0,2,0.0
1545124921157104243,5,426465,0.076,0.751,0.0,2,0.0
1545124921273175338,5,426576,0.111,0.752,0.0,2,0.0
1545124921503981036,5,426800,0.074,0.775,0.0,2,0.0
1545124921619832171,5,426913,0.09,0.787,0.0,2,0.0
1545124921735021161,5,427025,0.118,0.795,0.0,2,0.0
1545124921849905484,5,427138,0.226,0.794,0.0,2,0.0
1545124921966024392,5,427249,0.321,0.787,0.0,2,0.0
1545124922197119060,5,427473,0.481,0.776,0.0,2,0.0
1545124922312021582,5,427586,0.554,0.771,0.0,2,0.0
1545124922426543862,5,427697,0.626,0.765,0.0,2,0.0
1545124922543092981,5,427810,0.694,0.76,0.0,2,0.0
1545124922657747634,5,427921,0.76,0.755,0.0,2,0.0
1545124922774079802,5,428035,0.821,0.756,0.0,2,0.0
1545124922889123452,5,428146,0.878,0.756,0.0,2,0.0
1545124923004070773,5,428259,0.933,0.754,0.0,2,0.0
1545124923120043662,5,428370,0.986,0.751,0.0,2,0.0
1545124923235140225,5,428483,1.036,0.745,0.0,2,0.0
1545124923351192365,5,428594,1.079,0.739,0.0,2,0.0
1545124923466175219,5,428707,1.116,0.735,0.0,2,0.0
1545124923581189062,5,428818,1.145,0.732,0.0,2,0.0
1545124923697127007,5,428931,1.168,0.729,0.0,2,0.0
1545124923811878391,5,429044,1.186,0.727,0.0,2,0.0
1545124923927718340,5,429157,1.2,0.725,0.0,2,0.0
1545124924043418762,5,429268,1.212,0.724,0.0,2,0.0
1545124924157794024,5,429381,1.223,0.725,0.0,2,0.0
1545124924273821019,5,429492,1.232,0.726,0.0,2,0.0
1545124924389165772,5,429604,1.239,0.728,0.0,2,0.0
1545124924505017586,5,429716,1.245,0.731,0.0,2,0.0
1545124924619976192,5,429828,1.249,0.735,0.0,2,0.0
1545124924735063685,5,429940,1.251,0.74,0.0,2,0.0
1545124924850852533,5,430054,1.253,0.746,0.0,2,0.0
1545124924965922294,5,430165,1.254,0.755,0.0,2,0.0
1545124925082788420,5,430277,1.254,0.767,0.0,2,0.0
1545124925312148479,5,430501,1.253,0.797,0.0,2,0.0
1545124925427517432,5,430613,1.252,0.816,0.0,2,0.0
1545124925542961865,5,430725,1.251,0.836,0.0,2,0.0
1545124925658727396,5,430838,1.25,0.859,0.0,2,0.0
1545124925773684564,5,430949,1.249,0.884,0.0,2,0.0
1545124925888777550,5,431062,1.248,0.911,0.0,2,0.0
1545124926004841230,5,431174,1.247,0.941,0.0,2,0.0
1545124926120772620,5,431286,1.246,0.972,0.0,2,0.0
1545124926236159398,5,431398,1.243,1.005,0.0,2,0.0
1545124926350654051,5,431510,1.24,1.039,0.0,2,0.0
1545124926467357988,5,431622,1.237,1.073,0.0,2,0.0
1545124926580898971,5,431735,1.233,1.106,0.0,2,0.0
1545124926697265183,5,431846,1.231,1.137,0.0,2,0.0
1545124926813024220,5,431959,1.23,1.166,0.0,2,0.0
