rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1545124921110711147,,40,,1545124920,374540475,"""imu_link""",,0.7043174833,-0.189666545,-0.6482903216,-0.2184690044,"[0.0030654543079435825, 0.0008273734129033983, 0.00027932392549701035, 0.0008273737621493638, 0.0019659928511828184, 0.00014026784629095346, 0.0002793240128085017, 0.00014026799181010574, 0.001561088371090591]",,-0.270577360702,0.00213053039923,0.00213053039923,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.25199773,-0.37364912,1.29519719,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545124921110907603,,41,,1545124920,427977736,"""imu_link""",,0.7053581316,-0.1878873721,-0.6490288462,-0.2160520148,"[0.003067182144150138, 0.0008200238808058202, 0.00027322364621795714, 0.000820024055428803, 0.001958702690899372, 0.00013572932220995426, 0.0002732237335294485, 0.00013572942407336086, 0.0015598397003486753]",,-0.0585895859787,0.00319579559884,-0.00213053039923,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.18373491,-0.15628593,-0.26406933,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545124921111569227,,42,,1545124920,476706590,"""imu_link""",,0.7054588395,-0.1865110308,-0.6494316778,-0.2140378568,"[0.0030745137482881546, 0.0008141404250636697, 0.0002696399751584977, 0.0008141408325172961, 0.0019572642631828785, 0.00013269903138279915, 0.00026963994605466723, 0.00013269897317513824, 0.0015639588236808777]",,-0.200269857527,0.00639159119768,-0.0,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.80169307,0.69699932,0.538917,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545124921112072658,,43,,1545124920,525628639,"""imu_link""",,0.7058952404,-0.1850339816,-0.6500023559,-0.2121244067,"[0.003073025494813919, 0.0008074322831816971, 0.00026601649005897343, 0.0008074325742200017, 0.0019433675333857536, 0.00012934772530570626, 0.00026601634453982115, 0.0001293476379942149, 0.0015569853130728006]",,-0.0234358343915,-0.00106526519961,-0.00852212159691,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.33103889,-0.2155668,-0.47065418,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545124921113021981,,44,,1545124920,576763611,"""imu_link""",,0.7058952404,-0.1848661351,-0.6503380489,-0.211150897,"[0.003072879044339061, 0.0008049310999922454, 0.00026348757091909647, 0.0008049312164075673, 0.0019419852178543806, 0.00012774684000760317, 0.00026348736719228327, 0.0001277467090403661, 0.0015571308322250843]",,-0.2759036867,0.00532632599807,0.00213053039923,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-9.95738977,0.77424409,0.38263107,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545124921114635628,,45,,1545124920,627447327,"""imu_link""",,0.7071037352,-0.1812070814,-0.651580113,-0.2064176257,"[0.003075583837926388, 0.0007911164429970086, 0.00025292043574154377, 0.0007911162683740258, 0.0019279299303889275, 0.00012003962183371186, 0.00025292011559940875, 0.00012003951997030526, 0.0015545213827863336]",,-0.119309702357,-0.00319579559884,-0.00319579559884,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.93821871,-0.83352496,-0.23532709,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545124921114691231,,46,,1545124920,677975116,"""imu_link""",,0.7075401361,-0.1796628936,-0.6531243008,-0.2043363291,"[0.0030753654427826405, 0.000783775292802602, 0.00024675429449416697, 0.0007837750599719584, 0.0019202791154384613, 0.00011583864397834986, 0.0002467540034558624, 0.0001158386075985618, 0.0015524771297350526]",,-0.140615006349,0.00639159119768,0.00532632599807,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.14421433,-0.23532709,1.36346001,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545124921114776615,,47,,1545124920,727334051,"""imu_link""",,0.7063316413,-0.1802000024,-0.6531914394,-0.2048734379,"[0.003079645335674286, 0.0007848389213904738, 0.00024941173614934087, 0.0007848385721445084, 0.0019201567629352212, 0.00011696778528857976, 0.0002494115033186972, 0.00011696769797708839, 0.0015531041426584125]",,0.0426106079845,0.00106526519961,-0.00319579559884,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-10.06517317,-0.17604622,0.92154807,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545124921114836985,,48,,1545124920,779734402,"""imu_link""",,0.7053917009,-0.180938527,-0.6537956868,-0.2054776853,"[0.0030784818809479475, 0.0007871311390772462, 0.000250205397605896, 0.0007871309062466025, 0.001924006501212716, 0.00011789217387558892, 0.0002502051356714219, 0.00011789206473622471, 0.0015543552581220865]",,-0.0362190167869,0.00745685639729,0.00213053039923,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-9.62505762,-0.52993505,0.45089389,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545124921116862636,,49,,1545124920,828042732,"""imu_link""",,0.7051231465,-0.1788572304,-0.6555748597,-0.2025235869,"[0.003077566623687744, 0.0007804306223988533, 0.0002445695281494409, 0.0007804302149452269, 0.0019172655884176493, 0.0001141392276622355, 0.00024456920800730586, 0.00011413909669499844, 0.0015525311464443803]",,-0.202400387927,-0.00213053039923,-0.0,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-9.82086413,0.56945563,0.3233502,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
