rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545125040849241012,542746,0.575,0.809,0.0,2
1545125040939278817,542858,0.57,0.804,0.0,2
1545125041054247544,542971,0.569,0.801,0.0,2
1545125041169259597,543083,0.568,0.799,0.0,2
1545125041285235819,543195,0.569,0.797,0.0,2
1545125041401022829,543307,0.571,0.795,0.0,2
1545125041631090332,543531,0.583,0.792,0.0,2
1545125041747142816,543644,0.594,0.791,0.0,2
1545125041862615698,543755,0.605,0.791,0.0,2
1545125041977297733,543868,0.616,0.794,0.0,2
1545125042092810049,543979,0.628,0.798,0.0,2
1545125042207932039,544092,0.641,0.805,0.0,2
1545125042323136341,544204,0.656,0.812,0.0,2
1545125042439044213,544316,0.673,0.821,0.0,2
1545125042553909330,544428,0.693,0.829,0.0,2
1545125042669912717,544541,0.713,0.84,0.0,2
1545125042786140490,544652,0.733,0.851,0.0,2
1545125042900495994,544765,0.752,0.864,0.0,2
1545125043015916445,544876,0.77,0.878,0.0,2
1545125043130878405,544989,0.789,0.892,0.0,2
1545125043247224113,545102,0.806,0.907,0.0,2
1545125043360978853,545215,0.824,0.922,0.0,2
1545125043477069208,545326,0.842,0.938,0.0,2
1545125043593703467,545439,0.859,0.954,0.0,2
1545125043708255097,545550,0.876,0.97,0.0,2
1545125043823807181,545663,0.893,0.986,0.0,2
1545125043938892715,545774,0.91,1.001,0.0,2
1545125044169850183,545998,0.927,1.017,0.0,2
1545125044285177759,546112,0.946,1.033,0.0,2
1545125045093002059,546895,1.001,1.061,0.0,2
1545125045208198321,547007,1.051,1.092,0.0,2
1545125045324004164,547120,1.099,1.122,0.0,2
1545125045439770655,547233,1.143,1.154,0.0,2
1545125045555776453,547344,1.148,1.175,0.0,2
1545125045670490435,547457,1.153,1.194,0.0,2
1545125045785193090,547568,1.17,1.212,0.0,2
1545125045901188734,547681,1.188,1.229,0.0,2
1545125046016299173,547792,1.203,1.245,0.0,2
1545125046132301982,547904,1.215,1.26,0.0,2
1545125046247081644,548016,1.213,1.273,0.0,2
1545125046362376709,548130,1.206,1.284,0.0,2
1545125046478880267,548241,1.202,1.292,0.0,2
1545125046593216655,548354,1.2,1.298,0.0,2
1545125046709693822,548465,1.199,1.302,0.0,2
1545125046824019087,548577,1.198,1.304,0.0,2
1545125046939300742,548689,1.196,1.306,0.0,2
1545125047055309979,548801,1.195,1.307,0.0,2
1545125047169988770,548913,1.195,1.308,0.0,2
