rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545125041054112586,5,542971,0.569,0.801,0.0,2
1545125041169163823,5,543083,0.568,0.799,0.0,2
1545125041285235836,5,543195,0.569,0.797,0.0,2
1545125041400975380,5,543307,0.571,0.795,0.0,2
1545125041631066795,5,543531,0.583,0.792,0.0,2
1545125041747188838,5,543644,0.594,0.791,0.0,2
1545125041862449964,5,543755,0.605,0.791,0.0,2
1545125041977277816,5,543868,0.616,0.794,0.0,2
1545125042092723240,5,543979,0.628,0.798,0.0,2
1545125042207852467,5,544092,0.641,0.805,0.0,2
1545125042323148657,5,544204,0.656,0.812,0.0,2
1545125042438897227,5,544316,0.673,0.821,0.0,2
1545125042553913087,5,544428,0.693,0.829,0.0,2
1545125042669889682,5,544541,0.713,0.84,0.0,2
1545125042785994089,5,544652,0.733,0.851,0.0,2
1545125042900484879,5,544765,0.752,0.864,0.0,2
1545125043015867709,5,544876,0.77,0.878,0.0,2
1545125043130861830,5,544989,0.789,0.892,0.0,2
1545125043247228353,5,545102,0.806,0.907,0.0,2
1545125043360976707,5,545215,0.824,0.922,0.0,2
1545125043477037224,5,545326,0.842,0.938,0.0,2
1545125043593677294,5,545439,0.859,0.954,0.0,2
1545125043708229554,5,545550,0.876,0.97,0.0,2
1545125043823733418,5,545663,0.893,0.986,0.0,2
1545125043938820616,5,545774,0.91,1.001,0.0,2
1545125044169829103,5,545998,0.927,1.017,0.0,2
1545125044285137459,5,546112,0.946,1.033,0.0,2
1545125045092983398,5,546895,1.001,1.061,0.0,2
1545125045208076395,5,547007,1.051,1.092,0.0,2
1545125045323926197,5,547120,1.099,1.122,0.0,2
1545125045439708801,5,547233,1.143,1.154,0.0,2
1545125045555209425,5,547344,1.148,1.175,0.0,2
1545125045670270669,5,547457,1.153,1.194,0.0,2
1545125045785169082,5,547568,1.17,1.212,0.0,2
1545125045901203843,5,547681,1.188,1.229,0.0,2
1545125046016246231,5,547792,1.203,1.245,0.0,2
1545125046132314418,5,547904,1.215,1.26,0.0,2
1545125046246975481,5,548016,1.213,1.273,0.0,2
1545125046362364716,5,548130,1.206,1.284,0.0,2
1545125046478856222,5,548241,1.202,1.292,0.0,2
1545125046593253307,5,548354,1.2,1.298,0.0,2
1545125046709474477,5,548465,1.199,1.302,0.0,2
1545125046824005903,5,548577,1.198,1.304,0.0,2
1545125046939234523,5,548689,1.196,1.306,0.0,2
1545125047055281718,5,548801,1.195,1.307,0.0,2
1545125047169881770,5,548913,1.195,1.308,0.0,2
1545125047285934846,5,549025,1.194,1.308,0.0,2
1545125047401094863,5,549138,1.195,1.309,0.0,2
1545125047516981270,5,549251,1.195,1.309,0.0,2
1545125047632372389,5,549362,1.195,1.309,0.0,2
1545125047747422882,5,549474,1.196,1.309,0.0,2
1545125048093005289,5,549811,1.139,1.227,0.0,2
1545125048209136098,5,549922,1.101,1.175,0.0,2
1545125048324012044,5,550035,1.074,1.142,0.0,2
1545125048439952159,5,550148,1.06,1.121,0.0,2
1545125048555183954,5,550261,1.111,1.191,0.0,2
1545125048670029833,5,550372,1.156,1.237,0.0,2
1545125048787104535,5,550485,1.201,1.267,0.0,2
1545125048900767721,5,550596,1.23,1.288,0.0,2
1545125049017097869,5,550709,1.247,1.301,0.0,2
1545125049132143803,5,550820,1.245,1.31,0.0,2
1545125049247169365,5,550933,1.229,1.313,0.0,2
1545125049362921002,5,551044,1.216,1.315,0.0,2
1545125049478265947,5,551158,1.207,1.314,0.0,2
1545125049593981699,5,551269,1.203,1.311,0.0,2
1545125049709790103,5,551382,1.199,1.308,0.0,2
1545125049824309692,5,551493,1.196,1.305,0.0,2
1545125049940011304,5,551606,1.192,1.304,0.0,2
1545125050055265584,5,551717,1.186,1.304,0.0,2
1545125050170359154,5,551830,1.176,1.303,0.0,2
1545125050285829503,5,551941,1.171,1.304,0.0,2
1545125050400978550,5,552054,1.168,1.306,0.0,2
1545125050517095936,5,552166,1.167,1.31,0.0,2
1545125050863125396,5,552503,1.154,1.318,0.0,2
1545125050978812899,5,552614,1.122,1.327,0.0,2
1545125051094057882,5,552727,1.078,1.334,0.0,2
1545125051209140181,5,552838,1.023,1.339,0.0,2
1545125051324080101,5,552951,0.978,1.338,0.0,2
1545125051440388617,5,553062,0.939,1.335,0.0,2
1545125051554615005,5,553176,0.904,1.333,0.0,2
1545125051671567779,5,553287,0.872,1.332,0.0,2
1545125051786186671,5,553400,0.841,1.335,0.0,2
1545125051900947133,5,553511,0.819,1.337,0.0,2
1545125052017858513,5,553624,0.793,1.34,0.0,2
1545125052131932247,5,553735,0.772,1.342,0.0,2
