rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545132495986170010,53892,0.82,-0.287,-0.083,2
1545132495986456187,54008,0.819,-0.287,-0.085,2
1545132495986749396,54123,0.819,-0.287,-0.079,2
1545132496056179728,54241,0.819,-0.287,-0.079,2
1545132496174886988,54357,0.819,-0.288,-0.077,2
1545132496293763218,54472,0.819,-0.288,-0.078,2
1545132496411849627,54588,0.819,-0.287,-0.087,2
1545132496529694705,54705,0.819,-0.288,-0.085,2
1545132496647860964,54821,0.82,-0.288,-0.088,2
1545132496767705481,54936,0.819,-0.286,-0.09,2
1545132497003015698,55169,0.819,-0.287,-0.089,2
1545132497120868272,55285,0.819,-0.286,-0.099,2
1545132497241011697,55401,0.819,-0.286,-0.096,2
1545132497357824095,55518,0.82,-0.287,-0.098,2
1545132497475975156,55634,0.82,-0.286,-0.097,2
1545132497593949124,55749,0.82,-0.286,-0.096,2
1545132497712041871,55865,0.819,-0.286,-0.098,2
1545132497830446789,55982,0.819,-0.286,-0.095,2
1545132497949735978,56098,0.819,-0.287,-0.095,2
1545132498067072225,56213,0.819,-0.288,-0.091,2
1545132498184978563,56331,0.82,-0.288,-0.087,2
1545132498303914027,56447,0.82,-0.288,-0.085,2
1545132498421690476,56562,0.819,-0.288,-0.092,2
1545132498540114777,56678,0.82,-0.288,-0.096,2
1545132498657829285,56795,0.82,-0.289,-0.102,2
1545132498775733938,56910,0.82,-0.289,-0.1,2
1545132498895554905,57026,0.819,-0.288,-0.096,2
1545132499013950620,57142,0.819,-0.288,-0.093,2
1545132499130792972,57259,0.818,-0.288,-0.089,2
1545132499248875540,57376,0.819,-0.289,-0.092,2
1545132499368024385,57492,0.819,-0.288,-0.095,2
1545132499485853369,57608,0.818,-0.287,-0.094,2
1545132499604028969,57725,0.818,-0.287,-0.103,2
1545132499721844094,57840,0.817,-0.286,-0.102,2
1545132499839801928,57956,0.819,-0.288,-0.099,2
1545132499958911201,58073,0.821,-0.288,-0.099,2
1545132500078349719,58189,0.822,-0.289,-0.093,2
1545132500195111882,58304,0.822,-0.29,-0.105,2
1545132500313822327,58421,0.818,-0.286,-0.112,2
1545132500549964844,58653,0.819,-0.287,-0.101,2
1545132500667886744,58769,0.819,-0.287,-0.095,2
1545132500785773689,58886,0.818,-0.286,-0.082,2
1545132500904064059,59002,0.819,-0.288,-0.073,2
1545132501023169490,59117,0.814,-0.287,-0.082,2
1545132501142257207,59233,0.808,-0.286,-0.084,2
1545132501259912221,59350,0.801,-0.286,-0.08,2
1545132501376831276,59466,0.794,-0.285,-0.074,2
1545132501496045652,59582,0.785,-0.285,-0.073,2
1545132501613783342,59699,0.776,-0.286,-0.069,2
1545132501732333914,59815,0.767,-0.285,-0.069,2
1545132501968426493,60046,0.754,-0.282,-0.057,2
1545132502086980902,60163,0.743,-0.28,-0.06,2
1545132502205127168,60279,0.734,-0.276,-0.057,2
1545132502677874367,60743,0.734,-0.287,-0.068,2
1545132504095983789,62136,0.716,-0.303,-0.082,2
