rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545132496056174784,5,54241,0.819,-0.287,-0.079,2
1545132496174835062,5,54357,0.819,-0.288,-0.077,2
1545132496293710584,5,54472,0.819,-0.288,-0.078,2
1545132496411835077,5,54588,0.819,-0.287,-0.087,2
1545132496529597897,5,54705,0.819,-0.288,-0.085,2
1545132496647849326,5,54821,0.82,-0.288,-0.088,2
1545132496767703071,5,54936,0.819,-0.286,-0.09,2
1545132497002992569,5,55169,0.819,-0.287,-0.089,2
1545132497120814396,5,55285,0.819,-0.286,-0.099,2
1545132497240995123,5,55401,0.819,-0.286,-0.096,2
1545132497357812277,5,55518,0.82,-0.287,-0.098,2
1545132497475957531,5,55634,0.82,-0.286,-0.097,2
1545132497593933014,5,55749,0.82,-0.286,-0.096,2
1545132497712042074,5,55865,0.819,-0.286,-0.098,2
1545132497830417081,5,55982,0.819,-0.286,-0.095,2
1545132497949702502,5,56098,0.819,-0.287,-0.095,2
1545132498066999016,5,56213,0.819,-0.288,-0.091,2
1545132498184966653,5,56331,0.82,-0.288,-0.087,2
1545132498303902892,5,56447,0.82,-0.288,-0.085,2
1545132498421642229,5,56562,0.819,-0.288,-0.092,2
1545132498539794172,5,56678,0.82,-0.288,-0.096,2
1545132498657758181,5,56795,0.82,-0.289,-0.102,2
1545132498775734423,5,56910,0.82,-0.289,-0.1,2
1545132498895572830,5,57026,0.819,-0.288,-0.096,2
1545132499013931545,5,57142,0.819,-0.288,-0.093,2
1545132499130696184,5,57259,0.818,-0.288,-0.089,2
1545132499248688645,5,57376,0.819,-0.289,-0.092,2
1545132499367921919,5,57492,0.819,-0.288,-0.095,2
1545132499485794811,5,57608,0.818,-0.287,-0.094,2
1545132499603955854,5,57725,0.818,-0.287,-0.103,2
1545132499721782400,5,57840,0.817,-0.286,-0.102,2
1545132499839768553,5,57956,0.819,-0.288,-0.099,2
1545132499958851812,5,58073,0.821,-0.288,-0.099,2
1545132500078284043,5,58189,0.822,-0.289,-0.093,2
1545132500195116295,5,58304,0.822,-0.29,-0.105,2
1545132500313444243,5,58421,0.818,-0.286,-0.112,2
1545132500549936427,5,58653,0.819,-0.287,-0.101,2
1545132500667859970,5,58769,0.819,-0.287,-0.095,2
1545132500785762172,5,58886,0.818,-0.286,-0.082,2
