rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545133839226097466,126542,0.334,-0.389,-0.819,2
1545133839226146055,126657,0.335,-0.393,-0.819,2
1545133839226174312,126773,0.335,-0.406,-0.818,2
1545133839333721570,126889,0.334,-0.381,-0.833,2
1545133839452714966,127006,0.328,-0.381,-0.831,2
1545133839570074728,127122,0.326,-0.366,-0.837,2
1545133839687925845,127238,0.324,-0.362,-0.838,2
1545133839924737169,127470,0.321,-0.37,-0.837,2
1545133840042430628,127586,0.322,-0.359,-0.849,2
1545133840159870404,127702,0.319,-0.362,-0.853,2
1545133840278907709,127819,0.316,-0.359,-0.857,2
1545133840633438867,128168,0.325,-0.338,-0.847,2
1545133840750890931,128283,0.332,-0.327,-0.823,2
1545133840869886605,128399,0.339,-0.318,-0.79,2
1545133840987318151,128515,0.353,-0.318,-0.756,2
1545133841105977772,128632,0.351,-0.324,-0.722,2
1545133841224323575,128747,0.351,-0.319,-0.7,2
1545133841342658107,128863,0.354,-0.312,-0.687,2
1545133841460546414,128979,0.348,-0.296,-0.675,2
1545133841578700759,129096,0.351,-0.292,-0.676,2
1545133841696186073,129212,0.353,-0.288,-0.676,2
1545133841815155791,129328,0.356,-0.285,-0.677,2
1545133841934264856,129445,0.358,-0.281,-0.678,2
1545133842051241648,129560,0.359,-0.276,-0.677,2
1545133842169060129,129676,0.36,-0.27,-0.677,2
1545133842287546776,129792,0.36,-0.266,-0.678,2
1545133842405802740,129909,0.361,-0.262,-0.678,2
1545133842523746372,130024,0.363,-0.261,-0.679,2
1545133842641962945,130141,0.363,-0.26,-0.681,2
1545133842759983855,130258,0.363,-0.259,-0.681,2
1545133842877850795,130373,0.363,-0.258,-0.682,2
1545133842997517894,130489,0.361,-0.257,-0.684,2
1545133843114320653,130606,0.359,-0.256,-0.685,2
1545133843233293367,130722,0.358,-0.256,-0.686,2
1545133843351021453,130837,0.357,-0.257,-0.687,2
1545133843586894189,131070,0.355,-0.258,-0.687,2
1545133843704965750,131187,0.353,-0.259,-0.686,2
1545133843822993963,131303,0.352,-0.259,-0.686,2
1545133844059954514,131536,0.349,-0.26,-0.686,2
1545133844177948855,131651,0.348,-0.261,-0.688,2
1545133844295751291,131767,0.346,-0.261,-0.688,2
1545133844413820138,131883,0.343,-0.26,-0.688,2
1545133844532560538,132000,0.341,-0.26,-0.69,2
1545133844651223090,132115,0.338,-0.259,-0.691,2
1545133844768986936,132232,0.335,-0.259,-0.693,2
1545133844887192701,132349,0.333,-0.258,-0.694,2
1545133845006368852,132464,0.332,-0.256,-0.694,2
1545133845123214354,132580,0.331,-0.255,-0.693,2
1545133845241558900,132696,0.329,-0.254,-0.694,2
1545133845360434832,132813,0.326,-0.253,-0.693,2
1545133845595992601,133044,0.322,-0.254,-0.693,2
1545133845713840519,133160,0.319,-0.254,-0.694,2
1545133845832383263,133277,0.317,-0.253,-0.695,2
1545133845950317819,133393,0.314,-0.253,-0.696,2
1545133846068210555,133509,0.314,-0.252,-0.697,2
1545133846187818806,133626,0.314,-0.251,-0.697,2
1545133846304886853,133741,0.32,-0.25,-0.695,2
1545133846423263223,133857,0.331,-0.248,-0.693,2
1545133846541330149,133973,0.347,-0.247,-0.691,2
1545133846659238968,134090,0.372,-0.245,-0.691,2
1545133846896413637,134322,0.434,-0.239,-0.694,2
1545133847250485605,134670,0.568,-0.217,-0.701,2
1545133847368834227,134786,0.623,-0.213,-0.695,2
1545133847486636342,134903,0.677,-0.212,-0.684,2
1545133847605466182,135018,0.718,-0.207,-0.672,2
1545133847723451026,135134,0.754,-0.203,-0.666,2
1545133847840885041,135251,0.802,-0.219,-0.668,2
1545133847958879759,135367,0.85,-0.242,-0.672,2
1545133848077062899,135483,0.898,-0.275,-0.678,2
1545133848195780293,135599,0.94,-0.308,-0.682,2
1545133848314127780,135716,0.954,-0.314,-0.678,2
1545133848432436721,135831,0.96,-0.316,-0.673,2
1545133848549933218,135947,0.944,-0.298,-0.668,2
1545133848668521415,136064,0.928,-0.287,-0.665,2
1545133848785851810,136180,0.916,-0.294,-0.663,2
1545133848904160957,136295,0.901,-0.317,-0.663,2
1545133849023353962,136412,0.902,-0.373,-0.67,2
1545133849142410487,136530,0.897,-0.431,-0.68,2
1545133849260137334,136646,0.891,-0.489,-0.689,2
1545133849377499610,136761,0.883,-0.538,-0.699,2
1545133849495009297,136877,0.88,-0.583,-0.701,2
1545133849613211942,136994,0.88,-0.631,-0.697,2
1545133849732624110,137109,0.877,-0.674,-0.7,2
1545133849850031010,137225,0.873,-0.726,-0.702,2
1545133850559402460,137922,0.873,-0.794,-0.677,2
1545133850795105241,138154,0.878,-0.858,-0.631,2
1545133850912991525,138271,0.893,-0.92,-0.564,2
1545133851031890058,138386,0.914,-0.972,-0.484,2
1545133851150589167,138503,0.905,-0.961,-0.467,2
1545133851504239286,138851,0.89,-0.947,-0.448,2
1545133851622232804,138967,0.868,-0.924,-0.439,2
1545133851740225695,139084,0.838,-0.895,-0.436,2
1545133851976826273,139315,0.835,-0.91,-0.368,2
1545133852095226876,139431,0.834,-0.918,-0.346,2
1545133852212989580,139548,0.834,-0.926,-0.331,2
1545133852332330260,139664,0.831,-0.931,-0.318,2
1545133852449694539,139780,0.828,-0.933,-0.306,2
1545133852568207845,139897,0.825,-0.932,-0.3,2
1545133852686887062,140012,0.823,-0.932,-0.293,2
1545133852804116709,140128,0.822,-0.932,-0.293,2
1545133853040385793,140361,0.816,-0.935,-0.294,2
1545133853275995282,140593,0.803,-0.943,-0.289,2
1545133853395403019,140710,0.782,-0.952,-0.283,2
1545133853513562598,140825,0.755,-0.959,-0.274,2
1545133853632371136,140941,0.723,-0.965,-0.258,2
1545133853867373066,141174,0.678,-0.965,-0.253,2
1545133853985263477,141289,0.625,-0.961,-0.252,2
1545133854104478328,141405,0.57,-0.956,-0.248,2
1545133854221954564,141522,0.513,-0.952,-0.246,2
1545133854340175086,141639,0.471,-0.942,-0.26,2
1545133854457896367,141755,0.429,-0.939,-0.275,2
1545133854577264978,141871,0.407,-0.941,-0.237,2
1545133854694711133,141988,0.385,-0.943,-0.208,2
1545133854931069725,142219,0.36,-0.951,-0.152,2
1545133855048942303,142335,0.345,-0.958,-0.099,2
1545133855166812586,142452,0.317,-0.959,-0.1,2
1545133855285156311,142567,0.295,-0.959,-0.104,2
1545133855403281801,142684,0.283,-0.958,-0.114,2
1545133855521793116,142801,0.28,-0.957,-0.113,2
1545133855639988636,142916,0.276,-0.955,-0.12,2
1545133855759445319,143032,0.277,-0.954,-0.124,2
1545133855876029014,143148,0.275,-0.953,-0.129,2
1545133855994020728,143265,0.27,-0.95,-0.143,2
1545133856230308014,143496,0.257,-0.941,-0.17,2
1545133856349159563,143612,0.245,-0.924,-0.197,2
1545133856467793883,143729,0.242,-0.899,-0.219,2
1545133856584419333,143845,0.243,-0.863,-0.242,2
1545133856702455869,143961,0.256,-0.824,-0.254,2
1545133856821811659,144078,0.27,-0.781,-0.27,2
1545133856939139224,144193,0.277,-0.739,-0.298,2
1545133857058176650,144309,0.281,-0.7,-0.329,2
1545133857176331218,144425,0.289,-0.666,-0.353,2
1545133857294142833,144542,0.293,-0.636,-0.377,2
1545133857412403546,144657,0.297,-0.608,-0.391,2
1545133857529947320,144774,0.301,-0.582,-0.401,2
1545133857648433739,144891,0.301,-0.558,-0.411,2
1545133857767367176,145006,0.301,-0.535,-0.42,2
1545133857886120306,145122,0.3,-0.511,-0.433,2
1545133858121499965,145355,0.301,-0.483,-0.455,2
1545133858239584602,145470,0.301,-0.455,-0.479,2
1545133858357432066,145586,0.302,-0.427,-0.507,2
1545133858475979730,145703,0.305,-0.398,-0.535,2
1545133858594550081,145819,0.307,-0.373,-0.558,2
1545133858712358327,145935,0.311,-0.349,-0.58,2
1545133858830274643,146051,0.316,-0.326,-0.599,2
1545133858948708623,146168,0.322,-0.305,-0.615,2
1545133859067387955,146283,0.321,-0.284,-0.628,2
1545133859185691440,146399,0.318,-0.264,-0.643,2
1545133859302884664,146516,0.312,-0.245,-0.66,2
1545133859420946249,146632,0.306,-0.228,-0.678,2
1545133859539339770,146747,0.305,-0.216,-0.695,2
1545133859657249497,146864,0.306,-0.204,-0.709,2
1545133859774445670,146982,0.307,-0.195,-0.716,2
1545133859893023538,147098,0.309,-0.189,-0.719,2
1545133860131112436,147329,0.311,-0.186,-0.716,2
1545133860247681881,147446,0.311,-0.186,-0.713,2
1545133860366669347,147561,0.31,-0.187,-0.712,2
1545133860484169356,147677,0.311,-0.185,-0.709,2
1545133860602449855,147793,0.312,-0.184,-0.706,2
1545133860721357247,147911,0.318,-0.183,-0.701,2
1545133860839561465,148026,0.329,-0.181,-0.696,2
1545133860957359940,148142,0.349,-0.182,-0.688,2
1545133861075105594,148259,0.379,-0.182,-0.681,2
1545133861311431669,148490,0.462,-0.183,-0.67,2
1545133861429572837,148606,0.512,-0.184,-0.666,2
1545133861548189840,148723,0.559,-0.187,-0.66,2
1545133861665889814,148838,0.604,-0.19,-0.651,2
1545133861784121479,148955,0.645,-0.195,-0.643,2
1545133861902393921,149072,0.684,-0.2,-0.639,2
1545133862020346276,149187,0.716,-0.2,-0.642,2
1545133862138883683,149303,0.744,-0.198,-0.65,2
1545133862257588944,149419,0.764,-0.195,-0.658,2
1545133862375045812,149536,0.777,-0.19,-0.664,2
1545133862493501381,149651,0.788,-0.189,-0.665,2
1545133862611000989,149767,0.799,-0.19,-0.662,2
1545133862729408923,149883,0.813,-0.189,-0.658,2
1545133862847714213,150000,0.832,-0.186,-0.651,2
1545133862966343080,150116,0.856,-0.181,-0.643,2
1545133863084177448,150232,0.885,-0.178,-0.633,2
1545133863203255008,150349,0.908,-0.178,-0.632,2
1545133863320416963,150464,0.926,-0.179,-0.632,2
1545133863556284581,150696,0.935,-0.183,-0.637,2
1545133863674498405,150813,0.935,-0.19,-0.645,2
1545133863793115594,150928,0.936,-0.194,-0.646,2
1545133863911381098,151045,0.937,-0.202,-0.644,2
1545133864029328799,151162,0.937,-0.209,-0.636,2
1545133864147319655,151277,0.937,-0.216,-0.631,2
1545133864265051146,151393,0.943,-0.233,-0.628,2
1545133864383293479,151510,0.943,-0.246,-0.628,2
1545133864502258623,151626,0.945,-0.26,-0.63,2
1545133864620123632,151741,0.945,-0.274,-0.632,2
1545133864738699903,151857,0.941,-0.285,-0.633,2
1545133864856487673,151974,0.94,-0.305,-0.634,2
1545133864973469983,152091,0.939,-0.331,-0.636,2
1545133865329646051,152440,0.938,-0.369,-0.64,2
1545133865565943474,152671,0.935,-0.411,-0.646,2
1545133865683078568,152787,0.933,-0.452,-0.653,2
1545133865801961633,152904,0.931,-0.489,-0.662,2
1545133866038277878,153136,0.931,-0.522,-0.665,2
1545133866156155727,153253,0.932,-0.549,-0.665,2
1545133866273990480,153368,0.931,-0.579,-0.663,2
1545133866392560117,153484,0.931,-0.612,-0.658,2
1545133866511169102,153600,0.928,-0.64,-0.654,2
1545133866629122246,153717,0.923,-0.671,-0.648,2
1545133866747556814,153832,0.918,-0.701,-0.641,2
1545133866864527392,153948,0.911,-0.729,-0.636,2
1545133867338323607,154413,0.895,-0.827,-0.617,2
1545133867455614225,154530,0.887,-0.879,-0.605,2
1545133867573603326,154645,0.882,-0.93,-0.59,2
1545133867692227414,154761,0.879,-0.955,-0.58,2
1545133867810514635,154877,0.875,-0.968,-0.572,2
1545133868047997306,155109,0.871,-0.972,-0.564,2
1545133868166041027,155226,0.871,-0.973,-0.555,2
1545133868283108109,155343,0.869,-0.967,-0.548,2
1545133868400624939,155458,0.839,-0.929,-0.56,2
1545133868520447816,155574,0.802,-0.88,-0.58,2
1545133868638256419,155690,0.737,-0.822,-0.621,2
1545133868756356438,155807,0.68,-0.76,-0.65,2
