rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545133839333636137,5,126889,0.334,-0.381,-0.833,2
1545133839452573389,5,127006,0.328,-0.381,-0.831,2
1545133839570009395,5,127122,0.326,-0.366,-0.837,2
1545133839687869303,5,127238,0.324,-0.362,-0.838,2
1545133839924718157,5,127470,0.321,-0.37,-0.837,2
1545133840042445278,5,127586,0.322,-0.359,-0.849,2
1545133840159852254,5,127702,0.319,-0.362,-0.853,2
1545133840278893771,5,127819,0.316,-0.359,-0.857,2
1545133840633340436,5,128168,0.325,-0.338,-0.847,2
1545133840750874048,5,128283,0.332,-0.327,-0.823,2
1545133840869838431,5,128399,0.339,-0.318,-0.79,2
1545133840987299235,5,128515,0.353,-0.318,-0.756,2
1545133841105997469,5,128632,0.351,-0.324,-0.722,2
1545133841224300794,5,128747,0.351,-0.319,-0.7,2
1545133841342587153,5,128863,0.354,-0.312,-0.687,2
1545133841460415466,5,128979,0.348,-0.296,-0.675,2
1545133841578713979,5,129096,0.351,-0.292,-0.676,2
1545133841696152569,5,129212,0.353,-0.288,-0.676,2
1545133841815058756,5,129328,0.356,-0.285,-0.677,2
1545133841934204240,5,129445,0.358,-0.281,-0.678,2
1545133842051173699,5,129560,0.359,-0.276,-0.677,2
1545133842169060578,5,129676,0.36,-0.27,-0.677,2
1545133842287538035,5,129792,0.36,-0.266,-0.678,2
1545133842405773398,5,129909,0.361,-0.262,-0.678,2
1545133842523741602,5,130024,0.363,-0.261,-0.679,2
1545133842641950410,5,130141,0.363,-0.26,-0.681,2
1545133842759900771,5,130258,0.363,-0.259,-0.681,2
1545133842877832929,5,130373,0.363,-0.258,-0.682,2
1545133842997510991,5,130489,0.361,-0.257,-0.684,2
1545133843113939614,5,130606,0.359,-0.256,-0.685,2
1545133843233270217,5,130722,0.358,-0.256,-0.686,2
1545133843351006813,5,130837,0.357,-0.257,-0.687,2
1545133843586881408,5,131070,0.355,-0.258,-0.687,2
1545133843704961935,5,131187,0.353,-0.259,-0.686,2
1545133843822905089,5,131303,0.352,-0.259,-0.686,2
1545133844059940062,5,131536,0.349,-0.26,-0.686,2
1545133844177933355,5,131651,0.348,-0.261,-0.688,2
1545133844295680721,5,131767,0.346,-0.261,-0.688,2
1545133844413748368,5,131883,0.343,-0.26,-0.688,2
1545133844532483155,5,132000,0.341,-0.26,-0.69,2
1545133844651140907,5,132115,0.338,-0.259,-0.691,2
1545133844768917425,5,132232,0.335,-0.259,-0.693,2
1545133844887043530,5,132349,0.333,-0.258,-0.694,2
1545133845006274396,5,132464,0.332,-0.256,-0.694,2
1545133845123163052,5,132580,0.331,-0.255,-0.693,2
1545133845241543767,5,132696,0.329,-0.254,-0.694,2
1545133845360459602,5,132813,0.326,-0.253,-0.693,2
1545133845595949279,5,133044,0.322,-0.254,-0.693,2
1545133845713829946,5,133160,0.319,-0.254,-0.694,2
1545133845832375725,5,133277,0.317,-0.253,-0.695,2
1545133845950272332,5,133393,0.314,-0.253,-0.696,2
1545133846068176179,5,133509,0.314,-0.252,-0.697,2
1545133846187804562,5,133626,0.314,-0.251,-0.697,2
1545133846304700221,5,133741,0.32,-0.25,-0.695,2
1545133846423247872,5,133857,0.331,-0.248,-0.693,2
1545133846541310780,5,133973,0.347,-0.247,-0.691,2
1545133846659020568,5,134090,0.372,-0.245,-0.691,2
1545133846896395376,5,134322,0.434,-0.239,-0.694,2
1545133847250465961,5,134670,0.568,-0.217,-0.701,2
1545133847368623717,5,134786,0.623,-0.213,-0.695,2
1545133847486577080,5,134903,0.677,-0.212,-0.684,2
1545133847605439740,5,135018,0.718,-0.207,-0.672,2
1545133847723426067,5,135134,0.754,-0.203,-0.666,2
1545133847840849097,5,135251,0.802,-0.219,-0.668,2
1545133847958856592,5,135367,0.85,-0.242,-0.672,2
1545133848077046630,5,135483,0.898,-0.275,-0.678,2
1545133848195730674,5,135599,0.94,-0.308,-0.682,2
1545133848314110089,5,135716,0.954,-0.314,-0.678,2
1545133848432377646,5,135831,0.96,-0.316,-0.673,2
1545133848549855564,5,135947,0.944,-0.298,-0.668,2
1545133848668502542,5,136064,0.928,-0.287,-0.665,2
1545133848785842955,5,136180,0.916,-0.294,-0.663,2
1545133848904093081,5,136295,0.901,-0.317,-0.663,2
1545133849023300396,5,136412,0.902,-0.373,-0.67,2
1545133849142220697,5,136530,0.897,-0.431,-0.68,2
1545133849260106008,5,136646,0.891,-0.489,-0.689,2
1545133849377474603,5,136761,0.883,-0.538,-0.699,2
1545133849495020222,5,136877,0.88,-0.583,-0.701,2
1545133849613192851,5,136994,0.88,-0.631,-0.697,2
1545133849732597860,5,137109,0.877,-0.674,-0.7,2
1545133849850025285,5,137225,0.873,-0.726,-0.702,2
1545133850559323290,5,137922,0.873,-0.794,-0.677,2
1545133850795066230,5,138154,0.878,-0.858,-0.631,2
1545133850912943399,5,138271,0.893,-0.92,-0.564,2
1545133851031824499,5,138386,0.914,-0.972,-0.484,2
1545133851150580715,5,138503,0.905,-0.961,-0.467,2
1545133851504212967,5,138851,0.89,-0.947,-0.448,2
1545133851622205017,5,138967,0.868,-0.924,-0.439,2
1545133851740150715,5,139084,0.838,-0.895,-0.436,2
1545133851976797436,5,139315,0.835,-0.91,-0.368,2
1545133852095171397,5,139431,0.834,-0.918,-0.346,2
1545133852212974069,5,139548,0.834,-0.926,-0.331,2
1545133852332237516,5,139664,0.831,-0.931,-0.318,2
1545133852449627684,5,139780,0.828,-0.933,-0.306,2
1545133852568192806,5,139897,0.825,-0.932,-0.3,2
1545133852686730877,5,140012,0.823,-0.932,-0.293,2
1545133852804082031,5,140128,0.822,-0.932,-0.293,2
1545133853040326323,5,140361,0.816,-0.935,-0.294,2
1545133853275953535,5,140593,0.803,-0.943,-0.289,2
1545133853395395806,5,140710,0.782,-0.952,-0.283,2
1545133853513447507,5,140825,0.755,-0.959,-0.274,2
1545133853632352986,5,140941,0.723,-0.965,-0.258,2
1545133853867350437,5,141174,0.678,-0.965,-0.253,2
1545133853985180419,5,141289,0.625,-0.961,-0.252,2
1545133854104293096,5,141405,0.57,-0.956,-0.248,2
1545133854221841618,5,141522,0.513,-0.952,-0.246,2
1545133854340177548,5,141639,0.471,-0.942,-0.26,2
1545133854457882567,5,141755,0.429,-0.939,-0.275,2
1545133854577259089,5,141871,0.407,-0.941,-0.237,2
1545133854694690254,5,141988,0.385,-0.943,-0.208,2
1545133854931033165,5,142219,0.36,-0.951,-0.152,2
1545133855048934486,5,142335,0.345,-0.958,-0.099,2
1545133855166798232,5,142452,0.317,-0.959,-0.1,2
1545133855285140671,5,142567,0.295,-0.959,-0.104,2
1545133855403087633,5,142684,0.283,-0.958,-0.114,2
1545133855521779743,5,142801,0.28,-0.957,-0.113,2
1545133855639977612,5,142916,0.276,-0.955,-0.12,2
1545133855759433866,5,143032,0.277,-0.954,-0.124,2
1545133855875978837,5,143148,0.275,-0.953,-0.129,2
1545133855993992791,5,143265,0.27,-0.95,-0.143,2
1545133856230295895,5,143496,0.257,-0.941,-0.17,2
1545133856349067656,5,143612,0.245,-0.924,-0.197,2
1545133856467680096,5,143729,0.242,-0.899,-0.219,2
1545133856584392097,5,143845,0.243,-0.863,-0.242,2
1545133856702420861,5,143961,0.256,-0.824,-0.254,2
1545133856821796564,5,144078,0.27,-0.781,-0.27,2
1545133856939107730,5,144193,0.277,-0.739,-0.298,2
1545133857058031411,5,144309,0.281,-0.7,-0.329,2
1545133857176275209,5,144425,0.289,-0.666,-0.353,2
1545133857294093864,5,144542,0.293,-0.636,-0.377,2
1545133857412288277,5,144657,0.297,-0.608,-0.391,2
1545133857529933795,5,144774,0.301,-0.582,-0.401,2
1545133857648331273,5,144891,0.301,-0.558,-0.411,2
1545133857767350184,5,145006,0.301,-0.535,-0.42,2
1545133857886119996,5,145122,0.3,-0.511,-0.433,2
1545133858121470956,5,145355,0.301,-0.483,-0.455,2
1545133858239557118,5,145470,0.301,-0.455,-0.479,2
1545133858357414586,5,145586,0.302,-0.427,-0.507,2
1545133858475926340,5,145703,0.305,-0.398,-0.535,2
1545133858594460233,5,145819,0.307,-0.373,-0.558,2
1545133858712286399,5,145935,0.311,-0.349,-0.58,2
1545133858830255423,5,146051,0.316,-0.326,-0.599,2
1545133858948577432,5,146168,0.322,-0.305,-0.615,2
1545133859067366476,5,146283,0.321,-0.284,-0.628,2
1545133859185667383,5,146399,0.318,-0.264,-0.643,2
1545133859302838163,5,146516,0.312,-0.245,-0.66,2
1545133859420947249,5,146632,0.306,-0.228,-0.678,2
1545133859539115019,5,146747,0.305,-0.216,-0.695,2
1545133859657126188,5,146864,0.306,-0.204,-0.709,2
1545133859774440402,5,146982,0.307,-0.195,-0.716,2
1545133859892975876,5,147098,0.309,-0.189,-0.719,2
1545133860131102715,5,147329,0.311,-0.186,-0.716,2
1545133860247639184,5,147446,0.311,-0.186,-0.713,2
1545133860366606920,5,147561,0.31,-0.187,-0.712,2
1545133860484147246,5,147677,0.311,-0.185,-0.709,2
1545133860602371243,5,147793,0.312,-0.184,-0.706,2
1545133860721249534,5,147911,0.318,-0.183,-0.701,2
1545133860839539748,5,148026,0.329,-0.181,-0.696,2
1545133860957337151,5,148142,0.349,-0.182,-0.688,2
1545133861075094085,5,148259,0.379,-0.182,-0.681,2
1545133861311431383,5,148490,0.462,-0.183,-0.67,2
1545133861429524289,5,148606,0.512,-0.184,-0.666,2
1545133861548151145,5,148723,0.559,-0.187,-0.66,2
1545133861665871290,5,148838,0.604,-0.19,-0.651,2
1545133861784111704,5,148955,0.645,-0.195,-0.643,2
1545133861902300360,5,149072,0.684,-0.2,-0.639,2
1545133862020321165,5,149187,0.716,-0.2,-0.642,2
1545133862138849413,5,149303,0.744,-0.198,-0.65,2
1545133862257486338,5,149419,0.764,-0.195,-0.658,2
1545133862375030655,5,149536,0.777,-0.19,-0.664,2
1545133862493455717,5,149651,0.788,-0.189,-0.665,2
1545133862611054455,5,149767,0.799,-0.19,-0.662,2
1545133862729394234,5,149883,0.813,-0.189,-0.658,2
1545133862847589598,5,150000,0.832,-0.186,-0.651,2
1545133862966322312,5,150116,0.856,-0.181,-0.643,2
1545133863084081576,5,150232,0.885,-0.178,-0.633,2
1545133863203240498,5,150349,0.908,-0.178,-0.632,2
1545133863320401238,5,150464,0.926,-0.179,-0.632,2
1545133863556252428,5,150696,0.935,-0.183,-0.637,2
1545133863674480242,5,150813,0.935,-0.19,-0.645,2
1545133863793058770,5,150928,0.936,-0.194,-0.646,2
