rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags,angle
1545133839225810728,5,125960,0.307,-0.285,-0.794,2,0.0
1545133839225907576,5,126194,0.31,-0.325,-0.805,2,0.0
1545133839225950920,5,126309,0.313,-0.338,-0.825,2,0.0
1545133839225987043,5,126425,0.332,-0.394,-0.812,2,0.0
1545133839226093109,5,126542,0.334,-0.389,-0.819,2,0.0
1545133839226145344,5,126657,0.335,-0.393,-0.819,2,0.0
1545133839226173509,5,126773,0.335,-0.406,-0.818,2,0.0
1545133839333635902,5,126889,0.334,-0.381,-0.833,2,0.0
1545133839452435073,5,127006,0.328,-0.381,-0.831,2,0.0
1545133839570022245,5,127122,0.326,-0.366,-0.837,2,0.0
1545133839687860541,5,127238,0.324,-0.362,-0.838,2,0.0
1545133839924706873,5,127470,0.321,-0.37,-0.837,2,0.0
1545133840042092472,5,127586,0.322,-0.359,-0.849,2,0.0
1545133840159813039,5,127702,0.319,-0.362,-0.853,2,0.0
1545133840278835171,5,127819,0.316,-0.359,-0.857,2,0.0
1545133840633319963,5,128168,0.325,-0.338,-0.847,2,0.0
1545133840750858622,5,128283,0.332,-0.327,-0.823,2,0.0
1545133840869830448,5,128399,0.339,-0.318,-0.79,2,0.0
1545133840987131706,5,128515,0.353,-0.318,-0.756,2,0.0
1545133841105946640,5,128632,0.351,-0.324,-0.722,2,0.0
1545133841224269084,5,128747,0.351,-0.319,-0.7,2,0.0
1545133841342558778,5,128863,0.354,-0.312,-0.687,2,0.0
1545133841460361774,5,128979,0.348,-0.296,-0.675,2,0.0
1545133841578631708,5,129096,0.351,-0.292,-0.676,2,0.0
1545133841696161084,5,129212,0.353,-0.288,-0.676,2,0.0
1545133841815044777,5,129328,0.356,-0.285,-0.677,2,0.0
1545133841934182924,5,129445,0.358,-0.281,-0.678,2,0.0
1545133842051031973,5,129560,0.359,-0.276,-0.677,2,0.0
1545133842169018924,5,129676,0.36,-0.27,-0.677,2,0.0
1545133842287523301,5,129792,0.36,-0.266,-0.678,2,0.0
1545133842405691039,5,129909,0.361,-0.262,-0.678,2,0.0
1545133842523733024,5,130024,0.363,-0.261,-0.679,2,0.0
1545133842641881585,5,130141,0.363,-0.26,-0.681,2,0.0
1545133842759885084,5,130258,0.363,-0.259,-0.681,2,0.0
1545133842877859300,5,130373,0.363,-0.258,-0.682,2,0.0
1545133842997464138,5,130489,0.361,-0.257,-0.684,2,0.0
1545133843113921739,5,130606,0.359,-0.256,-0.685,2,0.0
1545133843233189610,5,130722,0.358,-0.256,-0.686,2,0.0
1545133843350933616,5,130837,0.357,-0.257,-0.687,2,0.0
1545133843586833441,5,131070,0.355,-0.258,-0.687,2,0.0
1545133843704903413,5,131187,0.353,-0.259,-0.686,2,0.0
1545133843822850917,5,131303,0.352,-0.259,-0.686,2,0.0
1545133844059917169,5,131536,0.349,-0.26,-0.686,2,0.0
1545133844177865208,5,131651,0.348,-0.261,-0.688,2,0.0
1545133844295677499,5,131767,0.346,-0.261,-0.688,2,0.0
1545133844413735801,5,131883,0.343,-0.26,-0.688,2,0.0
1545133844532418596,5,132000,0.341,-0.26,-0.69,2,0.0
1545133844651138004,5,132115,0.338,-0.259,-0.691,2,0.0
1545133844768899268,5,132232,0.335,-0.259,-0.693,2,0.0
1545133844887031295,5,132349,0.333,-0.258,-0.694,2,0.0
1545133845006194162,5,132464,0.332,-0.256,-0.694,2,0.0
1545133845123146313,5,132580,0.331,-0.255,-0.693,2,0.0
1545133845241468538,5,132696,0.329,-0.254,-0.694,2,0.0
1545133845360325916,5,132813,0.326,-0.253,-0.693,2,0.0
1545133845595936345,5,133044,0.322,-0.254,-0.693,2,0.0
1545133845713808089,5,133160,0.319,-0.254,-0.694,2,0.0
1545133845832301838,5,133277,0.317,-0.253,-0.695,2,0.0
1545133845950439435,5,133393,0.314,-0.253,-0.696,2,0.0
1545133846068188471,5,133509,0.314,-0.252,-0.697,2,0.0
1545133846187769120,5,133626,0.314,-0.251,-0.697,2,0.0
1545133846304666733,5,133741,0.32,-0.25,-0.695,2,0.0
1545133846423231021,5,133857,0.331,-0.248,-0.693,2,0.0
1545133846541255715,5,133973,0.347,-0.247,-0.691,2,0.0
1545133846659008241,5,134090,0.372,-0.245,-0.691,2,0.0
1545133846896364471,5,134322,0.434,-0.239,-0.694,2,0.0
1545133847250384551,5,134670,0.568,-0.217,-0.701,2,0.0
1545133847368600181,5,134786,0.623,-0.213,-0.695,2,0.0
1545133847486560046,5,134903,0.677,-0.212,-0.684,2,0.0
1545133847605397865,5,135018,0.718,-0.207,-0.672,2,0.0
1545133847723376796,5,135134,0.754,-0.203,-0.666,2,0.0
1545133847840830016,5,135251,0.802,-0.219,-0.668,2,0.0
1545133847958838629,5,135367,0.85,-0.242,-0.672,2,0.0
1545133848077018027,5,135483,0.898,-0.275,-0.678,2,0.0
1545133848195721465,5,135599,0.94,-0.308,-0.682,2,0.0
1545133848314028571,5,135716,0.954,-0.314,-0.678,2,0.0
1545133848432347573,5,135831,0.96,-0.316,-0.673,2,0.0
1545133848549860692,5,135947,0.944,-0.298,-0.668,2,0.0
1545133848668429141,5,136064,0.928,-0.287,-0.665,2,0.0
1545133848785810931,5,136180,0.916,-0.294,-0.663,2,0.0
1545133848904083331,5,136295,0.901,-0.317,-0.663,2,0.0
1545133849023283089,5,136412,0.902,-0.373,-0.67,2,0.0
1545133849142140124,5,136530,0.897,-0.431,-0.68,2,0.0
1545133849259952915,5,136646,0.891,-0.489,-0.689,2,0.0
1545133849377376311,5,136761,0.883,-0.538,-0.699,2,0.0
1545133849494910578,5,136877,0.88,-0.583,-0.701,2,0.0
1545133849613179296,5,136994,0.88,-0.631,-0.697,2,0.0
1545133849732525161,5,137109,0.877,-0.674,-0.7,2,0.0
1545133849849851415,5,137225,0.873,-0.726,-0.702,2,0.0
1545133850559302706,5,137922,0.873,-0.794,-0.677,2,0.0
1545133850795049397,5,138154,0.878,-0.858,-0.631,2,0.0
1545133850912943416,5,138271,0.893,-0.92,-0.564,2,0.0
1545133851031817328,5,138386,0.914,-0.972,-0.484,2,0.0
1545133851150564917,5,138503,0.905,-0.961,-0.467,2,0.0
1545133851504184252,5,138851,0.89,-0.947,-0.448,2,0.0
1545133851622200317,5,138967,0.868,-0.924,-0.439,2,0.0
1545133851740147203,5,139084,0.838,-0.895,-0.436,2,0.0
