rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1545133839225557831,,3139,,1545133837,663332829,"""imu_link""",,0.739531679,-0.3642940436,-0.0087615873,0.5659448287,"[0.0037419565487653017, 0.0008145020110532641, -0.002411829074844718, 0.0008145016035996377, 0.0018183778738602996, -0.0008676849538460374, -0.0024118302389979362, -0.0008676808793097734, 0.004146279767155647]",,0.183225614333,-0.35686384187,-2.97102464172,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,4.44426886,10.65438909,-1.02933147,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133839225617120,,3140,,1545133837,713068954,"""imu_link""",,0.7554099579,-0.3016537298,-0.069152758,0.5775598065,"[0.0037630093283951283, 0.0006093690753914416, -0.0023938524536788464, 0.0006093680276535451, 0.0016869257669895887, -0.0006350518087856472, -0.002393854781985283, -0.0006350477924570441, 0.004086299333721399]",,-1.53824294824,-0.120374967556,-3.76038615463,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,3.00176769,9.15260705,-1.14789321,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133839225683561,,3141,,1545133837,762279982,"""imu_link""",,0.7593039967,-0.2372006738,-0.1283018646,0.5921960213,"[0.0036996793933212757, 0.0003787227033171803, -0.002338571008294821, 0.0003787211899179965, 0.0015906740445643663, -0.0003916761779692024, -0.002338574267923832, -0.0003916721907444298, 0.004046575631946325]",,-0.947020762456,-0.105461254762,-3.2948652624,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,1.61854739,6.36640616,-2.04968099,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133839225998237,,3142,,1545133837,813968212,"""imu_link""",,0.7616538477,-0.186981001,-0.1786893839,0.5942773179,"[0.0036403064150363207, 0.00021121113968547434, -0.002260349690914154, 0.0002112095826305449, 0.0015425370074808598, -0.0002101035788655281, -0.0022603515535593033, -0.0002100995770888403, 0.003939453978091478]",,-0.608266428979,-0.305731112289,-2.41708673792,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-2.15746439,7.87717015,-1.48202175,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133839226115238,,3143,,1545133837,864727425,"""imu_link""",,0.7578269475,-0.1556608441,-0.2157163218,0.5957543671,"[0.00356713542714715, 0.00010762421152321622, -0.002188193378970027, 0.00010762267629615963, 0.0015317326178774238, -0.00010019035107688978, -0.0021881957072764635, -0.00010018658940680325, 0.003878398099914193]",,-0.584830594588,-0.320644825084,-1.31027619552,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-3.53170274,8.1915384,-0.29460796,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133839226134623,,3144,,1545133837,913879118,"""imu_link""",,0.7631980355,-0.1398497038,-0.2361264562,0.5849786218,"[0.003578017232939601, 6.170690903672948e-05, -0.0021430281922221184, 6.170551932882518e-05, 0.0015274262987077236, -4.986271960660815e-05, -0.0021430270280689, -4.985917257727124e-05, 0.003769956761971116]",,0.615723285376,-0.140615006349,-1.26873085274,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-3.35565652,9.78134355,0.14730398,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133839226225295,,3145,,1545133837,964438016,"""imu_link""",,0.7702475885,-0.1122221699,-0.2634854357,0.5706445307,"[0.0035916143096983433, -1.2529354535217863e-05, -0.00207344489172101, -1.2530657841125503e-05, 0.001521632424555719, 2.6239162252750248e-05, -0.0020734432619065046, 2.624240005388856e-05, 0.003605049103498459]",,-0.103330724362,-0.280164747498,-2.44371836791,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-4.27720459,12.46874299,0.17604622,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133839226527586,,3146,,1545133838,16730819,"""imu_link""",,0.7658500102,-0.0514953062,-0.3218960177,0.5542627123,"[0.0034850656520575285, -0.00018274836475029588, -0.0019046571105718613, -0.00018274963076692075, 0.0015389365144073963, 0.00019019241153728217, -0.001904655247926712, 0.0001901951472973451, 0.0033750575967133045]",,-0.96299974045,-0.41225763225,-4.33989042322,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-5.02270644,10.90049452,0.34311049,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133839226532530,,3147,,1545133838,65808460,"""imu_link""",,0.7443656582,0.032562221,-0.3947413987,0.5369409535,"[0.0032556515652686357, -0.000398213422158733, -0.0016572707099840045, -0.0003982146445196122, 0.0016150391893461347, 0.00039325508987531066, -0.0016572688473388553, 0.00039325724355876446, 0.0031105594243854284]",,-1.13663796799,-0.8266457949,-4.60620672313,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-7.36699539,7.85920625,-0.85328525,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545133839226608259,,3148,,1545133838,116674593,"""imu_link""",,0.7235526922,0.1165861789,-0.4573481432,0.5037073465,"[0.0030708506237715483, -0.0005742121720686555, -0.0013951172586530447, -0.0005742138018831611, 0.0017443511169403791, 0.0005307261017151177, -0.0013951152795925736, 0.0005307276733219624, 0.0027908587362617254]",,-0.353668046272,-0.079894889971,-4.24508182046,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-7.62208277,4.62031508,0.36287078,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
