rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545135565514254482,19520,0.55,-0.517,-0.784,2
1545135565514482924,19636,0.55,-0.519,-0.784,2
1545135565514651933,19751,0.548,-0.522,-0.782,2
1545135565514743663,19867,0.546,-0.526,-0.78,2
1545135565585835707,19985,0.539,-0.526,-0.781,2
1545135565706096748,20100,0.533,-0.525,-0.784,2
1545135565823001730,20216,0.528,-0.523,-0.788,2
1545135565941148721,20333,0.524,-0.523,-0.791,2
1545135566059845497,20449,0.524,-0.527,-0.793,2
1545135566177520504,20564,0.524,-0.532,-0.792,2
1545135566413649671,20797,0.524,-0.54,-0.791,2
1545135566532279498,20913,0.522,-0.539,-0.792,2
1545135566649572325,21030,0.522,-0.54,-0.793,2
1545135566767073740,21146,0.521,-0.54,-0.793,2
1545135566885920709,21263,0.522,-0.538,-0.794,2
1545135567002980395,21379,0.524,-0.537,-0.797,2
1545135567121979119,21494,0.527,-0.534,-0.805,2
1545135567239552996,21610,0.532,-0.528,-0.817,2
1545135567357300134,21727,0.542,-0.522,-0.828,2
1545135567712385277,22076,0.593,-0.485,-0.827,2
1545135567830269999,22192,0.612,-0.47,-0.819,2
1545135567948351449,22307,0.63,-0.457,-0.812,2
1545135568066525512,22423,0.645,-0.443,-0.806,2
1545135568184372327,22540,0.66,-0.431,-0.798,2
1545135568302253628,22656,0.675,-0.418,-0.789,2
1545135568420026178,22771,0.691,-0.406,-0.775,2
1545135568538388753,22887,0.706,-0.394,-0.758,2
1545135568658093877,23004,0.721,-0.384,-0.739,2
1545135568774187674,23120,0.735,-0.375,-0.721,2
1545135568892447571,23236,0.748,-0.369,-0.705,2
1545135569010200600,23353,0.76,-0.364,-0.691,2
1545135569128325388,23469,0.771,-0.362,-0.678,2
1545135569247642634,23584,0.779,-0.359,-0.667,2
1545135569365876843,23700,0.788,-0.357,-0.655,2
1545135569483169868,23817,0.797,-0.355,-0.639,2
1545135569720510811,24048,0.813,-0.346,-0.604,2
1545135569837188583,24166,0.82,-0.339,-0.586,2
1545135569954981701,24282,0.826,-0.331,-0.572,2
1545135570072975222,24397,0.831,-0.326,-0.558,2
1545135570191315137,24513,0.837,-0.323,-0.544,2
1545135570309565536,24630,0.842,-0.321,-0.528,2
1545135570427167055,24746,0.846,-0.32,-0.51,2
1545135570663373306,24977,0.849,-0.316,-0.49,2
1545135570782354383,25094,0.851,-0.312,-0.471,2
1545135570901651639,25210,0.853,-0.309,-0.453,2
