rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545135565585820936,5,19985,0.539,-0.526,-0.781,2
1545135565706040741,5,20100,0.533,-0.525,-0.784,2
1545135565822906034,5,20216,0.528,-0.523,-0.788,2
1545135565941108447,5,20333,0.524,-0.523,-0.791,2
1545135566059819209,5,20449,0.524,-0.527,-0.793,2
1545135566177499478,5,20564,0.524,-0.532,-0.792,2
1545135566413628677,5,20797,0.524,-0.54,-0.791,2
1545135566532258479,5,20913,0.522,-0.539,-0.792,2
1545135566649498032,5,21030,0.522,-0.54,-0.793,2
1545135566767061985,5,21146,0.521,-0.54,-0.793,2
1545135566885350423,5,21263,0.522,-0.538,-0.794,2
1545135567002924958,5,21379,0.524,-0.537,-0.797,2
1545135567121847986,5,21494,0.527,-0.534,-0.805,2
1545135567239524379,5,21610,0.532,-0.528,-0.817,2
1545135567357287406,5,21727,0.542,-0.522,-0.828,2
1545135567712390927,5,22076,0.593,-0.485,-0.827,2
1545135567830192107,5,22192,0.612,-0.47,-0.819,2
1545135567948115547,5,22307,0.63,-0.457,-0.812,2
1545135568066504706,5,22423,0.645,-0.443,-0.806,2
1545135568184316969,5,22540,0.66,-0.431,-0.798,2
1545135568302206842,5,22656,0.675,-0.418,-0.789,2
1545135568420017614,5,22771,0.691,-0.406,-0.775,2
1545135568538373851,5,22887,0.706,-0.394,-0.758,2
1545135568657965693,5,23004,0.721,-0.384,-0.739,2
1545135568774165799,5,23120,0.735,-0.375,-0.721,2
1545135568892446360,5,23236,0.748,-0.369,-0.705,2
1545135569010083884,5,23353,0.76,-0.364,-0.691,2
1545135569128307230,5,23469,0.771,-0.362,-0.678,2
1545135569247612927,5,23584,0.779,-0.359,-0.667,2
1545135569365670875,5,23700,0.788,-0.357,-0.655,2
1545135569483096224,5,23817,0.797,-0.355,-0.639,2
1545135569720480631,5,24048,0.813,-0.346,-0.604,2
1545135569837101009,5,24166,0.82,-0.339,-0.586,2
1545135569954961606,5,24282,0.826,-0.331,-0.572,2
1545135570072929815,5,24397,0.831,-0.326,-0.558,2
1545135570191288717,5,24513,0.837,-0.323,-0.544,2
1545135570309475798,5,24630,0.842,-0.321,-0.528,2
1545135570427145569,5,24746,0.846,-0.32,-0.51,2
1545135570663354670,5,24977,0.849,-0.316,-0.49,2
1545135570782211115,5,25094,0.851,-0.312,-0.471,2
1545135570901468904,5,25210,0.853,-0.309,-0.453,2
1545135571017961153,5,25326,0.855,-0.307,-0.434,2
1545135571136795654,5,25443,0.857,-0.31,-0.418,2
1545135571254570173,5,25559,0.857,-0.311,-0.402,2
1545135571371908678,5,25674,0.857,-0.313,-0.385,2
1545135571490371770,5,25790,0.856,-0.314,-0.369,2
1545135571608191418,5,25907,0.854,-0.314,-0.353,2
1545135571726305279,5,26023,0.851,-0.314,-0.338,2
1545135571843694038,5,26138,0.848,-0.316,-0.323,2
1545135571963700113,5,26255,0.838,-0.312,-0.305,2
1545135572080080150,5,26373,0.833,-0.318,-0.286,2
1545135572198426059,5,26488,0.827,-0.321,-0.272,2
1545135572317099513,5,26604,0.827,-0.329,-0.261,2
1545135572435911540,5,26720,0.831,-0.342,-0.257,2
1545135572553072103,5,26837,0.833,-0.35,-0.255,2
1545135572670975795,5,26952,0.835,-0.358,-0.25,2
1545135572907918039,5,27184,0.827,-0.361,-0.237,2
1545135573024925230,5,27301,0.823,-0.363,-0.231,2
1545135573143681100,5,27417,0.818,-0.366,-0.223,2
1545135573261531606,5,27533,0.814,-0.373,-0.214,2
1545135573497285350,5,27765,0.797,-0.383,-0.2,2
1545135573614923426,5,27881,0.79,-0.386,-0.197,2
1545135573733475531,5,27997,0.782,-0.387,-0.198,2
1545135573852049893,5,28114,0.775,-0.387,-0.2,2
1545135573970870812,5,28229,0.767,-0.389,-0.2,2
1545135574088319446,5,28346,0.759,-0.392,-0.199,2
1545135574206863838,5,28463,0.751,-0.396,-0.2,2
1545135574324281745,5,28578,0.741,-0.401,-0.2,2
1545135574442455687,5,28694,0.73,-0.408,-0.199,2
1545135574559938658,5,28810,0.718,-0.414,-0.2,2
1545135574678752716,5,28927,0.704,-0.42,-0.197,2
1545135574796428890,5,29042,0.691,-0.428,-0.193,2
1545135574914150388,5,29158,0.678,-0.436,-0.188,2
1545135575032859274,5,29274,0.664,-0.445,-0.182,2
1545135575150557057,5,29392,0.651,-0.455,-0.174,2
1545135575269235361,5,29507,0.639,-0.465,-0.167,2
1545135575387201383,5,29623,0.631,-0.477,-0.17,2
1545135575505348315,5,29740,0.621,-0.487,-0.167,2
