rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags,angle
1545135565512725687,5,18823,0.543,-0.548,-0.754,2,0.0
1545135565512938514,5,18939,0.544,-0.542,-0.758,2,0.0
1545135565513145576,5,19056,0.546,-0.533,-0.767,2,0.0
1545135565513640352,5,19287,0.546,-0.523,-0.777,2,0.0
1545135565513923416,5,19403,0.547,-0.518,-0.782,2,0.0
1545135565514245635,5,19520,0.55,-0.517,-0.784,2,0.0
1545135565514480129,5,19636,0.55,-0.519,-0.784,2,0.0
1545135565514648245,5,19751,0.548,-0.522,-0.782,2,0.0
1545135565514748266,5,19867,0.546,-0.526,-0.78,2,0.0
1545135565585789125,5,19985,0.539,-0.526,-0.781,2,0.0
1545135565705967192,5,20100,0.533,-0.525,-0.784,2,0.0
1545135565822907006,5,20216,0.528,-0.523,-0.788,2,0.0
1545135565941099646,5,20333,0.524,-0.523,-0.791,2,0.0
1545135566059733316,5,20449,0.524,-0.527,-0.793,2,0.0
1545135566177467310,5,20564,0.524,-0.532,-0.792,2,0.0
1545135566413587265,5,20797,0.524,-0.54,-0.791,2,0.0
1545135566532208570,5,20913,0.522,-0.539,-0.792,2,0.0
1545135566649498592,5,21030,0.522,-0.54,-0.793,2,0.0
1545135566767043120,5,21146,0.521,-0.54,-0.793,2,0.0
1545135566885305093,5,21263,0.522,-0.538,-0.794,2,0.0
1545135567002918297,5,21379,0.524,-0.537,-0.797,2,0.0
1545135567121814657,5,21494,0.527,-0.534,-0.805,2,0.0
1545135567239524239,5,21610,0.532,-0.528,-0.817,2,0.0
1545135567357259997,5,21727,0.542,-0.522,-0.828,2,0.0
1545135567712338208,5,22076,0.593,-0.485,-0.827,2,0.0
1545135567830170563,5,22192,0.612,-0.47,-0.819,2,0.0
1545135567948077818,5,22307,0.63,-0.457,-0.812,2,0.0
1545135568066225525,5,22423,0.645,-0.443,-0.806,2,0.0
1545135568184266882,5,22540,0.66,-0.431,-0.798,2,0.0
1545135568302201089,5,22656,0.675,-0.418,-0.789,2,0.0
1545135568419870515,5,22771,0.691,-0.406,-0.775,2,0.0
1545135568538351356,5,22887,0.706,-0.394,-0.758,2,0.0
1545135568657951933,5,23004,0.721,-0.384,-0.739,2,0.0
1545135568774136120,5,23120,0.735,-0.375,-0.721,2,0.0
1545135568892379956,5,23236,0.748,-0.369,-0.705,2,0.0
1545135569010040308,5,23353,0.76,-0.364,-0.691,2,0.0
1545135569128284499,5,23469,0.771,-0.362,-0.678,2,0.0
1545135569247581897,5,23584,0.779,-0.359,-0.667,2,0.0
1545135569365590402,5,23700,0.788,-0.357,-0.655,2,0.0
1545135569483058067,5,23817,0.797,-0.355,-0.639,2,0.0
1545135569720394378,5,24048,0.813,-0.346,-0.604,2,0.0
1545135569837113276,5,24166,0.82,-0.339,-0.586,2,0.0
1545135569954942099,5,24282,0.826,-0.331,-0.572,2,0.0
1545135570072922143,5,24397,0.831,-0.326,-0.558,2,0.0
1545135570191265570,5,24513,0.837,-0.323,-0.544,2,0.0
1545135570309447843,5,24630,0.842,-0.321,-0.528,2,0.0
1545135570427112096,5,24746,0.846,-0.32,-0.51,2,0.0
1545135570663305155,5,24977,0.849,-0.316,-0.49,2,0.0
1545135570782191676,5,25094,0.851,-0.312,-0.471,2,0.0
1545135570901462020,5,25210,0.853,-0.309,-0.453,2,0.0
1545135571017929968,5,25326,0.855,-0.307,-0.434,2,0.0
1545135571136420200,5,25443,0.857,-0.31,-0.418,2,0.0
1545135571254525164,5,25559,0.857,-0.311,-0.402,2,0.0
1545135571371878609,5,25674,0.857,-0.313,-0.385,2,0.0
1545135571490314963,5,25790,0.856,-0.314,-0.369,2,0.0
1545135571608192414,5,25907,0.854,-0.314,-0.353,2,0.0
1545135571726260754,5,26023,0.851,-0.314,-0.338,2,0.0
1545135571843659736,5,26138,0.848,-0.316,-0.323,2,0.0
1545135571963681465,5,26255,0.838,-0.312,-0.305,2,0.0
1545135572080060557,5,26373,0.833,-0.318,-0.286,2,0.0
1545135572198378036,5,26488,0.827,-0.321,-0.272,2,0.0
1545135572317100088,5,26604,0.827,-0.329,-0.261,2,0.0
1545135572435839988,5,26720,0.831,-0.342,-0.257,2,0.0
1545135572553024701,5,26837,0.833,-0.35,-0.255,2,0.0
1545135572670927396,5,26952,0.835,-0.358,-0.25,2,0.0
1545135572907881732,5,27184,0.827,-0.361,-0.237,2,0.0
1545135573024888925,5,27301,0.823,-0.363,-0.231,2,0.0
1545135573143623327,5,27417,0.818,-0.366,-0.223,2,0.0
1545135573261473891,5,27533,0.814,-0.373,-0.214,2,0.0
1545135573497217585,5,27765,0.797,-0.383,-0.2,2,0.0
1545135573614872611,5,27881,0.79,-0.386,-0.197,2,0.0
1545135573733459739,5,27997,0.782,-0.387,-0.198,2,0.0
1545135573851997728,5,28114,0.775,-0.387,-0.2,2,0.0
1545135573970857245,5,28229,0.767,-0.389,-0.2,2,0.0
1545135574088269929,5,28346,0.759,-0.392,-0.199,2,0.0
1545135574206827816,5,28463,0.751,-0.396,-0.2,2,0.0
1545135574324225563,5,28578,0.741,-0.401,-0.2,2,0.0
1545135574442388159,5,28694,0.73,-0.408,-0.199,2,0.0
1545135574559925018,5,28810,0.718,-0.414,-0.2,2,0.0
1545135574678718832,5,28927,0.704,-0.42,-0.197,2,0.0
1545135574796428902,5,29042,0.691,-0.428,-0.193,2,0.0
1545135574914119846,5,29158,0.678,-0.436,-0.188,2,0.0
1545135575032859182,5,29274,0.664,-0.445,-0.182,2,0.0
1545135575150535064,5,29392,0.651,-0.455,-0.174,2,0.0
1545135575269182478,5,29507,0.639,-0.465,-0.167,2,0.0
1545135575387147915,5,29623,0.631,-0.477,-0.17,2,0.0
1545135575505295181,5,29740,0.621,-0.487,-0.167,2,0.0
1545135575623175811,5,29855,0.609,-0.496,-0.168,2,0.0
1545135575741877210,5,29971,0.6,-0.507,-0.167,2,0.0
1545135575859522871,5,30087,0.586,-0.515,-0.16,2,0.0
1545135575977007781,5,30204,0.577,-0.527,-0.161,2,0.0
1545135576095035363,5,30319,0.569,-0.538,-0.164,2,0.0
1545135576213210371,5,30436,0.558,-0.549,-0.174,2,0.0
1545135576331072066,5,30553,0.548,-0.561,-0.184,2,0.0
1545135576449109210,5,30669,0.535,-0.574,-0.193,2,0.0
1545135576567320509,5,30784,0.521,-0.589,-0.202,2,0.0
1545135576685063411,5,30900,0.505,-0.604,-0.208,2,0.0
1545135576804123126,5,31017,0.488,-0.618,-0.215,2,0.0
1545135576923031383,5,31132,0.471,-0.63,-0.222,2,0.0
1545135577040132709,5,31248,0.455,-0.643,-0.228,2,0.0
1545135577158560181,5,31364,0.438,-0.655,-0.234,2,0.0
1545135577276210272,5,31482,0.423,-0.667,-0.239,2,0.0
1545135577394388179,5,31598,0.407,-0.678,-0.244,2,0.0
1545135577512211938,5,31714,0.39,-0.687,-0.248,2,0.0
1545135577630143983,5,31830,0.374,-0.696,-0.25,2,0.0
1545135577748661365,5,31947,0.356,-0.704,-0.254,2,0.0
1545135577866290712,5,32062,0.339,-0.71,-0.261,2,0.0
1545135577985601063,5,32178,0.322,-0.718,-0.264,2,0.0
1545135578102547856,5,32295,0.306,-0.726,-0.273,2,0.0
1545135578220366269,5,32411,0.287,-0.728,-0.281,2,0.0
1545135578338203525,5,32527,0.274,-0.737,-0.293,2,0.0
1545135578456956138,5,32643,0.263,-0.741,-0.315,2,0.0
1545135578575349233,5,32760,0.272,-0.765,-0.341,2,0.0
1545135578693440076,5,32875,0.268,-0.774,-0.367,2,0.0
1545135578811575219,5,32991,0.261,-0.776,-0.389,2,0.0
1545135578929023383,5,33107,0.254,-0.779,-0.41,2,0.0
1545135579048074064,5,33224,0.231,-0.76,-0.426,2,0.0
1545135579165108710,5,33339,0.226,-0.762,-0.447,2,0.0
1545135579283139979,5,33455,0.223,-0.762,-0.469,2,0.0
1545135579401559387,5,33573,0.22,-0.763,-0.491,2,0.0
1545135579519017251,5,33688,0.22,-0.764,-0.512,2,0.0
1545135579637045368,5,33804,0.219,-0.765,-0.533,2,0.0
1545135579755308897,5,33920,0.218,-0.766,-0.553,2,0.0
1545135579873822708,5,34037,0.217,-0.766,-0.572,2,0.0
1545135579992229481,5,34152,0.216,-0.764,-0.59,2,0.0
1545135580110183959,5,34268,0.216,-0.761,-0.606,2,0.0
1545135580227907342,5,34384,0.219,-0.754,-0.62,2,0.0
1545135580346543770,5,34501,0.225,-0.745,-0.632,2,0.0
1545135580464279383,5,34617,0.234,-0.735,-0.643,2,0.0
1545135580582221856,5,34733,0.245,-0.723,-0.652,2,0.0
1545135580700508737,5,34850,0.261,-0.714,-0.661,2,0.0
1545135580818678489,5,34965,0.277,-0.705,-0.667,2,0.0
1545135580936737324,5,35081,0.295,-0.697,-0.673,2,0.0
1545135581055262292,5,35197,0.313,-0.689,-0.677,2,0.0
1545135581172729471,5,35314,0.33,-0.682,-0.68,2,0.0
1545135581290130755,5,35429,0.348,-0.674,-0.683,2,0.0
1545135581409398385,5,35545,0.366,-0.667,-0.686,2,0.0
1545135581527169903,5,35663,0.384,-0.659,-0.69,2,0.0
1545135581645841450,5,35778,0.401,-0.653,-0.696,2,0.0
1545135581763355179,5,35894,0.417,-0.647,-0.702,2,0.0
1545135581881123792,5,36010,0.432,-0.642,-0.708,2,0.0
1545135581999683109,5,36127,0.446,-0.637,-0.712,2,0.0
1545135582117581762,5,36242,0.458,-0.632,-0.715,2,0.0
1545135582353344021,5,36474,0.476,-0.626,-0.719,2,0.0
1545135582589175025,5,36708,0.497,-0.616,-0.72,2,0.0
1545135582707422723,5,36824,0.519,-0.605,-0.72,2,0.0
1545135582825125999,5,36941,0.54,-0.593,-0.718,2,0.0
1545135582943943432,5,37057,0.558,-0.581,-0.714,2,0.0
1545135583062425732,5,37172,0.571,-0.569,-0.711,2,0.0
1545135583298160714,5,37405,0.588,-0.557,-0.711,2,0.0
1545135583417895091,5,37521,0.607,-0.544,-0.71,2,0.0
1545135583535050291,5,37636,0.625,-0.529,-0.709,2,0.0
1545135583652235701,5,37754,0.641,-0.514,-0.705,2,0.0
1545135583770108000,5,37870,0.654,-0.5,-0.697,2,0.0
1545135583888069156,5,37985,0.666,-0.488,-0.688,2,0.0
1545135584006337755,5,38101,0.678,-0.476,-0.678,2,0.0
1545135584124872208,5,38218,0.692,-0.466,-0.667,2,0.0
1545135584242812631,5,38334,0.705,-0.457,-0.655,2,0.0
1545135584360262751,5,38449,0.72,-0.444,-0.644,2,0.0
1545135584479334662,5,38565,0.735,-0.432,-0.633,2,0.0
1545135584598373831,5,38682,0.751,-0.42,-0.62,2,0.0
1545135584715124544,5,38798,0.767,-0.408,-0.607,2,0.0
1545135584951151962,5,39031,0.793,-0.387,-0.577,2,0.0
1545135585069077155,5,39147,0.806,-0.374,-0.56,2,0.0
1545135585187184481,5,39262,0.816,-0.362,-0.542,2,0.0
1545135585423612686,5,39495,0.828,-0.353,-0.518,2,0.0
1545135585659647452,5,39726,0.84,-0.344,-0.49,2,0.0
1545135585895240804,5,39960,0.849,-0.339,-0.454,2,0.0
1545135586014199146,5,40075,0.856,-0.336,-0.418,2,0.0
1545135586132426297,5,40191,0.86,-0.337,-0.387,2,0.0
1545135586250027853,5,40308,0.858,-0.339,-0.363,2,0.0
1545135586368987686,5,40424,0.856,-0.341,-0.346,2,0.0
1545135586486513727,5,40539,0.854,-0.342,-0.332,2,0.0
1545135586604337405,5,40655,0.85,-0.344,-0.317,2,0.0
1545135586722226447,5,40772,0.845,-0.349,-0.297,2,0.0
1545135586841198601,5,40888,0.841,-0.355,-0.277,2,0.0
1545135586958437470,5,41004,0.836,-0.359,-0.255,2,0.0
1545135587076321810,5,41121,0.83,-0.36,-0.235,2,0.0
1545135587194261977,5,41237,0.823,-0.36,-0.219,2,0.0
1545135587312277305,5,41352,0.815,-0.362,-0.205,2,0.0
1545135587430116573,5,41468,0.808,-0.367,-0.193,2,0.0
1545135587548339247,5,41585,0.801,-0.375,-0.18,2,0.0
1545135587667313172,5,41701,0.792,-0.38,-0.167,2,0.0
1545135587785284874,5,41816,0.787,-0.392,-0.154,2,0.0
1545135587904241103,5,41933,0.786,-0.407,-0.148,2,0.0
1545135588021385609,5,42051,0.779,-0.419,-0.144,2,0.0
1545135588139667946,5,42167,0.774,-0.435,-0.143,2,0.0
1545135588257127329,5,42282,0.764,-0.444,-0.143,2,0.0
1545135588375201380,5,42398,0.749,-0.447,-0.14,2,0.0
1545135588493520208,5,42515,0.74,-0.453,-0.138,2,0.0
1545135588611320092,5,42630,0.728,-0.456,-0.135,2,0.0
1545135588729143881,5,42746,0.716,-0.457,-0.133,2,0.0
1545135588848301283,5,42862,0.703,-0.459,-0.13,2,0.0
1545135588965462026,5,42980,0.688,-0.46,-0.128,2,0.0
1545135589083954319,5,43095,0.672,-0.464,-0.13,2,0.0
