rosbagTimestamp,address,x_m,y_m,z_m
1545133843818130633,4,0.0,0.0,0.0
1545133843818496489,9,1.359,0.0,0.0
1545133843818510865,6,-0.014,-1.186,0.0
1545133854098858875,4,0.0,0.0,0.0
1545133854098929594,9,1.359,0.0,0.0
1545133854099026699,6,-0.014,-1.186,0.0
1545133864380307166,4,0.0,0.0,0.0
1545133864380364601,9,1.359,0.0,0.0
1545133864380385039,6,-0.014,-1.186,0.0
1545133874660143298,4,0.0,0.0,0.0
1545133874660308192,9,1.359,0.0,0.0
1545133874660328884,6,-0.014,-1.186,0.0
1545133884940439349,4,0.0,0.0,0.0
1545133884940614854,9,1.359,0.0,0.0
1545133884940657830,6,-0.014,-1.186,0.0
1545133895221683472,4,0.0,0.0,0.0
1545133895221903778,9,1.359,0.0,0.0
1545133895221996354,6,-0.014,-1.186,0.0
1545133905504599916,4,0.0,0.0,0.0
1545133905504941738,9,1.359,0.0,0.0
1545133905505003551,6,-0.014,-1.186,0.0
1545133915786665006,4,0.0,0.0,0.0
1545133915787063947,9,1.359,0.0,0.0
1545133915787085766,6,-0.014,-1.186,0.0
