rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545136236751959813,22186,0.226,-0.634,-0.561,2
1545136236752190495,22302,0.228,-0.634,-0.564,2
1545136236928660997,22766,0.239,-0.631,-0.612,2
1545136237164716179,22999,0.261,-0.629,-0.663,2
1545136237283415980,23115,0.285,-0.628,-0.717,2
1545136237401966118,23232,0.313,-0.628,-0.77,2
1545136237519844314,23347,0.334,-0.632,-0.794,2
1545136237638183764,23463,0.346,-0.637,-0.812,2
1545136237755593328,23579,0.36,-0.642,-0.829,2
1545136237874842319,23696,0.377,-0.647,-0.843,2
1545136237994294215,23811,0.394,-0.65,-0.85,2
1545136238110711093,23927,0.414,-0.651,-0.851,2
1545136238229178959,24045,0.435,-0.649,-0.843,2
1545136238347666388,24161,0.458,-0.648,-0.83,2
1545136238465050829,24276,0.478,-0.646,-0.813,2
1545136238583788016,24392,0.495,-0.645,-0.793,2
1545136238701786352,24509,0.509,-0.646,-0.773,2
1545136238819971241,24624,0.514,-0.643,-0.753,2
1545136238940144148,24740,0.513,-0.635,-0.735,2
1545136239056776969,24856,0.509,-0.623,-0.722,2
1545136239175254447,24973,0.502,-0.61,-0.713,2
1545136239292904708,25089,0.496,-0.597,-0.708,2
1545136239412287208,25205,0.493,-0.588,-0.707,2
1545136239529143997,25322,0.49,-0.582,-0.707,2
1545136239648004351,25438,0.488,-0.578,-0.709,2
1545136239765884183,25553,0.487,-0.576,-0.711,2
1545136239883797531,25669,0.487,-0.575,-0.713,2
1545136240003724238,25786,0.487,-0.574,-0.714,2
1545136240121124668,25901,0.487,-0.573,-0.715,2
1545136240238686402,26017,0.487,-0.573,-0.716,2
1545136240356710236,26134,0.488,-0.572,-0.717,2
1545136240475644758,26252,0.494,-0.57,-0.716,2
1545136240594519194,26367,0.505,-0.563,-0.714,2
1545136240711820728,26483,0.523,-0.553,-0.708,2
1545136240829699648,26599,0.548,-0.537,-0.699,2
1545136240948025820,26716,0.577,-0.516,-0.69,2
1545136241068181965,26831,0.604,-0.489,-0.675,2
1545136241185004821,26947,0.632,-0.459,-0.661,2
1545136241303205824,27064,0.66,-0.435,-0.646,2
1545136241420836672,27180,0.687,-0.414,-0.629,2
1545136241538719921,27296,0.716,-0.399,-0.613,2
1545136241658135653,27412,0.742,-0.387,-0.595,2
1545136241775866422,27529,0.765,-0.376,-0.573,2
1545136241894173158,27644,0.786,-0.367,-0.549,2
1545136242011943635,27760,0.805,-0.358,-0.528,2
1545136242130798561,27876,0.823,-0.351,-0.51,2
1545136242366746404,28108,0.843,-0.341,-0.493,2
1545136242484697602,28225,0.859,-0.328,-0.478,2
