rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545136236928594288,5,22766,0.239,-0.631,-0.612,2
1545136237164652845,5,22999,0.261,-0.629,-0.663,2
1545136237283366996,5,23115,0.285,-0.628,-0.717,2
1545136237401942826,5,23232,0.313,-0.628,-0.77,2
1545136237519784041,5,23347,0.334,-0.632,-0.794,2
1545136237638161136,5,23463,0.346,-0.637,-0.812,2
1545136237755588132,5,23579,0.36,-0.642,-0.829,2
1545136237874874475,5,23696,0.377,-0.647,-0.843,2
1545136237994158938,5,23811,0.394,-0.65,-0.85,2
1545136238110675851,5,23927,0.414,-0.651,-0.851,2
1545136238229154759,5,24045,0.435,-0.649,-0.843,2
1545136238347673211,5,24161,0.458,-0.648,-0.83,2
1545136238465035078,5,24276,0.478,-0.646,-0.813,2
1545136238583705428,5,24392,0.495,-0.645,-0.793,2
1545136238701772879,5,24509,0.509,-0.646,-0.773,2
1545136238819870987,5,24624,0.514,-0.643,-0.753,2
1545136238940024965,5,24740,0.513,-0.635,-0.735,2
1545136239056755986,5,24856,0.509,-0.623,-0.722,2
1545136239175172581,5,24973,0.502,-0.61,-0.713,2
1545136239292831901,5,25089,0.496,-0.597,-0.708,2
1545136239412212930,5,25205,0.493,-0.588,-0.707,2
1545136239529123221,5,25322,0.49,-0.582,-0.707,2
1545136239647934561,5,25438,0.488,-0.578,-0.709,2
1545136239765794235,5,25553,0.487,-0.576,-0.711,2
1545136239883786235,5,25669,0.487,-0.575,-0.713,2
1545136240003706829,5,25786,0.487,-0.574,-0.714,2
1545136240121047259,5,25901,0.487,-0.573,-0.715,2
1545136240238596565,5,26017,0.487,-0.573,-0.716,2
1545136240356652705,5,26134,0.488,-0.572,-0.717,2
1545136240475628498,5,26252,0.494,-0.57,-0.716,2
1545136240594430153,5,26367,0.505,-0.563,-0.714,2
1545136240711791228,5,26483,0.523,-0.553,-0.708,2
1545136240829585634,5,26599,0.548,-0.537,-0.699,2
1545136240947919629,5,26716,0.577,-0.516,-0.69,2
1545136241068181948,5,26831,0.604,-0.489,-0.675,2
1545136241184962737,5,26947,0.632,-0.459,-0.661,2
1545136241303196074,5,27064,0.66,-0.435,-0.646,2
1545136241420819283,5,27180,0.687,-0.414,-0.629,2
1545136241538702088,5,27296,0.716,-0.399,-0.613,2
1545136241658091828,5,27412,0.742,-0.387,-0.595,2
1545136241775804267,5,27529,0.765,-0.376,-0.573,2
1545136241894151335,5,27644,0.786,-0.367,-0.549,2
1545136242011878746,5,27760,0.805,-0.358,-0.528,2
1545136242130774866,5,27876,0.823,-0.351,-0.51,2
1545136242366628613,5,28108,0.843,-0.341,-0.493,2
1545136242484601085,5,28225,0.859,-0.328,-0.478,2
1545136242601953571,5,28342,0.873,-0.314,-0.459,2
1545136242721673004,5,28457,0.885,-0.3,-0.436,2
1545136242839884532,5,28573,0.892,-0.294,-0.41,2
1545136242957635549,5,28689,0.899,-0.288,-0.384,2
1545136243075794364,5,28806,0.904,-0.284,-0.359,2
1545136243194179651,5,28921,0.91,-0.283,-0.334,2
1545136243431603055,5,29153,0.911,-0.277,-0.308,2
1545136243548289268,5,29270,0.912,-0.276,-0.282,2
1545136243667008393,5,29386,0.911,-0.282,-0.257,2
1545136243785664770,5,29502,0.905,-0.285,-0.236,2
1545136244022000838,5,29734,0.897,-0.291,-0.227,2
1545136244139916458,5,29850,0.885,-0.301,-0.216,2
1545136244257500242,5,29966,0.871,-0.315,-0.206,2
1545136244377027448,5,30083,0.859,-0.333,-0.203,2
1545136244495666260,5,30198,0.848,-0.356,-0.192,2
1545136244612868742,5,30315,0.836,-0.375,-0.185,2
1545136244731387181,5,30432,0.822,-0.388,-0.176,2
1545136244849676716,5,30547,0.806,-0.398,-0.163,2
1545136244967388071,5,30663,0.789,-0.404,-0.151,2
1545136245085924323,5,30779,0.772,-0.411,-0.139,2
1545136245204359340,5,30896,0.754,-0.42,-0.132,2
1545136245322345539,5,31011,0.738,-0.432,-0.125,2
1545136245441877340,5,31127,0.725,-0.449,-0.121,2
1545136245559405164,5,31243,0.711,-0.465,-0.122,2
1545136245676480833,5,31361,0.699,-0.482,-0.124,2
1545136245913712029,5,31593,0.669,-0.511,-0.13,2
1545136246031731447,5,31710,0.655,-0.515,-0.158,2
1545136246150918609,5,31826,0.639,-0.521,-0.179,2
1545136246623545011,5,32290,0.588,-0.556,-0.184,2
1545136246740780707,5,32406,0.559,-0.582,-0.163,2
1545136246858881565,5,32523,0.533,-0.611,-0.133,2
1545136246978079131,5,32639,0.516,-0.628,-0.132,2
