rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags,angle
1545136236751090847,5,21721,0.195,-0.621,-0.534,2,0.0
1545136236751290770,5,21837,0.204,-0.624,-0.539,2,0.0
1545136236751482314,5,21955,0.211,-0.626,-0.546,2,0.0
1545136236751700294,5,22071,0.223,-0.633,-0.557,2,0.0
1545136236751958629,5,22186,0.226,-0.634,-0.561,2,0.0
1545136236752185581,5,22302,0.228,-0.634,-0.564,2,0.0
1545136236928594111,5,22766,0.239,-0.631,-0.612,2,0.0
1545136237164662768,5,22999,0.261,-0.629,-0.663,2,0.0
1545136237283348263,5,23115,0.285,-0.628,-0.717,2,0.0
1545136237401937129,5,23232,0.313,-0.628,-0.77,2,0.0
1545136237519765755,5,23347,0.334,-0.632,-0.794,2,0.0
1545136237638133449,5,23463,0.346,-0.637,-0.812,2,0.0
1545136237755525423,5,23579,0.36,-0.642,-0.829,2,0.0
1545136237874760030,5,23696,0.377,-0.647,-0.843,2,0.0
1545136237994144651,5,23811,0.394,-0.65,-0.85,2,0.0
1545136238110673407,5,23927,0.414,-0.651,-0.851,2,0.0
1545136238229090356,5,24045,0.435,-0.649,-0.843,2,0.0
1545136238347624769,5,24161,0.458,-0.648,-0.83,2,0.0
1545136238465035023,5,24276,0.478,-0.646,-0.813,2,0.0
1545136238583661956,5,24392,0.495,-0.645,-0.793,2,0.0
1545136238701750637,5,24509,0.509,-0.646,-0.773,2,0.0
1545136238819838012,5,24624,0.514,-0.643,-0.753,2,0.0
1545136238939945408,5,24740,0.513,-0.635,-0.735,2,0.0
1545136239056694882,5,24856,0.509,-0.623,-0.722,2,0.0
1545136239175173012,5,24973,0.502,-0.61,-0.713,2,0.0
1545136239292804168,5,25089,0.496,-0.597,-0.708,2,0.0
1545136239412123849,5,25205,0.493,-0.588,-0.707,2,0.0
1545136239529113465,5,25322,0.49,-0.582,-0.707,2,0.0
1545136239647905486,5,25438,0.488,-0.578,-0.709,2,0.0
1545136239765744689,5,25553,0.487,-0.576,-0.711,2,0.0
