timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
2480611204,32767,32767,32767,32767,32767,32767,32767
2480615199,32767,32767,32767,32767,-42,-71,32767
2480619209,32767,32767,32767,32767,32767,32767,32767
2480623201,32767,32767,32767,32767,32767,32767,32767
2480627198,32767,32767,32767,32767,-48,32767,32767
2480631205,32767,32767,32767,32767,32767,32767,32767
2480635199,32767,32767,32767,32767,32767,-52,32767
2480639214,32767,32767,32767,32767,32767,32767,32767
2480643199,32767,32767,32767,32767,32767,32767,32767
2480647198,32767,32767,32767,32767,32767,32767,32767
2480651205,32767,32767,32767,32767,-66,32767,32767
2480655198,32767,32767,32767,32767,32767,32767,32767
2480659198,32767,32767,32767,32767,-42,-62,32767
2480663207,32767,32767,32767,32767,32767,32767,32767
2480667198,32767,32767,32767,32767,32767,32767,32767
2480671199,32767,32767,32767,32767,-48,32767,32767
2480675198,32767,32767,32767,32767,32767,32767,32767
2480679199,32767,32767,32767,32767,32767,-51,32767
2480683199,32767,32767,32767,32767,32767,32767,32767
2480687198,32767,32767,32767,32767,32767,32767,32767
2480691199,32767,32767,32767,32767,32767,32767,32767
2480695199,32767,32767,32767,32767,-74,32767,32767
2480699199,32767,32767,32767,32767,32767,32767,32767
2480703199,32767,32767,32767,32767,-52,-82,32767
2480707198,32767,32767,32767,32767,32767,32767,32767
2480711206,32767,32767,32767,32767,32767,32767,32767
2480715198,32767,32767,32767,32767,-59,32767,32767
2480719198,32767,32767,32767,32767,32767,32767,32767
2480723198,32767,32767,32767,32767,32767,-61,32767
2480727199,32767,32767,32767,32767,32767,32767,32767
2480731198,32767,32767,32767,32767,32767,32767,32767
2480735202,32767,32767,32767,32767,32767,32767,32767
2480739198,32767,32767,32767,32767,-63,32767,32767
2480743198,32767,32767,32767,32767,32767,32767,32767
2480747199,32767,32767,32767,32767,-40,-67,32767
2480751198,32767,32767,32767,32767,32767,32767,32767
2480755198,32767,32767,32767,32767,32767,32767,32767
2480759202,32767,32767,32767,32767,-48,32767,32767
2480763200,32767,32767,32767,32767,32767,32767,32767
2480767208,32767,32767,32767,32767,32767,-53,32767
2480771184,32767,32767,32767,32767,32767,32767,32767
2480775202,32767,32767,-52,32767,32767,32767,32767
2480779198,32767,32767,32767,32767,-52,32767,32767
2480783199,32767,32767,32767,32767,32767,32767,32767
2480787990,32767,32767,32767,32767,32767,32767,32767
2480791996,32767,32767,32767,32767,-79,-78,32767
2480795990,32767,32767,32767,32767,32767,32767,32767
2480799990,32767,32767,32767,32767,-48,32767,32767
2480804002,32767,32767,32767,32767,32767,32767,32767
2480807990,32767,32767,32767,32767,32767,32767,32767
2480811996,32767,32767,32767,32767,32767,-50,32767
2480815991,32767,32767,32767,32767,32767,32767,32767
2480819990,32767,32767,32767,32767,-50,32767,32767
2480823989,32767,32767,32767,32767,32767,32767,32767
2480827990,32767,32767,32767,32767,32767,32767,32767
2480832008,32767,32767,32767,32767,-60,32767,32767
2480836013,32767,32767,32767,32767,32767,-58,32767
2480839990,32767,32767,32767,32767,32767,32767,32767
2480843990,32767,32767,32767,32767,-67,32767,32767
2480847990,32767,32767,32767,32767,32767,32767,32767
2480851996,32767,32767,32767,32767,32767,32767,32767
2480855990,32767,32767,32767,32767,32767,32767,32767
2480860002,32767,32767,32767,32767,32767,-67,32767
2480863990,32767,32767,32767,32767,-70,32767,32767
2480867990,32767,32767,32767,32767,32767,32767,32767
2480871996,32767,32767,32767,32767,32767,32767,32767
2480875990,32767,32767,32767,32767,-60,32767,32767
2480879990,32767,32767,32767,32767,32767,32767,32767
2480883990,32767,32767,32767,32767,32767,-59,32767
2480888001,32767,32767,32767,32767,-71,32767,32767
2480891996,32767,32767,32767,32767,32767,32767,32767
2480895990,32767,32767,32767,32767,32767,32767,32767
2480899990,32767,32767,32767,32767,32767,32767,32767
2480903990,32767,32767,32767,32767,32767,32767,32767
2480907990,32767,32767,32767,32767,32767,-68,32767
2480911996,32767,32767,32767,32767,-74,32767,32767
2480916000,32767,32767,32767,32767,32767,32767,32767
2480919990,32767,32767,32767,32767,-45,32767,32767
2480923989,32767,32767,32767,32767,32767,32767,32767
2480927990,32767,32767,32767,32767,32767,-50,32767
2480931996,32767,32767,32767,32767,-60,32767,32767
2480935990,32767,32767,32767,32767,32767,32767,32767
2480939990,32767,32767,32767,32767,32767,32767,32767
2480944002,32767,32767,32767,32767,32767,32767,32767
2480947998,32767,32767,32767,32767,32767,32767,32767
2480951996,32767,32767,32767,32767,32767,-70,32767
2480955990,32767,32767,32767,32767,-68,32767,32767
2480959989,32767,32767,32767,32767,32767,32767,32767
2480963968,32767,32767,32767,32767,-46,32767,32767
2480967989,32767,32767,32767,32767,32767,32767,32767
2480972008,32767,32767,-100,32767,32767,-51,32767
2480975990,32767,32767,32767,32767,-60,32767,32767
2480979990,32767,32767,32767,32767,32767,32767,32767
2480983990,32767,32767,32767,32767,32767,32767,32767
2480987990,32767,32767,32767,32767,32767,32767,32767
2480991990,32767,32767,32767,32767,32767,32767,32767
2480995990,32767,32767,32767,32767,32767,-67,32767
2481000002,32767,32767,32767,32767,-76,32767,32767
2481003999,32767,32767,32767,32767,32767,32767,32767
2481007990,32767,32767,32767,32767,-46,32767,32767
2481011992,32767,32767,32767,32767,32767,32767,32767
2481015990,32767,32767,32767,32767,32767,-50,32767
2481019990,32767,32767,32767,32767,-60,32767,32767
2481023990,32767,32767,32767,32767,32767,32767,32767
2481028004,32767,32767,32767,32767,32767,32767,32767
2481031990,32767,32767,32767,32767,32767,32767,32767
2481035990,32767,32767,32767,32767,32767,32767,32767
2481039990,32767,32767,32767,32767,32767,-69,32767
2481043990,32767,32767,32767,32767,-67,32767,32767
2481047989,32767,32767,32767,32767,32767,32767,32767
2481051990,32767,32767,32767,32767,-46,32767,32767
2481056008,32767,32767,32767,32767,32767,32767,32767
2481059990,32767,32767,32767,32767,32767,-50,32767
2481063990,32767,32767,32767,32767,-59,32767,32767
2481067990,32767,32767,32767,32767,32767,32767,32767
2481071990,32767,32767,32767,32767,32767,32767,32767
2481075989,32767,32767,32767,32767,32767,32767,32767
2481079989,32767,32767,32767,32767,32767,32767,32767
2481084001,32767,32767,32767,32767,32767,-60,32767
2481087990,32767,32767,32767,32767,-70,32767,32767
2481091989,32767,32767,32767,32767,32767,32767,32767
2481095990,32767,32767,32767,32767,32767,32767,32767
2481099990,32767,32767,32767,32767,-61,32767,32767
2481103989,32767,32767,32767,32767,32767,32767,32767
2481107989,32767,32767,32767,32767,32767,-68,32767
2481112003,32767,32767,32767,32767,-75,32767,32767
2481115989,32767,32767,32767,32767,32767,32767,32767
2481119990,32767,32767,32767,32767,32767,32767,32767
2481123989,32767,32767,32767,32767,32767,32767,32767
2481127990,32767,32767,32767,32767,32767,-50,32767
2481131990,32767,32767,32767,32767,-59,32767,32767
2481135990,32767,32767,32767,32767,32767,32767,32767
2481140002,32767,32767,32767,32767,32767,32767,32767
2481143990,32767,32767,32767,32767,-66,32767,32767
2481147990,32767,32767,32767,32767,32767,32767,32767
2481151990,32767,32767,32767,32767,32767,-70,32767
2481155990,32767,32767,32767,32767,-67,32767,32767
2481159989,32767,32767,32767,32767,32767,32767,32767
2481163990,32767,32767,32767,32767,32767,32767,32767
2481168000,32767,32767,32767,32767,32767,32767,32767
2481171990,32767,32767,-59,32767,32767,-50,32767
2481176768,32767,32767,32767,32767,-77,32767,32767
2481180768,32767,32767,32767,32767,32767,32767,32767
2481184769,32767,32767,32767,32767,-44,32767,32767
2481188768,32767,32767,32767,32767,32767,32767,32767
2481192769,32767,32767,32767,32767,32767,32767,32767
2481196768,32767,32767,32767,32767,-58,-87,32767
2481200768,32767,32767,32767,32767,32767,32767,32767
2481204768,32767,32767,32767,32767,32767,32767,32767
2481208768,32767,32767,32767,32767,32767,32767,32767
2481212767,32767,32767,32767,32767,32767,32767,32767
2481216768,32767,32767,32767,32767,-46,-68,32767
2481220769,32767,32767,32767,32767,32767,32767,32767
2481224768,32767,32767,32767,32767,32767,32767,32767
2481228768,32767,32767,32767,32767,-54,32767,32767
2481232768,32767,32767,32767,32767,32767,32767,32767
2481236768,32767,32767,32767,32767,32767,-58,32767
2481240769,32767,32767,32767,32767,-68,32767,32767
2481244768,32767,32767,32767,32767,32767,32767,32767
2481248769,32767,32767,32767,32767,32767,32767,32767
2481252768,32767,32767,32767,32767,32767,32767,32767
2481256768,32767,32767,32767,32767,32767,32767,32767
2481260768,32767,32767,32767,32767,32767,-68,32767
2481264768,32767,32767,32767,32767,-74,32767,32767
2481268767,32767,32767,32767,32767,32767,32767,32767
2481272768,32767,32767,32767,32767,-44,32767,32767
2481276768,32767,32767,32767,32767,32767,32767,32767
2481280768,32767,32767,32767,32767,32767,32767,32767
2481284768,32767,32767,32767,32767,-56,-87,32767
2481288768,32767,32767,32767,32767,32767,32767,32767
2481292768,32767,32767,32767,32767,32767,32767,32767
2481296768,32767,32767,32767,32767,32767,32767,32767
2481300768,32767,32767,32767,32767,32767,32767,32767
2481304768,32767,32767,32767,32767,32767,-68,32767
2481308768,32767,32767,32767,32767,-68,32767,32767
2481312767,32767,32767,32767,32767,32767,32767,32767
2481316768,32767,32767,32767,32767,-44,32767,32767
2481320768,32767,32767,32767,32767,32767,32767,32767
2481324768,32767,32767,32767,32767,32767,32767,32767
2481328768,32767,32767,32767,32767,-58,-87,32767
2481332768,32767,32767,32767,32767,32767,32767,32767
2481336769,32767,32767,32767,32767,32767,32767,32767
2481340768,32767,32767,32767,32767,32767,32767,32767
2481344768,32767,32767,32767,32767,32767,32767,32767
2481348768,32767,32767,32767,32767,32767,-68,32767
2481352768,32767,32767,32767,32767,-74,32767,32767
2481356767,32767,32767,32767,32767,32767,32767,32767
2481360768,32767,32767,32767,32767,-44,32767,32767
2481364768,32767,32767,32767,32767,32767,32767,32767
2481368768,32767,32767,32767,32767,32767,32767,32767
2481372768,32767,32767,-96,32767,-66,-87,32767
2481376768,32767,32767,32767,32767,32767,32767,32767
2481380768,32767,32767,32767,32767,32767,32767,32767
2481384768,32767,32767,32767,32767,32767,32767,32767
2481388767,32767,32767,32767,32767,32767,32767,32767
2481392768,32767,32767,32767,32767,-47,32767,32767
2481396768,32767,32767,32767,32767,32767,-87,32767
2481400768,32767,32767,32767,32767,32767,32767,32767
2481404768,32767,32767,32767,32767,-66,32767,32767
2481408769,32767,32767,32767,32767,32767,32767,32767
2481412768,32767,32767,32767,32767,32767,32767,32767
2481416768,32767,32767,32767,32767,-75,-56,32767
2481420788,32767,32767,32767,32767,32767,32767,32767
2481424795,32767,32767,32767,32767,32767,32767,32767
2481428789,32767,32767,32767,32767,32767,32767,32767
2481432791,32767,32767,32767,32767,32767,32767,32767
2481436790,32767,32767,32767,32767,-67,32767,32767
2481440789,32767,32767,32767,32767,32767,-68,32767
2481444796,32767,32767,32767,32767,-48,32767,32767
2481448790,32767,32767,32767,32767,32767,32767,32767
2481452790,32767,32767,32767,32767,32767,32767,32767
2481456789,32767,32767,32767,32767,-58,32767,32767
2481464796,32767,32767,32767,32767,32767,-88,32767
2481468790,32767,32767,32767,32767,32767,32767,32767
2481472790,32767,32767,32767,32767,32767,32767,32767
2481476790,32767,32767,32767,32767,32767,32767,32767
2481480789,32767,32767,32767,32767,-74,32767,32767
2481484794,32767,32767,32767,32767,32767,-58,32767
2481488790,32767,32767,32767,32767,-47,32767,32767
2481492790,32767,32767,32767,32767,32767,32767,32767
2481496790,32767,32767,32767,32767,32767,32767,32767
2481500790,32767,32767,32767,32767,-64,32767,32767
2481504795,32767,32767,32767,32767,32767,32767,32767
2481508790,32767,32767,32767,32767,32767,-62,32767
2481512789,32767,32767,32767,32767,32767,32767,32767
2481516789,32767,32767,32767,32767,32767,32767,32767
2481520790,32767,32767,32767,32767,-44,32767,32767
2481524795,32767,32767,32767,32767,32767,32767,32767
2481528790,32767,32767,32767,32767,32767,32767,32767
2481532790,32767,32767,32767,32767,-62,-87,32767
2481536789,32767,32767,32767,32767,32767,32767,32767
2481540790,32767,32767,32767,32767,-47,32767,32767
2481544796,32767,32767,32767,32767,32767,32767,32767
2481548790,32767,32767,32767,32767,32767,32767,32767
2481552790,32767,32767,32767,32767,32767,32767,32767
2481556790,32767,32767,32767,32767,32767,-87,32767
2481560789,32767,32767,32767,32767,32767,32767,32767
2481564795,32767,32767,32767,32767,-64,32767,32767
2481569589,32767,32767,-75,32767,32767,32767,32767
2481573590,32767,32767,32767,32767,-46,32767,32767
2481577561,32767,32767,32767,32767,32767,-55,32767
2481581590,32767,32767,32767,32767,32767,32767,32767
2481585590,32767,32767,32767,32767,-55,32767,32767
2481589589,32767,32767,32767,32767,32767,32767,32767
2481593594,32767,32767,32767,32767,32767,32767,32767
2481597590,32767,32767,32767,32767,32767,32767,32767
2481601602,32767,32767,32767,32767,32767,-75,32767
2481605562,32767,32767,32767,32767,-46,32767,32767
2481609590,32767,32767,32767,32767,32767,32767,32767
2481613590,32767,32767,32767,32767,32767,32767,32767
2481617589,32767,32767,32767,32767,-55,32767,32767
2481621590,32767,32767,32767,32767,32767,32767,32767
2481625596,32767,32767,32767,32767,32767,-86,32767
2481629590,32767,32767,32767,32767,-58,32767,32767
2481633561,32767,32767,32767,32767,32767,32767,32767
2481637590,32767,32767,32767,32767,32767,32767,32767
