timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2480611204,-0.0022430678,-0.013867574,-0.04077717,4005,0,0.069929644,0.14206308,-9.712682,4005
2480615199,0.0033364282,-0.036475897,-0.05785331,3995,0,-1.3638585,0.6429506,-10.657222,3995
2480619209,0.0053313025,0.064233445,-0.040910143,4010,0,0.064773574,0.8711419,-10.098746,4010
2480623201,-0.018218564,0.008265563,-0.02737536,3992,0,0.6279362,0.6962204,-9.404432,3992
2480627198,0.006955283,-0.05871563,-0.025181964,3997,0,-0.70680124,0.7040684,-9.200486,3997
2480631205,0.014188255,0.016740441,-0.016582783,4007,0,-0.14075384,1.3174766,-8.90724,4007
2480635199,0.018346597,-0.008297469,-0.024245588,3994,0,0.63350415,0.21106787,-10.02861,3994
2480639214,0.005621851,-0.019456906,-0.025966084,4015,0,-1.2776927,0.9128295,-10.826707,4015
2480643199,0.015461474,0.047410704,-0.0044496497,3985,0,-0.16304809,0.39003772,-9.76632,3985
2480647198,-0.01614305,-0.023930587,0.009771166,3999,0,0.4916242,1.0627408,-9.984505,3999
2480651205,0.01781893,-0.019745944,0.013459653,4007,0,-0.49692726,0.34430125,-8.911337,4007
2480655198,-0.028935509,0.057493262,0.017436868,3993,0,0.38419202,0.6904841,-8.7562475,3993
2480659198,-0.019093154,-0.0026212437,0.009191999,4000,0,0.34890026,1.1806935,-9.390611,4000
2480663207,0.037242692,0.0050181462,0.009691569,4009,0,-1.1627254,-0.233116,-10.47363,4009
2480667198,-0.055539913,0.069086395,0.030340279,3991,0,-0.84246385,0.7811315,-10.843515,3991
2480671199,-0.0025349844,0.0144611085,0.035904616,4001,0,0.93424696,1.4593405,-9.016475,4001
2480675198,0.008185037,-0.06390073,0.02898519,3999,0,-0.6342264,0.40146172,-8.307232,3999
2480679199,-0.022648744,0.049915016,0.03241591,4001,0,-0.90498775,1.1388317,-9.19566,4001
2480683199,-0.0018529485,0.023729928,0.020035002,4000,0,0.62626547,0.7642966,-10.884876,4000
2480687198,0.032704573,-0.02326876,0.011823899,3999,0,-1.0951594,-0.27415285,-10.826078,3999
2480691199,-0.05381762,0.044183128,0.039336517,4001,0,-0.6700679,1.5391119,-10.826224,4001
2480695199,0.044945136,0.022953626,0.027860343,4000,0,0.864714,0.76834476,-9.143229,4000
2480699199,-0.044240594,-0.06650404,0.009659622,4000,0,-0.12540336,0.7823698,-8.302468,4000
2480703199,0.007976652,0.013790681,0.012218096,4000,0,-1.0996946,1.3328236,-9.366602,4000
2480707198,0.03901831,0.038807765,-0.008317452,3999,0,-0.40437663,0.20929155,-10.103627,3999
2480711206,-0.024148162,-0.007125843,-0.005448103,4008,0,-0.43840823,0.68130565,-10.888864,4008
2480715198,0.0040206816,-8.749994e-06,0.009979424,3992,0,-0.50498843,1.4999508,-10.335502,3992
2480719198,0.007836249,-0.0046394183,-0.0060797743,4000,0,0.08643498,-0.37701494,-8.731256,4000
2480723198,-0.05944833,-0.0008471041,-0.017900571,4000,0,0.87309635,2.000313,-8.3446455,4000
2480727199,0.021816896,0.017692376,-0.023834761,4001,0,-0.65197897,0.038666975,-9.899269,4001
2480731198,0.0061084614,0.04612108,-0.032942463,3999,0,-0.723551,0.049839854,-10.544516,3999
2480735202,-0.06316311,0.019539125,-0.018137993,4004,0,0.7893823,1.865828,-11.120843,4004
2480739198,0.03692106,-0.025539655,-0.015587717,3996,0,-0.707777,0.34462076,-10.010913,3996
2480743198,-0.06589352,0.03903736,-0.027689273,4000,0,0.5716741,0.50503397,-8.925834,4000
2480747199,-0.022787709,-0.011542421,-0.018505072,4001,0,0.69302773,1.1164529,-8.731503,4001
2480751198,0.045258738,0.01805434,-0.029043235,3999,0,-1.6533258,0.91899854,-9.552607,3999
2480755198,-0.016049609,0.072234906,-0.020714168,4000,0,0.42993602,0.087890245,-10.726165,4000
2480759202,-0.030706704,-0.030133048,0.0066796937,4004,0,-0.29312876,1.7526298,-11.1415615,4004
2480763200,0.06458987,-0.01375515,0.0014430208,3998,0,0.017102912,-0.5970198,-8.879436,3998
2480767208,-0.06737476,-0.004470858,4.852293e-05,4008,0,0.91993874,2.072343,-8.38997,4008
2480771184,0.0142796,-0.0028223745,0.0035523274,3976,0,-1.0686594,0.7212487,-9.535443,3976
2480775202,0.042034853,0.045808382,0.0008861132,4018,0,-0.03263034,0.7019682,-10.158086,4018
2480779198,0.024479693,-0.03022378,0.017952906,3996,0,0.02322048,0.918879,-10.639176,3996
2480783199,0.022435712,-0.032259427,0.027170945,4001,0,-1.4505692,1.0301213,-10.433617,4001
2480787990,-0.02569537,-0.023331568,0.012840224,4791,0,1.1629041,0.9620965,-9.157465,4791
2480791996,0.033700272,-0.026507525,0.013572603,4006,0,-1.4340706,0.027795939,-9.849233,4006
2480795990,-0.010175855,0.09929251,0.0063131913,3994,0,-0.36217847,0.75754553,-10.149847,3994
2480799990,-0.014416628,-0.00078440615,0.01531663,4000,0,0.7282983,1.8005912,-9.541784,4000
2480804002,0.043356217,-0.034131963,0.024480341,4012,0,-1.8571186,0.24895039,-9.251106,4012
2480807990,-0.051294167,0.03907832,0.007095649,3988,0,1.111623,0.07533625,-8.281758,3988
2480811996,0.013909972,-0.038464457,0.0024057887,4006,0,-0.07338014,1.4073312,-9.46386,4006
2480815991,0.0017466667,0.032389533,-0.007241173,3995,0,-2.3055441,0.10520625,-10.1907425,3995
2480819990,-0.052760836,0.08870963,-0.0027604883,3999,0,0.8162466,1.259848,-10.944334,3999
2480823989,0.02325057,-0.03260887,0.0068540312,3999,0,-0.12438124,0.6091182,-10.635505,3999
2480827990,0.0130696315,-0.0018404435,-0.0068615326,4001,0,-1.4549873,-0.25061125,-8.634674,4001
2480832008,-0.085623205,0.013416517,-0.019825034,4018,0,1.5078663,2.254852,-8.910845,4018
2480836013,0.030090945,-0.03157495,-0.016529594,4005,0,-1.524432,0.13676557,-9.670041,4005
2480839990,0.007319757,0.0750279,-0.023504322,3977,0,-0.63064593,0.30864853,-10.973669,3977
2480843990,-0.015088626,0.025003852,-0.016130786,4000,0,0.6372473,1.0147294,-10.990012,4000
2480847990,0.0218575,-0.03648705,-0.0017611994,4000,0,-1.6959687,0.9654405,-9.704669,4000
2480851996,-0.025462639,0.0031640388,-0.0132932225,4006,0,1.1316438,0.17463705,-8.393052,4006
2480855990,0.0116337305,-0.049502924,-0.01441325,3994,0,0.21600579,0.7894743,-8.755109,3994
2480860002,0.002973555,0.040070668,-0.009488511,4012,0,-1.7372103,0.26355192,-10.48616,4012
2480863990,0.01119287,0.060574725,0.00042140528,3988,0,0.55136,1.3458768,-10.446673,3988
2480867990,0.011586189,-0.046783973,0.012109668,4000,0,-0.80472875,0.84160787,-10.77848,4000
2480871996,0.024800643,-0.01458197,0.013627314,4006,0,-0.35865098,-0.5255936,-9.4683485,4006
2480875990,-0.04865795,-0.0009763438,0.0023164258,3994,0,0.7333782,1.2546769,-8.937034,3994
2480879990,-0.01062701,0.030167745,0.0065115253,4000,0,-1.0084302,0.74175954,-9.476279,4000
2480883990,-0.03420916,0.08095762,0.014416243,4000,0,-0.76381874,0.44840676,-10.765527,4000
2480888001,-0.03558823,0.027542865,0.02490306,4011,0,-0.23766191,1.4895207,-10.675892,4011
2480891996,0.016876154,0.0139406035,0.025965583,3995,0,-0.84077275,-0.001398411,-9.293683,3995
