rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,remote_timestamp_ns,observed_offset_ns,estimated_offset_ns,round_trip_time_ms
1545224250840703224,,10692,,1545224250,240815287,'',810397707000,1545223439841356577,1545223439840608256,3.48961806297
1545224250840898628,,10693,,1545224250,341373271,'',810498174000,1545223439840992407,1545223439840606464,4.39753007889
1545224250841722249,,10694,,1545224250,441155947,'',810598516000,1545223439840775971,1545223439840604160,3.71472096443
1545224250842259850,,10695,,1545224250,539944721,'',810697540000,1545223439840838036,1545223439840602112,3.11691188812
1545224250843153816,,10696,,1545224250,647162099,'',810800504000,1545223439841809763,1545223439840602880,9.67943000793
1545224250844207248,,10697,,1545224250,740122725,'',810897851000,1545223439840778737,1545223439840600576,2.96972489357
1545224250853490497,,10698,,1545224250,840597689,'',810997535000,1545223439841006188,1545223439840599040,4.09982299805
1545224250949929930,,10699,,1545224250,940407968,'',811097814000,1545223439840811503,1545223439840596736,3.55258607864
1545224251047040622,,10700,,1545224251,40356789,'',811197512000,1545223439841238521,1545223439840595712,3.19748306274
1545224251142424532,,10701,,1545224251,140047590,'',811296606000,1545223439841705322,1545223439840596224,3.45420098305
1545224251249560237,,10702,,1545224251,243512122,'',811400972000,1545223439839428106,1545223439840589824,6.20960521698
1545224251345329272,,10703,,1545224251,339334609,'',811496575000,1545223439841406100,1545223439840589312,2.69061207771
1545224251450855968,,10704,,1545224251,440849412,'',811597677000,1545223439841258124,1545223439840588288,3.81456494331
1545224251548418556,,10705,,1545224251,541017033,'',811698595000,1545223439840605297,1545223439840585472,3.62190890312
1545224251642516917,,10706,,1545224251,638871802,'',811796572000,1545223439841015902,1545223439840583936,2.55274701118
1545224251748514699,,10707,,1545224251,744654864,'',811901540000,1545223439839267461,1545223439840577024,7.67902421951
1545224251850874507,,10708,,1545224251,840210217,'',811997558000,1545223439841198917,1545223439840576256,2.86654806137
1545224251954623867,,10709,,1545224251,944053862,'',812101215000,1545223439839160729,1545223439840569344,7.34366083145
1545224252051554087,,10710,,1545224252,39784631,'',812197522000,1545223439840616051,1545223439840566784,3.28081607819
1545224252147265941,,10711,,1545224252,142956457,'',812299546000,1545223439840391279,1545223439840563456,5.99705314636
1545224252247863264,,10712,,1545224252,240164042,'',812397526000,1545223439840845394,1545223439840561664,3.57336711884
1545224252346233300,,10713,,1545224252,340176352,'',812497564000,1545223439840969782,1545223439840560128,3.2725880146
1545224252457103311,,10714,,1545224252,444662233,'',812600477000,1545223439840477127,1545223439840557056,7.40485811234
1545224252547963682,,10715,,1545224252,539248008,'',812696650000,1545223439841289551,1545223439840556544,2.60050797462
1545224252656185153,,10716,,1545224252,643146809,'',812800595000,1545223439839522293,1545223439840550656,6.0433549881
1545224252752556485,,10717,,1545224252,741006422,'',812897791000,1545223439841293504,1545223439840550144,3.82440805435
1545224252844230853,,10718,,1545224252,840512902,'',812997897000,1545223439840605807,1545223439840547584,4.00638580322
1545224252962544021,,10719,,1545224252,945308104,'',813102312000,1545223439838770318,1545223439840539392,8.43605136871
1545224253050278677,,10720,,1545224253,40274711,'',813197554000,1545223439840834522,1545223439840537600,3.76013708115
