rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1545224250839729073,,4933,,1545224250,53865720,'',2,"""/record_1545224249658649984""","""Subscribing to /mavros/local_position/pose""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840274934,,4934,,1545224250,59109283,'',2,"""/record_1545224249658649984""","""Subscribing to /mavros/imu/data""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840369691,,4935,,1545224250,79227827,'',2,"""/record_1545224249658649984""","""Subscribing to /mavros/global_position/raw/gps_vel""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840503428,,4936,,1545224250,90143779,'',2,"""/record_1545224249658649984""","""Subscribing to /mavros/setpoint_raw/target_global""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840513017,,4937,,1545224250,106838859,'',2,"""/record_1545224249658649984""","""Subscribing to /tf_static""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840527761,,4938,,1545224250,120697505,'',2,"""/record_1545224249658649984""","""Subscribing to /mavros/global_position/global""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840554301,,4939,,1545224250,129946976,'',2,"""/record_1545224249658649984""","""Subscribing to /mavros/px4flow/raw/optical_flow_rad""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840571887,,4940,,1545224250,145006359,'',2,"""/record_1545224249658649984""","""Subscribing to /diagnostics""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840585958,,4941,,1545224250,156672042,'',2,"""/record_1545224249658649984""","""Subscribing to /mavros/global_position/raw/fix""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840609898,,4942,,1545224250,174976101,'',2,"""/record_1545224249658649984""","""Subscribing to /mavros/battery""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840622382,,4943,,1545224250,190615705,'',2,"""/record_1545224249658649984""","""Subscribing to /imu/temperature""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840658719,,4944,,1545224250,205380706,'',2,"""/record_1545224249658649984""","""Subscribing to /vicon/cf1/cf1""","""/tmp/binarydeb/ros-kinetic-rosbag-1.12.14/src/recorder.cpp""","""shared_ptr<ros",212,[/rosout]
1545224250840691260,,4945,,1545224250,206675801,'',4,"""/vicon""","""karton_big occluded, not publishing... ""","""/home/rus/catkin_ws/src/vicon_bridge/src/vicon_bridge.cpp""","""process_subjects""",528,"[/rosout, /diagnostics, /tf, /vicon/markers, /vicon/cf1/cf1, /vicon/cf3/cf3, /vicon/obstacle1/obstacle1,"
1545224250840707578,,4946,,1545224250,206720922,'',4,"""/vicon""","""obstacle0 occluded, not publishing... ""","""/home/rus/catkin_ws/src/vicon_bridge/src/vicon_bridge.cpp""","""process_subjects""",528,"[/rosout, /diagnostics, /tf, /vicon/markers, /vicon/cf1/cf1, /vicon/cf3/cf3, /vicon/obstacle1/obstacle1,"
