rosbagTimestamp,address,x_m,y_m,z_m
1545311023891043341,4,0.0,0.0,0.0
1545311023891865149,6,0.083,-1.252,0.0
1545311023891913850,9,2.644,0.0,0.0
1545311034172264297,4,0.0,0.0,0.0
1545311034172808253,6,0.083,-1.252,0.0
1545311034172858995,9,2.644,0.0,0.0
1545311044456592450,4,0.0,0.0,0.0
1545311044456634481,6,0.083,-1.252,0.0
1545311044456653441,9,2.644,0.0,0.0
1545311054737181679,4,0.0,0.0,0.0
1545311054737202860,6,0.083,-1.252,0.0
1545311054737278290,9,2.644,0.0,0.0
1545311065017470029,4,0.0,0.0,0.0
1545311065018109305,6,0.083,-1.252,0.0
1545311065018190685,9,2.644,0.0,0.0
1545311075298996525,4,0.0,0.0,0.0
1545311075299667156,6,0.083,-1.252,0.0
1545311075299680938,9,2.644,0.0,0.0
1545311085580809526,4,0.0,0.0,0.0
1545311085580828332,6,0.083,-1.252,0.0
1545311085580846666,9,2.644,0.0,0.0
1545311095862151999,4,0.0,0.0,0.0
1545311095862177999,6,0.083,-1.252,0.0
1545311095862290575,9,2.644,0.0,0.0
1545311106144411431,4,0.0,0.0,0.0
1545311106144469107,6,0.083,-1.252,0.0
1545311106144483858,9,2.644,0.0,0.0
1545311116426129779,4,0.0,0.0,0.0
1545311116426166188,6,0.083,-1.252,0.0
1545311116426264822,9,2.644,0.0,0.0
