rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545311019168398026,995384,0.798,-1.126,-0.734,2
1545311019288803301,995500,0.797,-1.126,-0.735,2
1545311019405855977,995617,0.798,-1.125,-0.736,2
1545311019642097708,995848,0.798,-1.126,-0.735,2
1545311019760012154,995964,0.8,-1.127,-0.734,2
1545311019878604847,996081,0.8,-1.126,-0.733,2
1545311019997104061,996196,0.799,-1.127,-0.732,2
1545311020115146821,996313,0.799,-1.127,-0.732,2
1545311020233180134,996430,0.798,-1.127,-0.733,2
1545311020350938143,996545,0.798,-1.127,-0.732,2
1545311020468642359,996661,0.798,-1.127,-0.732,2
1545311020586527611,996777,0.797,-1.125,-0.731,2
1545311020705992604,996894,0.799,-1.126,-0.728,2
1545311020824229631,997009,0.8,-1.127,-0.726,2
1545311020942971892,997125,0.801,-1.126,-0.726,2
1545311021059887553,997241,0.803,-1.124,-0.727,2
1545311021178253036,997358,0.803,-1.117,-0.727,2
1545311021297183152,997474,0.804,-1.108,-0.726,2
1545311021415794268,997590,0.799,-1.086,-0.725,2
1545311021532955923,997707,0.795,-1.069,-0.721,2
1545311021651275774,997822,0.79,-1.051,-0.721,2
1545311021768960662,997938,0.782,-1.026,-0.724,2
1545311021887173321,998054,0.783,-1.014,-0.723,2
1545311022007622038,998171,0.782,-0.997,-0.725,2
1545311022123590848,998286,0.784,-0.98,-0.725,2
1545311022241619094,998403,0.786,-0.967,-0.722,2
1545311022360259445,998520,0.788,-0.95,-0.723,2
1545311022477757842,998637,0.789,-0.936,-0.717,2
1545311022595881129,998752,0.789,-0.92,-0.712,2
1545311022715151344,998868,0.789,-0.905,-0.707,2
1545311022833620074,998985,0.787,-0.888,-0.703,2
1545311022951651029,999101,0.787,-0.865,-0.706,2
1545311023068762460,999216,0.786,-0.839,-0.709,2
1545311023186795814,999332,0.787,-0.814,-0.713,2
1545311023305312976,999450,0.787,-0.788,-0.714,2
1545311023424099204,999565,0.786,-0.766,-0.716,2
1545311023542374289,999681,0.785,-0.748,-0.715,2
1545311023777669378,999914,0.791,-0.74,-0.72,2
1545311023897398622,1000029,0.792,-0.72,-0.722,2
1545311024015156403,1000145,0.792,-0.697,-0.722,2
1545311024133319468,1000262,0.792,-0.671,-0.723,2
1545311024251031796,1000378,0.785,-0.633,-0.72,2
1545311024369428241,1000494,0.786,-0.613,-0.721,2
1545311024487485490,1000610,0.794,-0.609,-0.726,2
1545311025313727294,1001422,0.793,-0.563,-0.725,2
1545311025433429198,1001540,0.792,-0.518,-0.724,2
1545311025551068411,1001655,0.789,-0.47,-0.721,2
1545311025786814068,1001887,0.78,-0.396,-0.711,2
1545311025904578288,1002004,0.78,-0.381,-0.711,2
1545311026024105058,1002119,0.78,-0.364,-0.712,2
1545311026141677033,1002235,0.779,-0.344,-0.715,2
1545311026259769765,1002352,0.778,-0.324,-0.716,2
1545311026377627741,1002468,0.779,-0.304,-0.717,2
1545311026496414661,1002584,0.778,-0.286,-0.718,2
1545311026613765778,1002700,0.776,-0.265,-0.719,2
1545311026733694314,1002817,0.776,-0.247,-0.72,2
1545311026850953996,1002932,0.774,-0.228,-0.718,2
1545311026969273878,1003048,0.773,-0.209,-0.717,2
1545311027087294060,1003164,0.773,-0.194,-0.714,2
1545311027205683934,1003281,0.772,-0.178,-0.71,2
1545311027323606389,1003396,0.769,-0.163,-0.708,2
1545311027441839120,1003512,0.769,-0.149,-0.706,2
1545311027560252744,1003630,0.77,-0.133,-0.705,2
1545311027678113395,1003747,0.772,-0.121,-0.708,2
1545311027797636276,1003862,0.779,-0.113,-0.712,2
1545311027913973575,1003978,0.785,-0.105,-0.716,2
1545311028032918453,1004095,0.795,-0.103,-0.721,2
1545311028150785758,1004211,0.808,-0.094,-0.719,2
1545311028269266893,1004326,0.821,-0.081,-0.717,2
1545311028387173200,1004442,0.836,-0.075,-0.713,2
1545311028505225484,1004559,0.849,-0.063,-0.709,2
1545311028624405289,1004675,0.935,-0.207,-0.783,2
1545311028741638759,1004791,0.949,-0.205,-0.781,2
1545311028860793152,1004908,0.965,-0.201,-0.782,2
1545311028978125904,1005024,0.982,-0.201,-0.781,2
1545311029096079607,1005139,0.927,-0.052,-0.705,2
1545311029214249138,1005255,0.944,-0.05,-0.703,2
1545311029333297410,1005372,0.959,-0.046,-0.699,2
1545311029451263848,1005488,0.978,-0.047,-0.703,2
1545311029569344934,1005603,0.991,-0.043,-0.701,2
1545311029686451501,1005721,1.008,-0.046,-0.706,2
1545311029924259372,1005952,1.049,-0.058,-0.726,2
1545311030041578088,1006068,1.067,-0.055,-0.728,2
1545311030159977623,1006185,1.082,-0.049,-0.726,2
1545311030279158741,1006301,1.096,-0.036,-0.718,2
1545311030396075699,1006416,1.105,-0.015,-0.704,2
1545311030513886018,1006532,1.124,-0.012,-0.707,2
1545311030632683467,1006649,1.145,-0.013,-0.713,2
1545311030750612746,1006765,1.164,-0.016,-0.717,2
1545311030870195441,1006881,1.182,-0.016,-0.717,2
1545311030986609653,1006998,1.198,-0.013,-0.714,2
1545311031107346773,1007114,1.213,-0.005,-0.707,2
1545311031460371050,1007462,1.242,0.0,-0.707,2
1545311031577827259,1007578,1.271,0.004,-0.708,2
1545311031696164091,1007693,1.298,0.016,-0.703,2
1545311031814610179,1007811,1.329,0.02,-0.705,2
1545311031933230759,1007927,1.348,0.025,-0.704,2
1545311032050562013,1008042,1.369,0.026,-0.707,2
1545311032170077040,1008158,1.391,0.022,-0.712,2
1545311032287360196,1008275,1.406,0.029,-0.705,2
1545311032405252975,1008391,1.52,-0.157,-0.739,2
1545311032522880478,1008506,1.632,-0.337,-0.77,2
1545311032642273370,1008622,1.756,-0.549,-0.789,2
1545311033586772572,1009552,1.87,-0.679,-0.828,2
1545311033704738545,1009669,1.824,-0.493,-0.792,2
1545311033823111680,1009784,1.776,-0.302,-0.751,2
1545311033942340352,1009901,1.715,-0.082,-0.725,2
1545311034061047839,1010018,1.672,0.044,-0.692,2
1545311034178030289,1010133,1.685,0.052,-0.686,2
1545311034296776594,1010249,1.706,0.045,-0.692,2
1545311034414969179,1010365,1.728,0.033,-0.698,2
1545311034533589936,1010482,1.746,0.027,-0.698,2
1545311034769352184,1010713,1.792,0.008,-0.709,2
1545311034888177374,1010829,1.812,0.005,-0.709,2
1545311035006473400,1010947,1.83,0.007,-0.706,2
1545311035123221857,1011062,1.848,0.011,-0.701,2
1545311035241877844,1011178,1.866,0.009,-0.701,2
1545311035360248449,1011295,1.883,0.001,-0.704,2
1545311035478299027,1011410,1.899,-0.015,-0.717,2
1545311035596172992,1011526,1.913,-0.042,-0.72,2
1545311035714590615,1011642,1.923,-0.061,-0.722,2
1545311035833087989,1011759,1.934,-0.078,-0.721,2
1545311035952369336,1011874,1.93,-0.071,-0.704,2
1545311036896458791,1012803,1.923,-0.1,-0.705,2
1545311037133061201,1013037,1.923,-0.154,-0.706,2
1545311037251219882,1013152,1.918,-0.202,-0.709,2
1545311037368651718,1013268,1.924,-0.269,-0.72,2
1545311037487570894,1013385,1.933,-0.299,-0.719,2
1545311037605216292,1013501,1.938,-0.314,-0.717,2
1545311037841179957,1013732,1.946,-0.32,-0.727,2
1545311038077984869,1013964,1.948,-0.353,-0.743,2
1545311038197881468,1014081,1.954,-0.382,-0.745,2
1545311038314365247,1014198,1.958,-0.412,-0.748,2
1545311038433717754,1014315,1.96,-0.457,-0.738,2
1545311038551186654,1014430,1.968,-0.48,-0.723,2
1545311038669968447,1014546,1.969,-0.5,-0.723,2
1545311038786896916,1014662,1.971,-0.522,-0.722,2
1545311039023161962,1014894,1.972,-0.561,-0.724,2
1545311039142106461,1015010,1.972,-0.581,-0.723,2
1545311039260606170,1015128,1.973,-0.599,-0.723,2
1545311039379080509,1015243,1.975,-0.62,-0.719,2
1545311039495850067,1015359,1.976,-0.639,-0.715,2
1545311039615642543,1015475,1.978,-0.66,-0.714,2
1545311039732161747,1015592,1.978,-0.679,-0.715,2
1545311039851602984,1015707,1.977,-0.694,-0.72,2
1545311039969991892,1015823,1.977,-0.714,-0.723,2
1545311040089068525,1015939,1.976,-0.731,-0.726,2
1545311040205817541,1016056,1.978,-0.754,-0.724,2
1545311040323154231,1016172,1.981,-0.779,-0.721,2
1545311040441230724,1016288,1.984,-0.8,-0.719,2
1545311040560519160,1016405,1.987,-0.82,-0.718,2
1545311040679079688,1016520,1.987,-0.834,-0.721,2
1545311040795550559,1016636,1.988,-0.848,-0.724,2
1545311040914863013,1016752,1.988,-0.863,-0.725,2
1545311041032600748,1016869,1.992,-0.885,-0.72,2
1545311041151302643,1016984,1.995,-0.908,-0.715,2
1545311041269974355,1017100,1.998,-0.934,-0.707,2
1545311041387543318,1017218,2.002,-0.959,-0.704,2
1545311041506072787,1017333,2.003,-0.973,-0.711,2
1545311041623620668,1017449,2.006,-0.991,-0.711,2
1545311041740795431,1017565,2.008,-1.009,-0.713,2
1545311041860154665,1017682,2.008,-1.028,-0.713,2
1545311041978481388,1017797,2.01,-1.057,-0.704,2
1545311042096377295,1017913,2.01,-1.083,-0.699,2
1545311042214383161,1018029,2.009,-1.105,-0.697,2
1545311042333334459,1018146,2.011,-1.131,-0.688,2
1545311042451016970,1018262,2.01,-1.154,-0.681,2
1545311042569181497,1018378,2.009,-1.173,-0.681,2
1545311042686920732,1018495,2.007,-1.193,-0.678,2
1545311042805433693,1018610,2.004,-1.213,-0.673,2
1545311042923517715,1018726,2.001,-1.228,-0.677,2
1545311043042005400,1018842,1.994,-1.236,-0.687,2
1545311043159841776,1018959,1.987,-1.247,-0.69,2
1545311043277043336,1019074,1.98,-1.258,-0.69,2
1545311043397223632,1019190,1.968,-1.266,-0.689,2
1545311043514648124,1019307,1.959,-1.287,-0.67,2
1545311043632562099,1019425,1.948,-1.301,-0.657,2
1545311043750937595,1019540,1.933,-1.307,-0.662,2
1545311043869062986,1019656,1.917,-1.308,-0.669,2
1545311043987173949,1019773,1.899,-1.301,-0.685,2
1545311044105784080,1019889,1.878,-1.293,-0.701,2
1545311044223766302,1020004,1.861,-1.292,-0.706,2
1545311044341497215,1020120,1.846,-1.299,-0.699,2
1545311044459959169,1020237,1.834,-1.309,-0.688,2
1545311044578006536,1020353,1.824,-1.321,-0.67,2
1545311044697214677,1020469,1.814,-1.329,-0.66,2
1545311044813954730,1020586,1.803,-1.336,-0.647,2
1545311044932592956,1020702,1.789,-1.338,-0.644,2
1545311045050106949,1020817,1.777,-1.341,-0.643,2
1545311045169236883,1020933,1.761,-1.344,-0.643,2
1545311045287855834,1021050,1.742,-1.34,-0.655,2
1545311045405568398,1021166,1.723,-1.339,-0.661,2
1545311045523174634,1021281,1.698,-1.324,-0.684,2
1545311045641748804,1021398,1.678,-1.316,-0.695,2
1545311045760081413,1021515,1.663,-1.319,-0.692,2
1545311045878099857,1021630,1.646,-1.318,-0.696,2
1545311045997171050,1021746,1.634,-1.33,-0.682,2
1545311046114520927,1021863,1.618,-1.337,-0.674,2
1545311046231855799,1021979,1.598,-1.337,-0.674,2
1545311046351885261,1022094,1.58,-1.342,-0.67,2
1545311046469359971,1022210,1.56,-1.341,-0.674,2
1545311046587164535,1022327,1.542,-1.341,-0.676,2
1545311046706790722,1022443,1.524,-1.342,-0.68,2
1545311046826169859,1022559,1.506,-1.339,-0.685,2
1545311046941111657,1022675,1.489,-1.338,-0.687,2
1545311047059659751,1022792,1.47,-1.333,-0.694,2
1545311047178103929,1022907,1.452,-1.329,-0.696,2
1545311047295923858,1023023,1.434,-1.328,-0.699,2
1545311047415308060,1023140,1.417,-1.328,-0.699,2
1545311047531957903,1023256,1.4,-1.329,-0.696,2
1545311047650012575,1023371,1.382,-1.331,-0.693,2
1545311047768558504,1023488,1.365,-1.333,-0.683,2
1545311047887387942,1023605,1.345,-1.331,-0.683,2
1545311048006081770,1023720,1.325,-1.348,-0.649,2
1545311048123304041,1023836,1.303,-1.34,-0.66,2
1545311048240842192,1023952,1.282,-1.316,-0.702,2
1545311048360231421,1024069,1.263,-1.316,-0.702,2
1545311048478370869,1024184,1.244,-1.299,-0.736,2
1545311048595880123,1024300,1.225,-1.304,-0.725,2
1545311048714539170,1024417,1.206,-1.322,-0.689,2
1545311048832012549,1024534,1.186,-1.32,-0.692,2
1545311048950291414,1024650,1.165,-1.313,-0.698,2
1545311049069294032,1024766,1.146,-1.312,-0.702,2
1545311049187069881,1024883,1.133,-1.321,-0.697,2
1545311049305599895,1024999,1.118,-1.321,-0.697,2
1545311049424241622,1025114,1.105,-1.33,-0.691,2
