rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545311019168384641,5,995384,0.798,-1.126,-0.734,2
1545311019288667258,5,995500,0.797,-1.126,-0.735,2
1545311019405769366,5,995617,0.798,-1.125,-0.736,2
1545311019642075981,5,995848,0.798,-1.126,-0.735,2
1545311019759997173,5,995964,0.8,-1.127,-0.734,2
1545311019878535952,5,996081,0.8,-1.126,-0.733,2
1545311019997003735,5,996196,0.799,-1.127,-0.732,2
1545311020115127085,5,996313,0.799,-1.127,-0.732,2
1545311020233166065,5,996430,0.798,-1.127,-0.733,2
1545311020350922678,5,996545,0.798,-1.127,-0.732,2
1545311020468619538,5,996661,0.798,-1.127,-0.732,2
1545311020586438419,5,996777,0.797,-1.125,-0.731,2
1545311020705818727,5,996894,0.799,-1.126,-0.728,2
1545311020824258263,5,997009,0.8,-1.127,-0.726,2
1545311020942883436,5,997125,0.801,-1.126,-0.726,2
1545311021059870174,5,997241,0.803,-1.124,-0.727,2
1545311021177847465,5,997358,0.803,-1.117,-0.727,2
1545311021297166505,5,997474,0.804,-1.108,-0.726,2
1545311021415672571,5,997590,0.799,-1.086,-0.725,2
1545311021532934248,5,997707,0.795,-1.069,-0.721,2
1545311021651257314,5,997822,0.79,-1.051,-0.721,2
1545311021768876963,5,997938,0.782,-1.026,-0.724,2
1545311021886724813,5,998054,0.783,-1.014,-0.723,2
1545311022007445175,5,998171,0.782,-0.997,-0.725,2
1545311022123456016,5,998286,0.784,-0.98,-0.725,2
1545311022241569224,5,998403,0.786,-0.967,-0.722,2
1545311022360335498,5,998520,0.788,-0.95,-0.723,2
1545311022477742349,5,998637,0.789,-0.936,-0.717,2
1545311022595774273,5,998752,0.789,-0.92,-0.712,2
1545311022715092705,5,998868,0.789,-0.905,-0.707,2
1545311022833637057,5,998985,0.787,-0.888,-0.703,2
1545311022951623280,5,999101,0.787,-0.865,-0.706,2
1545311023068740471,5,999216,0.786,-0.839,-0.709,2
1545311023186735952,5,999332,0.787,-0.814,-0.713,2
1545311023305290263,5,999450,0.787,-0.788,-0.714,2
1545311023424073031,5,999565,0.786,-0.766,-0.716,2
1545311023542344691,5,999681,0.785,-0.748,-0.715,2
1545311023777653634,5,999914,0.791,-0.74,-0.72,2
1545311023896734402,5,1000029,0.792,-0.72,-0.722,2
1545311024015134965,5,1000145,0.792,-0.697,-0.722,2
1545311024133311851,5,1000262,0.792,-0.671,-0.723,2
1545311024251014417,5,1000378,0.785,-0.633,-0.72,2
1545311024369422431,5,1000494,0.786,-0.613,-0.721,2
1545311024487440032,5,1000610,0.794,-0.609,-0.726,2
1545311025313601751,5,1001422,0.793,-0.563,-0.725,2
1545311025433411021,5,1001540,0.792,-0.518,-0.724,2
1545311025551043308,5,1001655,0.789,-0.47,-0.721,2
1545311025786795251,5,1001887,0.78,-0.396,-0.711,2
1545311025904610113,5,1002004,0.78,-0.381,-0.711,2
1545311026024032898,5,1002119,0.78,-0.364,-0.712,2
1545311026141559544,5,1002235,0.779,-0.344,-0.715,2
1545311026259760761,5,1002352,0.778,-0.324,-0.716,2
1545311026377623439,5,1002468,0.779,-0.304,-0.717,2
1545311026496322804,5,1002584,0.778,-0.286,-0.718,2
1545311026613746848,5,1002700,0.776,-0.265,-0.719,2
1545311026733575421,5,1002817,0.776,-0.247,-0.72,2
1545311026850864602,5,1002932,0.774,-0.228,-0.718,2
1545311026969281836,5,1003048,0.773,-0.209,-0.717,2
1545311027086997522,5,1003164,0.773,-0.194,-0.714,2
1545311027205507564,5,1003281,0.772,-0.178,-0.71,2
1545311027323588982,5,1003396,0.769,-0.163,-0.708,2
1545311027441825366,5,1003512,0.769,-0.149,-0.706,2
1545311027560206260,5,1003630,0.77,-0.133,-0.705,2
1545311027677974340,5,1003747,0.772,-0.121,-0.708,2
1545311027797613953,5,1003862,0.779,-0.113,-0.712,2
1545311027913948266,5,1003978,0.785,-0.105,-0.716,2
1545311028032843764,5,1004095,0.795,-0.103,-0.721,2
1545311028150595548,5,1004211,0.808,-0.094,-0.719,2
1545311028268780159,5,1004326,0.821,-0.081,-0.717,2
1545311028387157067,5,1004442,0.836,-0.075,-0.713,2
1545311028505087237,5,1004559,0.849,-0.063,-0.709,2
1545311028624380293,5,1004675,0.935,-0.207,-0.783,2
1545311028741621259,5,1004791,0.949,-0.205,-0.781,2
1545311028860774808,5,1004908,0.965,-0.201,-0.782,2
1545311028978080835,5,1005024,0.982,-0.201,-0.781,2
1545311029095953887,5,1005139,0.927,-0.052,-0.705,2
1545311029214226575,5,1005255,0.944,-0.05,-0.703,2
1545311029333281944,5,1005372,0.959,-0.046,-0.699,2
1545311029451165588,5,1005488,0.978,-0.047,-0.703,2
1545311029569180151,5,1005603,0.991,-0.043,-0.701,2
1545311029686455546,5,1005721,1.008,-0.046,-0.706,2
1545311029924190271,5,1005952,1.049,-0.058,-0.726,2
1545311030041571701,5,1006068,1.067,-0.055,-0.728,2
1545311030159941076,5,1006185,1.082,-0.049,-0.726,2
1545311030279137699,5,1006301,1.096,-0.036,-0.718,2
1545311030396060253,5,1006416,1.105,-0.015,-0.704,2
1545311030513872136,5,1006532,1.124,-0.012,-0.707,2
1545311030632684717,5,1006649,1.145,-0.013,-0.713,2
1545311030750568790,5,1006765,1.164,-0.016,-0.717,2
1545311030870102170,5,1006881,1.182,-0.016,-0.717,2
1545311030986592031,5,1006998,1.198,-0.013,-0.714,2
