rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags,angle
1545311019168312143,5,995384,0.798,-1.126,-0.734,2,0.0
1545311019288665190,5,995500,0.797,-1.126,-0.735,2,0.0
1545311019405675716,5,995617,0.798,-1.125,-0.736,2,0.0
1545311019642068686,5,995848,0.798,-1.126,-0.735,2,0.0
1545311019759972071,5,995964,0.8,-1.127,-0.734,2,0.0
1545311019878488285,5,996081,0.8,-1.126,-0.733,2,0.0
1545311019996990652,5,996196,0.799,-1.127,-0.732,2,0.0
1545311020115104629,5,996313,0.799,-1.127,-0.732,2,0.0
1545311020233151707,5,996430,0.798,-1.127,-0.733,2,0.0
1545311020350924087,5,996545,0.798,-1.127,-0.732,2,0.0
1545311020468573477,5,996661,0.798,-1.127,-0.732,2,0.0
1545311020586415336,5,996777,0.797,-1.125,-0.731,2,0.0
1545311020705799629,5,996894,0.799,-1.126,-0.728,2,0.0
1545311020824191253,5,997009,0.8,-1.127,-0.726,2,0.0
1545311020942828203,5,997125,0.801,-1.126,-0.726,2,0.0
1545311021059865198,5,997241,0.803,-1.124,-0.727,2,0.0
1545311021177765674,5,997358,0.803,-1.117,-0.727,2,0.0
1545311021297145193,5,997474,0.804,-1.108,-0.726,2,0.0
1545311021415684998,5,997590,0.799,-1.086,-0.725,2,0.0
1545311021532894017,5,997707,0.795,-1.069,-0.721,2,0.0
1545311021651152988,5,997822,0.79,-1.051,-0.721,2,0.0
1545311021768859358,5,997938,0.782,-1.026,-0.724,2,0.0
1545311021886651771,5,998054,0.783,-1.014,-0.723,2,0.0
1545311022007437253,5,998171,0.782,-0.997,-0.725,2,0.0
1545311022123438707,5,998286,0.784,-0.98,-0.725,2,0.0
1545311022241509020,5,998403,0.786,-0.967,-0.722,2,0.0
1545311022360105656,5,998520,0.788,-0.95,-0.723,2,0.0
1545311022477724622,5,998637,0.789,-0.936,-0.717,2,0.0
1545311022595734261,5,998752,0.789,-0.92,-0.712,2,0.0
1545311022715070846,5,998868,0.789,-0.905,-0.707,2,0.0
1545311022833242326,5,998985,0.787,-0.888,-0.703,2,0.0
1545311022951446571,5,999101,0.787,-0.865,-0.706,2,0.0
1545311023068740460,5,999216,0.786,-0.839,-0.709,2,0.0
1545311023186719257,5,999332,0.787,-0.814,-0.713,2,0.0
1545311023305131227,5,999450,0.787,-0.788,-0.714,2,0.0
1545311023424070847,5,999565,0.786,-0.766,-0.716,2,0.0
1545311023542162481,5,999681,0.785,-0.748,-0.715,2,0.0
1545311023777557380,5,999914,0.791,-0.74,-0.72,2,0.0
1545311023896709231,5,1000029,0.792,-0.72,-0.722,2,0.0
1545311024015045817,5,1000145,0.792,-0.697,-0.722,2,0.0
1545311024133290804,5,1000262,0.792,-0.671,-0.723,2,0.0
1545311024250889205,5,1000378,0.785,-0.633,-0.72,2,0.0
1545311024369371456,5,1000494,0.786,-0.613,-0.721,2,0.0
1545311024487417782,5,1000610,0.794,-0.609,-0.726,2,0.0
1545311025313609240,5,1001422,0.793,-0.563,-0.725,2,0.0
