rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545310951101993832,928492,0.935,-0.038,-0.7,2
1545310951220498022,928608,0.934,-0.035,-0.695,2
1545310951338300538,928723,0.933,-0.033,-0.694,2
1545310951456896158,928839,0.935,-0.037,-0.697,2
1545310951574162167,928956,0.936,-0.036,-0.697,2
1545310951692647253,929072,0.938,-0.04,-0.702,2
1545310951810279958,929187,0.938,-0.043,-0.705,2
1545310951930181944,929303,0.938,-0.041,-0.704,2
1545310952048091078,929421,0.936,-0.041,-0.704,2
1545310952167023034,929536,0.933,-0.04,-0.703,2
1545310952283386095,929652,0.932,-0.04,-0.704,2
1545310952401337046,929769,0.931,-0.041,-0.705,2
1545310952519632378,929885,0.933,-0.043,-0.706,2
1545310952638508117,930000,0.933,-0.043,-0.707,2
1545310952757134446,930116,0.932,-0.043,-0.705,2
1545310952874187410,930233,0.931,-0.044,-0.705,2
1545310952993676806,930349,0.93,-0.045,-0.708,2
1545310953110391684,930466,0.93,-0.047,-0.71,2
1545310953228541825,930582,0.929,-0.049,-0.712,2
1545310953347434100,930699,0.929,-0.05,-0.714,2
1545310953465473557,930814,0.929,-0.05,-0.715,2
1545310953583483194,930930,0.929,-0.05,-0.715,2
1545310953700879761,931046,0.929,-0.049,-0.713,2
1545310953819018664,931163,0.931,-0.046,-0.711,2
1545310953937294926,931278,0.936,-0.045,-0.705,2
1545310954058011745,931394,0.946,-0.043,-0.701,2
1545310954174948096,931512,0.96,-0.041,-0.7,2
1545310954292860618,931628,0.974,-0.045,-0.7,2
1545310954410472125,931743,0.988,-0.044,-0.703,2
1545310954528693737,931859,1.0,-0.044,-0.704,2
1545310954647763821,931976,1.013,-0.042,-0.703,2
1545310954766235205,932091,1.025,-0.028,-0.697,2
1545310954883736983,932207,1.038,-0.017,-0.691,2
1545310955119611462,932440,1.06,-0.016,-0.697,2
1545310955475971279,932789,1.087,-0.005,-0.694,2
1545310955592628228,932904,1.118,-0.003,-0.697,2
1545310955710213564,933020,1.149,-0.002,-0.701,2
1545310955828752958,933136,1.174,0.006,-0.694,2
1545310955947019156,933253,1.192,0.009,-0.695,2
1545310956066201560,933368,1.211,0.014,-0.692,2
1545310956183396702,933484,1.23,0.016,-0.695,2
1545310956301178807,933602,1.246,0.028,-0.688,2
1545310956419644139,933718,1.266,0.031,-0.689,2
1545310956538229986,933833,1.287,0.033,-0.691,2
1545310956655809689,933949,1.305,0.041,-0.686,2
1545310956774442327,934066,1.327,0.038,-0.691,2
1545310956892963332,934181,1.347,0.041,-0.692,2
1545310957010714396,934297,1.366,0.042,-0.696,2
1545310957247139663,934530,1.405,0.05,-0.693,2
1545310957366060649,934646,1.426,0.054,-0.691,2
1545310957483360987,934762,1.447,0.058,-0.685,2
1545310957602256460,934879,1.467,0.057,-0.684,2
1545310957719069655,934995,1.486,0.053,-0.686,2
1545310957838549010,935110,1.503,0.051,-0.684,2
1545310957955642392,935226,1.52,0.05,-0.684,2
1545310958074774982,935343,1.537,0.049,-0.684,2
1545310958192549439,935458,1.556,0.046,-0.686,2
1545310958311199425,935574,1.575,0.044,-0.688,2
1545310958428357415,935691,1.592,0.043,-0.69,2
1545310958547806110,935809,1.609,0.041,-0.691,2
1545310958665766744,935924,1.625,0.039,-0.692,2
1545310958783340305,936040,1.642,0.037,-0.695,2
1545310958901965624,936156,1.66,0.034,-0.696,2
1545310959019426894,936273,1.677,0.034,-0.698,2
1545310959137951832,936388,1.695,0.031,-0.702,2
1545310959256451608,936504,1.713,0.028,-0.704,2
1545310959375134806,936621,1.73,0.025,-0.707,2
1545310959492739772,936737,1.748,0.018,-0.708,2
1545310959611397596,936853,1.766,0.016,-0.706,2
1545310959729286632,936969,1.783,0.008,-0.707,2
1545310959847860522,937086,1.802,0.002,-0.706,2
1545310959965772520,937201,1.82,0.0,-0.706,2
1545310960083903668,937317,1.844,-0.012,-0.711,2
1545310960202163157,937433,1.866,-0.016,-0.714,2
1545310960319478799,937550,1.883,-0.02,-0.715,2
1545310960438019635,937665,1.898,-0.03,-0.718,2
1545310960555454046,937782,1.905,-0.036,-0.725,2
1545310960675545080,937899,1.91,-0.047,-0.722,2
1545310960792373166,938014,1.916,-0.055,-0.721,2
1545310960910650066,938130,1.921,-0.065,-0.716,2
1545310961146926133,938363,1.922,-0.075,-0.705,2
1545310961264434530,938478,1.922,-0.09,-0.709,2
1545310961383340328,938594,1.92,-0.111,-0.713,2
1545310961501382252,938710,1.914,-0.126,-0.717,2
1545310961737338127,938943,1.911,-0.152,-0.718,2
1545310961856573445,939059,1.912,-0.167,-0.718,2
1545310961973467848,939176,1.916,-0.182,-0.717,2
1545310962092101976,939291,1.921,-0.198,-0.716,2
1545310962210147073,939407,1.927,-0.216,-0.714,2
1545310962328255929,939523,1.933,-0.234,-0.711,2
1545310962446552374,939640,1.939,-0.253,-0.713,2
1545310962565120947,939755,1.943,-0.269,-0.715,2
1545310962683432881,939872,1.946,-0.283,-0.72,2
1545310962802125145,939989,1.947,-0.295,-0.725,2
1545310962919190989,940104,1.949,-0.312,-0.727,2
1545310963037787400,940220,1.952,-0.334,-0.727,2
1545310963155855585,940336,1.952,-0.351,-0.725,2
1545310963273795941,940453,1.954,-0.37,-0.722,2
1545310963391498372,940568,1.949,-0.386,-0.737,2
1545310963510845355,940684,1.95,-0.4,-0.74,2
1545310963629122827,940800,1.951,-0.415,-0.742,2
1545310963748367153,940918,1.953,-0.432,-0.744,2
1545310963865230933,941034,1.961,-0.453,-0.727,2
1545310963982803152,941150,1.963,-0.472,-0.724,2
1545310964100939945,941267,1.967,-0.497,-0.721,2
1545310964219618714,941383,1.968,-0.517,-0.721,2
1545310964337862955,941498,1.97,-0.536,-0.721,2
1545310964455197335,941614,1.971,-0.555,-0.723,2
1545310964573439986,941731,1.971,-0.57,-0.725,2
1545310964691280792,941847,1.971,-0.587,-0.726,2
1545310964810837258,941963,1.97,-0.602,-0.726,2
1545310964928658919,942080,1.972,-0.624,-0.722,2
1545310965047144353,942196,1.973,-0.642,-0.721,2
1545310965164693832,942311,1.975,-0.662,-0.723,2
1545310965282471122,942427,1.977,-0.683,-0.722,2
1545310965400596020,942544,1.977,-0.698,-0.727,2
1545310965518789393,942660,1.979,-0.721,-0.727,2
1545310965638470423,942775,1.98,-0.743,-0.725,2
1545310965756984431,942891,1.98,-0.76,-0.727,2
1545310965873548463,943009,1.981,-0.779,-0.725,2
1545310965991794399,943124,1.981,-0.795,-0.725,2
1545310966110151267,943240,1.983,-0.813,-0.723,2
1545310966227715003,943357,1.985,-0.83,-0.721,2
1545310966346479767,943473,1.986,-0.844,-0.721,2
1545310966464423729,943588,1.988,-0.858,-0.72,2
1545310966582628824,943704,1.99,-0.872,-0.72,2
1545310966701053634,943821,1.991,-0.887,-0.72,2
1545310966819772780,943937,1.993,-0.905,-0.718,2
1545310966936415369,944053,1.995,-0.924,-0.715,2
1545310967056790886,944170,1.997,-0.941,-0.716,2
1545310967173854853,944286,1.999,-0.959,-0.717,2
1545310967291714630,944401,2.0,-0.973,-0.719,2
1545310967409805550,944517,2.003,-0.988,-0.718,2
1545310967528260506,944634,2.005,-1.005,-0.711,2
1545310967646682670,944750,2.008,-1.019,-0.708,2
1545310967764325081,944865,2.009,-1.04,-0.699,2
1545310967883941155,944981,2.009,-1.059,-0.697,2
1545310968000751842,945099,2.009,-1.075,-0.701,2
1545310968118619237,945214,2.008,-1.095,-0.699,2
1545310968236074814,945330,2.008,-1.112,-0.699,2
1545310968355603070,945447,2.007,-1.127,-0.702,2
1545310968473715753,945563,2.006,-1.143,-0.701,2
1545310968591679770,945678,2.005,-1.16,-0.697,2
1545310968709353984,945794,2.003,-1.173,-0.698,2
1545310968827565501,945911,2.001,-1.189,-0.693,2
1545310968946715521,946027,1.999,-1.204,-0.692,2
1545310969064825749,946144,1.998,-1.221,-0.685,2
1545310969182688413,946260,1.991,-1.223,-0.699,2
1545310969300583320,946377,1.983,-1.229,-0.706,2
1545310969418786317,946493,1.979,-1.247,-0.692,2
1545310969536561577,946608,1.965,-1.252,-0.698,2
1545310969656160761,946724,1.957,-1.273,-0.681,2
1545310969774053277,946841,1.948,-1.289,-0.668,2
1545310969891230774,946956,1.935,-1.294,-0.67,2
1545310970010504836,947072,1.942,-1.337,-0.599,2
1545310970127051333,947190,1.926,-1.331,-0.611,2
1545310970246104951,947306,1.91,-1.324,-0.622,2
1545310970363695691,947421,1.892,-1.315,-0.64,2
1545310970482418364,947537,1.857,-1.272,-0.719,2
1545310970600637771,947654,1.85,-1.285,-0.703,2
1545310970718639530,947769,1.843,-1.297,-0.687,2
1545310970837770748,947885,1.835,-1.308,-0.671,2
1545310970954508031,948001,1.827,-1.32,-0.657,2
1545310971073955069,948118,1.814,-1.326,-0.649,2
1545310971190547583,948234,1.8,-1.33,-0.648,2
1545310971309736358,948350,1.787,-1.335,-0.642,2
1545310971427500625,948467,1.772,-1.338,-0.641,2
1545310971545893796,948583,1.757,-1.34,-0.644,2
1545310971663540711,948698,1.741,-1.339,-0.65,2
1545310971782055804,948814,1.723,-1.339,-0.659,2
1545310971899606099,948931,1.708,-1.335,-0.664,2
1545310972019830191,949046,1.69,-1.33,-0.671,2
1545310972136756316,949162,1.672,-1.325,-0.678,2
1545310972254747288,949280,1.656,-1.326,-0.675,2
1545310972372454183,949396,1.639,-1.333,-0.667,2
1545310972490223756,949511,1.627,-1.338,-0.657,2
1545310972609620309,949627,1.611,-1.343,-0.65,2
1545310972727668128,949744,1.593,-1.345,-0.65,2
1545310972845814634,949860,1.575,-1.345,-0.657,2
1545310972965076760,949975,1.554,-1.344,-0.67,2
1545310973081770631,950091,1.536,-1.346,-0.674,2
1545310973199717910,950208,1.517,-1.343,-0.679,2
1545310973317550344,950324,1.499,-1.342,-0.68,2
1545310973436883711,950440,1.477,-1.336,-0.687,2
1545310973554666598,950557,1.456,-1.332,-0.691,2
1545310973673125581,950673,1.436,-1.33,-0.693,2
1545310973791057631,950788,1.415,-1.327,-0.695,2
1545310973909599521,950904,1.398,-1.33,-0.688,2
1545310974028201808,951021,1.379,-1.329,-0.689,2
1545310974146033422,951136,1.359,-1.326,-0.693,2
1545310974263809078,951252,1.339,-1.326,-0.694,2
1545310974381534287,951369,1.321,-1.329,-0.692,2
1545310974499736106,951487,1.301,-1.332,-0.689,2
1545310974619051892,951602,1.284,-1.317,-0.715,2
