rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545310951101983533,5,928492,0.935,-0.038,-0.7,2
1545310951220345039,5,928608,0.934,-0.035,-0.695,2
1545310951338280469,5,928723,0.933,-0.033,-0.694,2
1545310951456873550,5,928839,0.935,-0.037,-0.697,2
1545310951574242922,5,928956,0.936,-0.036,-0.697,2
1545310951692510824,5,929072,0.938,-0.04,-0.702,2
1545310951810255718,5,929187,0.938,-0.043,-0.705,2
1545310951930158475,5,929303,0.938,-0.041,-0.704,2
1545310952047972962,5,929421,0.936,-0.041,-0.704,2
1545310952166945292,5,929536,0.933,-0.04,-0.703,2
1545310952283303276,5,929652,0.932,-0.04,-0.704,2
1545310952401348876,5,929769,0.931,-0.041,-0.705,2
1545310952519518098,5,929885,0.933,-0.043,-0.706,2
1545310952638506307,5,930000,0.933,-0.043,-0.707,2
1545310952756482908,5,930116,0.932,-0.043,-0.705,2
1545310952874169876,5,930233,0.931,-0.044,-0.705,2
1545310952993537535,5,930349,0.93,-0.045,-0.708,2
1545310953110340425,5,930466,0.93,-0.047,-0.71,2
1545310953228439693,5,930582,0.929,-0.049,-0.712,2
1545310953346993363,5,930699,0.929,-0.05,-0.714,2
1545310953465397643,5,930814,0.929,-0.05,-0.715,2
1545310953583419285,5,930930,0.929,-0.05,-0.715,2
1545310953700865539,5,931046,0.929,-0.049,-0.713,2
1545310953818933914,5,931163,0.931,-0.046,-0.711,2
1545310953937235666,5,931278,0.936,-0.045,-0.705,2
1545310954057987037,5,931394,0.946,-0.043,-0.701,2
1545310954174913136,5,931512,0.96,-0.041,-0.7,2
1545310954292751190,5,931628,0.974,-0.045,-0.7,2
1545310954410300254,5,931743,0.988,-0.044,-0.703,2
1545310954528555821,5,931859,1.0,-0.044,-0.704,2
1545310954647630244,5,931976,1.013,-0.042,-0.703,2
1545310954766134443,5,932091,1.025,-0.028,-0.697,2
1545310954883661607,5,932207,1.038,-0.017,-0.691,2
1545310955119593071,5,932440,1.06,-0.016,-0.697,2
1545310955475956479,5,932789,1.087,-0.005,-0.694,2
1545310955592604961,5,932904,1.118,-0.003,-0.697,2
1545310955710174105,5,933020,1.149,-0.002,-0.701,2
1545310955828716290,5,933136,1.174,0.006,-0.694,2
1545310955947199219,5,933253,1.192,0.009,-0.695,2
1545310956066098999,5,933368,1.211,0.014,-0.692,2
