rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags,angle
1545310951101977471,5,928492,0.935,-0.038,-0.7,2,0.0
1545310951220322809,5,928608,0.934,-0.035,-0.695,2,0.0
1545310951338259221,5,928723,0.933,-0.033,-0.694,2,0.0
1545310951456716472,5,928839,0.935,-0.037,-0.697,2,0.0
1545310951574140634,5,928956,0.936,-0.036,-0.697,2,0.0
1545310951692448642,5,929072,0.938,-0.04,-0.702,2,0.0
1545310951810099380,5,929187,0.938,-0.043,-0.705,2,0.0
1545310951929997970,5,929303,0.938,-0.041,-0.704,2,0.0
1545310952047673991,5,929421,0.936,-0.041,-0.704,2,0.0
1545310952166683698,5,929536,0.933,-0.04,-0.703,2,0.0
1545310952283286010,5,929652,0.932,-0.04,-0.704,2,0.0
1545310952400901222,5,929769,0.931,-0.041,-0.705,2,0.0
1545310952519409541,5,929885,0.933,-0.043,-0.706,2,0.0
1545310952638481617,5,930000,0.933,-0.043,-0.707,2,0.0
1545310952756433714,5,930116,0.932,-0.043,-0.705,2,0.0
1545310952874151118,5,930233,0.931,-0.044,-0.705,2,0.0
1545310952993545108,5,930349,0.93,-0.045,-0.708,2,0.0
1545310953110289285,5,930466,0.93,-0.047,-0.71,2,0.0
1545310953228416708,5,930582,0.929,-0.049,-0.712,2,0.0
1545310953346952077,5,930699,0.929,-0.05,-0.714,2,0.0
1545310953465374781,5,930814,0.929,-0.05,-0.715,2,0.0
1545310953583416618,5,930930,0.929,-0.05,-0.715,2,0.0
1545310953700809314,5,931046,0.929,-0.049,-0.713,2,0.0
1545310953818919565,5,931163,0.931,-0.046,-0.711,2,0.0
1545310953937218725,5,931278,0.936,-0.045,-0.705,2,0.0
1545310954057872174,5,931394,0.946,-0.043,-0.701,2,0.0
1545310954174658977,5,931512,0.96,-0.041,-0.7,2,0.0
1545310954292718950,5,931628,0.974,-0.045,-0.7,2,0.0
1545310954410280903,5,931743,0.988,-0.044,-0.703,2,0.0
1545310954528533594,5,931859,1.0,-0.044,-0.704,2,0.0
1545310954647522743,5,931976,1.013,-0.042,-0.703,2,0.0
1545310954765943722,5,932091,1.025,-0.028,-0.697,2,0.0
1545310954883639110,5,932207,1.038,-0.017,-0.691,2,0.0
1545310955119569105,5,932440,1.06,-0.016,-0.697,2,0.0
1545310955475914170,5,932789,1.087,-0.005,-0.694,2,0.0
1545310955592441853,5,932904,1.118,-0.003,-0.697,2,0.0
1545310955709894283,5,933020,1.149,-0.002,-0.701,2,0.0
1545310955828662099,5,933136,1.174,0.006,-0.694,2,0.0
1545310955947000551,5,933253,1.192,0.009,-0.695,2,0.0
1545310956066189749,5,933368,1.211,0.014,-0.692,2,0.0
1545310956183331166,5,933484,1.23,0.016,-0.695,2,0.0
1545310956301144678,5,933602,1.246,0.028,-0.688,2,0.0
1545310956419605473,5,933718,1.266,0.031,-0.689,2,0.0
1545310956538072908,5,933833,1.287,0.033,-0.691,2,0.0
1545310956655568922,5,933949,1.305,0.041,-0.686,2,0.0
1545310956774357518,5,934066,1.327,0.038,-0.691,2,0.0
1545310956892859948,5,934181,1.347,0.041,-0.692,2,0.0
1545310957010640315,5,934297,1.366,0.042,-0.696,2,0.0
1545310957246988927,5,934530,1.405,0.05,-0.693,2,0.0
1545310957366018627,5,934646,1.426,0.054,-0.691,2,0.0
1545310957483361435,5,934762,1.447,0.058,-0.685,2,0.0
1545310957602220993,5,934879,1.467,0.057,-0.684,2,0.0
1545310957718947714,5,934995,1.486,0.053,-0.686,2,0.0
1545310957838396282,5,935110,1.503,0.051,-0.684,2,0.0
1545310957955503066,5,935226,1.52,0.05,-0.684,2,0.0
1545310958074752307,5,935343,1.537,0.049,-0.684,2,0.0
1545310958192277402,5,935458,1.556,0.046,-0.686,2,0.0
1545310958310899329,5,935574,1.575,0.044,-0.688,2,0.0
1545310958428140663,5,935691,1.592,0.043,-0.69,2,0.0
1545310958547597845,5,935809,1.609,0.041,-0.691,2,0.0
1545310958665728585,5,935924,1.625,0.039,-0.692,2,0.0
1545310958783224522,5,936040,1.642,0.037,-0.695,2,0.0
1545310958901909070,5,936156,1.66,0.034,-0.696,2,0.0
1545310959019257359,5,936273,1.677,0.034,-0.698,2,0.0
1545310959137835865,5,936388,1.695,0.031,-0.702,2,0.0
1545310959255879004,5,936504,1.713,0.028,-0.704,2,0.0
1545310959374683956,5,936621,1.73,0.025,-0.707,2,0.0
1545310959492359412,5,936737,1.748,0.018,-0.708,2,0.0
1545310959611258529,5,936853,1.766,0.016,-0.706,2,0.0
1545310959729187286,5,936969,1.783,0.008,-0.707,2,0.0
1545310959847642189,5,937086,1.802,0.002,-0.706,2,0.0
1545310959965445403,5,937201,1.82,0.0,-0.706,2,0.0
1545310960083759727,5,937317,1.844,-0.012,-0.711,2,0.0
1545310960201947221,5,937433,1.866,-0.016,-0.714,2,0.0
1545310960319413188,5,937550,1.883,-0.02,-0.715,2,0.0
1545310960437806387,5,937665,1.898,-0.03,-0.718,2,0.0
1545310960555377371,5,937782,1.905,-0.036,-0.725,2,0.0
1545310960675483385,5,937899,1.91,-0.047,-0.722,2,0.0
1545310960792171362,5,938014,1.916,-0.055,-0.721,2,0.0
1545310960910471224,5,938130,1.921,-0.065,-0.716,2,0.0
1545310961146719743,5,938363,1.922,-0.075,-0.705,2,0.0
1545310961264413688,5,938478,1.922,-0.09,-0.709,2,0.0
1545310961383266562,5,938594,1.92,-0.111,-0.713,2,0.0
1545310961501279683,5,938710,1.914,-0.126,-0.717,2,0.0
1545310961737292407,5,938943,1.911,-0.152,-0.718,2,0.0
1545310961856465254,5,939059,1.912,-0.167,-0.718,2,0.0
1545310961973411614,5,939176,1.916,-0.182,-0.717,2,0.0
1545310962092027266,5,939291,1.921,-0.198,-0.716,2,0.0
1545310962210115201,5,939407,1.927,-0.216,-0.714,2,0.0
1545310962328230483,5,939523,1.933,-0.234,-0.711,2,0.0
1545310962446442851,5,939640,1.939,-0.253,-0.713,2,0.0
1545310962564477508,5,939755,1.943,-0.269,-0.715,2,0.0
1545310962683145160,5,939872,1.946,-0.283,-0.72,2,0.0
1545310962801599980,5,939989,1.947,-0.295,-0.725,2,0.0
1545310962919059803,5,940104,1.949,-0.312,-0.727,2,0.0
1545310963037402560,5,940220,1.952,-0.334,-0.727,2,0.0
1545310963155817512,5,940336,1.952,-0.351,-0.725,2,0.0
1545310963273720942,5,940453,1.954,-0.37,-0.722,2,0.0
1545310963391415082,5,940568,1.949,-0.386,-0.737,2,0.0
1545310963510708725,5,940684,1.95,-0.4,-0.74,2,0.0
1545310963628874291,5,940800,1.951,-0.415,-0.742,2,0.0
1545310963747717947,5,940918,1.953,-0.432,-0.744,2,0.0
1545310963865188631,5,941034,1.961,-0.453,-0.727,2,0.0
1545310963982692184,5,941150,1.963,-0.472,-0.724,2,0.0
1545310964100586824,5,941267,1.967,-0.497,-0.721,2,0.0
1545310964219488022,5,941383,1.968,-0.517,-0.721,2,0.0
1545310964337742916,5,941498,1.97,-0.536,-0.721,2,0.0
1545310964455158848,5,941614,1.971,-0.555,-0.723,2,0.0
1545310964573299523,5,941731,1.971,-0.57,-0.725,2,0.0
1545310964691175617,5,941847,1.971,-0.587,-0.726,2,0.0
1545310964810520882,5,941963,1.97,-0.602,-0.726,2,0.0
1545310964928236433,5,942080,1.972,-0.624,-0.722,2,0.0
1545310965046933276,5,942196,1.973,-0.642,-0.721,2,0.0
1545310965164526434,5,942311,1.975,-0.662,-0.723,2,0.0
1545310965282300591,5,942427,1.977,-0.683,-0.722,2,0.0
1545310965400480735,5,942544,1.977,-0.698,-0.727,2,0.0
1545310965518458751,5,942660,1.979,-0.721,-0.727,2,0.0
1545310965638409699,5,942775,1.98,-0.743,-0.725,2,0.0
1545310965756197283,5,942891,1.98,-0.76,-0.727,2,0.0
1545310965873373113,5,943009,1.981,-0.779,-0.725,2,0.0
1545310965991681443,5,943124,1.981,-0.795,-0.725,2,0.0
1545310966109526617,5,943240,1.983,-0.813,-0.723,2,0.0
1545310966227556235,5,943357,1.985,-0.83,-0.721,2,0.0
1545310966346460057,5,943473,1.986,-0.844,-0.721,2,0.0
1545310966464383698,5,943588,1.988,-0.858,-0.72,2,0.0
1545310966582478071,5,943704,1.99,-0.872,-0.72,2,0.0
1545310966700559655,5,943821,1.991,-0.887,-0.72,2,0.0
1545310966819599453,5,943937,1.993,-0.905,-0.718,2,0.0
1545310966936248222,5,944053,1.995,-0.924,-0.715,2,0.0
