rosbagTimestamp,address,x_m,y_m,z_m
1545310129925844734,4,0.0,0.0,0.0
1545310129926091739,6,0.083,-1.252,0.0
1545310129926142012,9,2.644,0.0,0.0
1545310140209018093,4,0.0,0.0,0.0
1545310140209551079,6,0.083,-1.252,0.0
1545310140209589119,9,2.644,0.0,0.0
1545310150490561119,4,0.0,0.0,0.0
1545310150491272431,6,0.083,-1.252,0.0
1545310150491298223,9,2.644,0.0,0.0
1545310160771813913,4,0.0,0.0,0.0
1545310160771882145,6,0.083,-1.252,0.0
1545310160771907445,9,2.644,0.0,0.0
1545310171051775361,4,0.0,0.0,0.0
1545310171051782029,6,0.083,-1.252,0.0
1545310171051785923,9,2.644,0.0,0.0
