rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545310129814422502,121126,1.666,0.03,-0.696,2
1545310129932000759,121244,1.684,0.029,-0.696,2
1545310130050020601,121360,1.702,0.025,-0.699,2
1545310130169557541,121475,1.721,0.026,-0.701,2
1545310130523884983,121823,1.754,0.019,-0.703,2
1545310130759255458,122055,1.819,0.01,-0.706,2
1545310130877389517,122172,1.853,0.005,-0.707,2
1545310130996364254,122288,1.871,0.004,-0.707,2
1545310131114696107,122404,1.888,-0.002,-0.71,2
1545310131232343483,122521,1.901,-0.018,-0.715,2
1545310131469722317,122752,1.921,-0.057,-0.718,2
1545310131587459729,122868,1.924,-0.072,-0.714,2
1545310131705417048,122985,1.926,-0.079,-0.709,2
1545310131823636775,123100,1.925,-0.091,-0.709,2
1545310131941428499,123216,1.925,-0.112,-0.706,2
1545310132059338718,123334,1.928,-0.135,-0.706,2
1545310132177498740,123450,1.931,-0.16,-0.705,2
1545310132296639529,123565,1.934,-0.183,-0.704,2
1545310132414635893,123681,1.936,-0.2,-0.706,2
1545310132533136274,123798,1.937,-0.221,-0.708,2
1545310132650981165,123914,1.938,-0.242,-0.709,2
1545310132768541860,124029,1.94,-0.263,-0.711,2
1545310132887015906,124145,1.942,-0.284,-0.713,2
1545310133005313212,124262,1.945,-0.302,-0.716,2
1545310133123211517,124378,1.948,-0.322,-0.717,2
1545310133241587088,124494,1.951,-0.342,-0.72,2
1545310133358966647,124611,1.954,-0.366,-0.723,2
1545310133478267038,124727,1.957,-0.389,-0.724,2
1545310133596565930,124842,1.96,-0.41,-0.725,2
1545310133714133255,124958,1.961,-0.432,-0.729,2
1545310133832235512,125075,1.959,-0.451,-0.739,2
1545310133950352523,125190,1.961,-0.473,-0.736,2
1545310134068805613,125306,1.964,-0.498,-0.734,2
1545310134186580119,125423,1.969,-0.523,-0.728,2
1545310134305843687,125541,1.976,-0.549,-0.716,2
1545310134423932012,125656,1.977,-0.574,-0.717,2
1545310134542100626,125772,1.978,-0.595,-0.718,2
1545310134659401833,125888,1.979,-0.616,-0.718,2
1545310134777181653,126005,1.98,-0.639,-0.717,2
1545310134896535675,126120,1.981,-0.657,-0.723,2
1545310135015042358,126236,1.98,-0.676,-0.73,2
1545310135132195226,126352,1.978,-0.695,-0.74,2
1545310135368175426,126585,1.975,-0.736,-0.749,2
1545310135486649240,126701,1.977,-0.76,-0.748,2
1545310135606127025,126818,1.977,-0.779,-0.748,2
1545310135723759376,126933,1.977,-0.797,-0.749,2
1545310135841686701,127049,1.979,-0.82,-0.745,2
1545310135959209931,127165,1.982,-0.845,-0.74,2
1545310136077405289,127282,1.987,-0.873,-0.732,2
1545310136196815695,127397,1.993,-0.9,-0.725,2
1545310136314389966,127514,1.995,-0.92,-0.723,2
1545310136431952213,127631,1.997,-0.938,-0.725,2
1545310136549927652,127746,1.998,-0.957,-0.725,2
1545310136669977333,127862,2.0,-0.979,-0.721,2
1545310136785960254,127978,2.002,-0.997,-0.721,2
1545310136905953516,128095,2.004,-1.019,-0.716,2
1545310137023686085,128210,2.006,-1.037,-0.714,2
1545310137141162108,128326,2.004,-1.051,-0.719,2
1545310137377350982,128559,2.006,-1.082,-0.709,2
1545310137495644283,128675,2.008,-1.114,-0.696,2
1545310137614012783,128791,2.007,-1.141,-0.692,2
1545310137732130779,128908,2.008,-1.17,-0.685,2
1545310137851818496,129023,2.005,-1.184,-0.69,2
1545310137968598503,129139,2.004,-1.199,-0.694,2
1545310138086521258,129255,2.002,-1.22,-0.686,2
1545310138205031491,129372,1.993,-1.228,-0.696,2
1545310138322876809,129487,1.988,-1.246,-0.689,2
1545310138441400376,129604,1.973,-1.251,-0.697,2
1545310138559645451,129721,1.96,-1.262,-0.693,2
1545310138677634927,129836,1.947,-1.278,-0.684,2
1545310138795537639,129952,1.926,-1.282,-0.69,2
1545310138914525599,130068,1.908,-1.289,-0.688,2
1545310139032567065,130185,1.889,-1.293,-0.693,2
1545310139150701661,130300,1.874,-1.303,-0.679,2
1545310139269344089,130416,1.858,-1.314,-0.665,2
1545310139505132249,130650,1.838,-1.326,-0.655,2
1545310139622260421,130766,1.812,-1.331,-0.658,2
1545310139741699008,130882,1.785,-1.335,-0.663,2
1545310139859435691,130999,1.758,-1.339,-0.673,2
1545310139978273010,131115,1.737,-1.339,-0.682,2
1545310140095436105,131230,1.713,-1.331,-0.696,2
1545310140213559353,131346,1.691,-1.327,-0.708,2
1545310140331408415,131463,1.67,-1.324,-0.712,2
1545310140450417096,131579,1.649,-1.323,-0.712,2
1545310140567921344,131695,1.633,-1.335,-0.691,2
1545310140686104432,131811,1.615,-1.346,-0.669,2
1545310140804791223,131928,1.595,-1.352,-0.658,2
1545310140922958743,132043,1.573,-1.355,-0.655,2
1545310141039933942,132159,1.55,-1.354,-0.662,2
1545310141159092920,132276,1.526,-1.351,-0.67,2
1545310141278006485,132392,1.502,-1.349,-0.676,2
1545310141395506640,132507,1.476,-1.344,-0.686,2
1545310141513679610,132623,1.451,-1.338,-0.695,2
1545310141632579059,132741,1.428,-1.334,-0.701,2
1545310141749871912,132856,1.405,-1.33,-0.706,2
1545310141869201480,132972,1.385,-1.331,-0.7,2
1545310141986763732,133088,1.365,-1.334,-0.693,2
1545310142104915611,133205,1.342,-1.332,-0.691,2
1545310142222351746,133320,1.32,-1.331,-0.69,2
1545310142340022691,133436,1.299,-1.333,-0.683,2
1545310142460395078,133553,1.277,-1.331,-0.684,2
1545310142578230933,133669,1.257,-1.331,-0.682,2
1545310142695505966,133785,1.236,-1.33,-0.681,2
1545310142931898054,134018,1.193,-1.321,-0.687,2
1545310143049784821,134133,1.171,-1.313,-0.697,2
1545310143169057052,134249,1.148,-1.303,-0.704,2
1545310143286872580,134366,1.129,-1.3,-0.709,2
1545310143877885702,134946,1.07,-1.315,-0.705,2
1545310143995639363,135062,1.042,-1.314,-0.709,2
1545310144113859973,135178,1.01,-1.31,-0.715,2
1545310144233125812,135295,0.98,-1.306,-0.716,2
1545310144349933581,135410,0.959,-1.303,-0.718,2
1545310144468997711,135526,0.938,-1.303,-0.716,2
1545310144587284741,135643,0.918,-1.302,-0.716,2
1545310144705065503,135759,0.895,-1.299,-0.72,2
1545310144822902888,135876,0.874,-1.298,-0.721,2
1545310144941023162,135992,0.85,-1.29,-0.727,2
1545310145059110210,136109,0.833,-1.284,-0.728,2
1545310145296650667,136340,0.804,-1.25,-0.744,2
1545310145532047343,136573,0.788,-1.22,-0.747,2
1545310145649589494,136689,0.796,-1.216,-0.736,2
1545310145768078294,136804,0.808,-1.231,-0.721,2
1545310145886983338,136922,0.83,-1.251,-0.704,2
1545310146004665509,137038,0.843,-1.247,-0.699,2
1545310146122066059,137153,0.844,-1.236,-0.7,2
1545310146240993485,137269,0.836,-1.206,-0.705,2
1545310146359810957,137386,0.824,-1.169,-0.711,2
1545310146477092547,137502,0.821,-1.155,-0.709,2
1545310146595689110,137617,0.817,-1.139,-0.707,2
1545310146713849545,137733,0.81,-1.119,-0.709,2
1545310146831901157,137850,0.802,-1.098,-0.714,2
1545310146949965245,137966,0.798,-1.082,-0.713,2
1545310147067901642,138082,0.796,-1.063,-0.714,2
1545310147303490195,138315,0.796,-1.041,-0.715,2
1545310147422981192,138430,0.798,-1.02,-0.716,2
1545310147540958210,138546,0.796,-0.995,-0.718,2
1545310147658697933,138663,0.796,-0.971,-0.719,2
1545310147777970738,138779,0.795,-0.951,-0.717,2
1545310147895991715,138894,0.795,-0.93,-0.716,2
1545310148014497735,139012,0.796,-0.91,-0.716,2
1545310148132117885,139128,0.799,-0.892,-0.712,2
1545310148249814253,139243,0.8,-0.873,-0.71,2
1545310148488414857,139476,0.801,-0.828,-0.713,2
1545310148605008680,139592,0.799,-0.81,-0.711,2
1545310148723133549,139707,0.796,-0.784,-0.713,2
1545310148841408114,139823,0.792,-0.761,-0.713,2
1545310148959448342,139940,0.787,-0.731,-0.712,2
1545310149077944067,140056,0.783,-0.697,-0.719,2
1545310149195266870,140172,0.78,-0.669,-0.717,2
1545310149313794591,140289,0.779,-0.646,-0.719,2
1545310149431973081,140405,0.78,-0.626,-0.719,2
1545310149669022173,140636,0.792,-0.607,-0.73,2
1545310149786946336,140753,0.792,-0.586,-0.731,2
1545310149904879081,140869,0.793,-0.569,-0.735,2
1545310150022823441,140984,0.795,-0.551,-0.738,2
1545310150140383481,141101,0.786,-0.511,-0.732,2
1545310150258928493,141219,0.785,-0.486,-0.732,2
1545310150377693091,141334,0.784,-0.461,-0.73,2
1545310150495711619,141450,0.782,-0.435,-0.728,2
1545310150732039416,141683,0.78,-0.388,-0.722,2
1545310150849722140,141798,0.779,-0.365,-0.719,2
1545310150968941682,141914,0.779,-0.343,-0.716,2
1545310151087684512,142030,0.778,-0.324,-0.715,2
1545310151205126093,142148,0.778,-0.305,-0.714,2
1545310151322706376,142263,0.777,-0.285,-0.713,2
1545310151442127411,142379,0.778,-0.266,-0.711,2
1545310151558817279,142496,0.779,-0.245,-0.708,2
1545310151677582215,142611,0.779,-0.225,-0.704,2
1545310151796005720,142727,0.779,-0.206,-0.7,2
1545310151914479588,142843,0.778,-0.188,-0.698,2
1545310152032096005,142960,0.777,-0.17,-0.696,2
1545310152150311864,143075,0.776,-0.151,-0.695,2
1545310152269090698,143192,0.774,-0.132,-0.697,2
1545310152387138000,143309,0.778,-0.12,-0.699,2
1545310152622950319,143540,0.788,-0.104,-0.711,2
1545310152741002989,143656,0.801,-0.099,-0.714,2
1545310152858759754,143773,0.813,-0.087,-0.714,2
1545310152976721225,143888,0.828,-0.075,-0.71,2
1545310153096013764,144004,0.844,-0.065,-0.706,2
1545310153213597873,144120,0.86,-0.056,-0.701,2
1545310153331767004,144238,0.877,-0.053,-0.698,2
1545310153450969384,144353,0.895,-0.052,-0.698,2
1545310153569761022,144469,0.912,-0.051,-0.697,2
1545310153687281739,144586,0.928,-0.052,-0.697,2
1545310153805162526,144701,0.942,-0.052,-0.699,2
1545310153922897201,144817,0.956,-0.048,-0.7,2
1545310154040986695,144933,0.971,-0.044,-0.701,2
1545310154160035969,145050,0.988,-0.038,-0.703,2
1545310154395811535,145282,1.027,-0.024,-0.702,2
1545310154514259360,145399,1.046,-0.017,-0.701,2
1545310154632641693,145515,1.065,-0.01,-0.699,2
1545310154751084894,145630,1.084,-0.004,-0.696,2
1545310154869067990,145746,1.102,0.0,-0.695,2
1545310154987068727,145863,1.121,0.003,-0.694,2
1545310155105155023,145978,1.14,0.008,-0.693,2
1545310155341023456,146210,1.179,0.016,-0.692,2
1545310155459960484,146328,1.199,0.022,-0.691,2
1545310155578756396,146444,1.22,0.026,-0.69,2
1545310155696062072,146560,1.242,0.029,-0.69,2
1545310155814695046,146676,1.262,0.033,-0.69,2
1545310155932100427,146793,1.283,0.037,-0.69,2
1545310156049748939,146908,1.302,0.042,-0.689,2
1545310156169237555,147024,1.322,0.046,-0.688,2
1545310156286921685,147141,1.341,0.05,-0.688,2
1545310156405564326,147257,1.361,0.053,-0.689,2
1545310156523220813,147373,1.381,0.055,-0.69,2
1545310156641921223,147489,1.401,0.059,-0.689,2
1545310156760139811,147606,1.421,0.063,-0.686,2
1545310156878092649,147721,1.441,0.066,-0.681,2
1545310156995511279,147837,1.46,0.065,-0.682,2
1545310157114255297,147953,1.481,0.062,-0.681,2
1545310157232055913,148070,1.501,0.056,-0.683,2
1545310157350050410,148185,1.522,0.051,-0.685,2
1545310157469089218,148301,1.543,0.048,-0.685,2
1545310157586998753,148419,1.564,0.046,-0.686,2
1545310157705952929,148534,1.585,0.044,-0.687,2
1545310157823067669,148650,1.606,0.041,-0.69,2
1545310157940950588,148766,1.626,0.04,-0.691,2
1545310158060086627,148883,1.647,0.037,-0.694,2
1545310158295053092,149114,1.675,0.033,-0.697,2
1545310158414114117,149230,1.702,0.03,-0.698,2
1545310158531825234,149347,1.73,0.025,-0.7,2
1545310158650260576,149463,1.758,0.021,-0.701,2
1545310158769181473,149579,1.781,0.012,-0.704,2
1545310158887959184,149696,1.804,0.008,-0.706,2
1545310159004999131,149811,1.827,0.004,-0.707,2
1545310159123311971,149927,1.849,0.0,-0.709,2
1545310159239596311,150043,1.867,0.001,-0.707,2
1545310159478236775,150275,1.885,-0.011,-0.713,2
1545310159595966351,150391,1.9,-0.031,-0.716,2
1545310159713638696,150509,1.911,-0.047,-0.717,2
1545310159832074491,150624,1.919,-0.064,-0.719,2
1545310159949959899,150740,1.923,-0.074,-0.711,2
1545310160069916621,150856,1.924,-0.081,-0.708,2
1545310160186900333,150973,1.924,-0.097,-0.705,2
1545310160304577640,151088,1.926,-0.116,-0.704,2
1545310160421763674,151204,1.928,-0.141,-0.704,2
1545310160541262016,151320,1.931,-0.164,-0.703,2
1545310160660581923,151437,1.933,-0.187,-0.704,2
1545310160778097822,151554,1.936,-0.207,-0.706,2
1545310160896924584,151670,1.937,-0.225,-0.707,2
1545310161133137080,151903,1.939,-0.248,-0.711,2
1545310161249851772,152018,1.942,-0.272,-0.714,2
1545310161368651668,152134,1.945,-0.299,-0.716,2
1545310161486633706,152251,1.95,-0.322,-0.72,2
1545310161605150181,152367,1.953,-0.338,-0.722,2
1545310161722844391,152482,1.955,-0.346,-0.724,2
1545310161841161557,152600,1.956,-0.348,-0.724,2
1545310161959133319,152716,1.955,-0.347,-0.724,2
1545310162078717569,152831,1.954,-0.344,-0.724,2
1545310162196137670,152947,1.954,-0.344,-0.724,2
1545310162314318416,153064,1.954,-0.343,-0.726,2
1545310162431943969,153180,1.954,-0.342,-0.725,2
1545310162549413805,153295,1.954,-0.341,-0.725,2
1545310162669098411,153411,1.954,-0.342,-0.723,2
1545310162787200643,153528,1.953,-0.342,-0.723,2
1545310162905001119,153644,1.953,-0.343,-0.722,2
1545310163023527544,153760,1.954,-0.345,-0.722,2
1545310163141054872,153877,1.954,-0.345,-0.723,2
1545310163259296275,153993,1.954,-0.345,-0.722,2
1545310163377967122,154108,1.954,-0.345,-0.723,2
1545310163496161735,154224,1.954,-0.343,-0.725,2
1545310163614279803,154341,1.954,-0.345,-0.724,2
1545310163732198387,154457,1.954,-0.345,-0.724,2
1545310163850297051,154572,1.955,-0.346,-0.723,2
1545310163969014687,154689,1.955,-0.345,-0.722,2
1545310164087856573,154806,1.955,-0.345,-0.723,2
1545310164205028291,154921,1.955,-0.344,-0.724,2
1545310164323231460,155037,1.955,-0.341,-0.725,2
1545310164441186223,155154,1.955,-0.344,-0.724,2
1545310164559025074,155270,1.955,-0.345,-0.724,2
1545310164678060596,155385,1.956,-0.346,-0.724,2
