rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545310129814391414,5,121126,1.666,0.03,-0.696,2
1545310129931984602,5,121244,1.684,0.029,-0.696,2
1545310130049983906,5,121360,1.702,0.025,-0.699,2
1545310130169538850,5,121475,1.721,0.026,-0.701,2
1545310130523808751,5,121823,1.754,0.019,-0.703,2
1545310130759267394,5,122055,1.819,0.01,-0.706,2
1545310130877262241,5,122172,1.853,0.005,-0.707,2
1545310130996340435,5,122288,1.871,0.004,-0.707,2
1545310131114676878,5,122404,1.888,-0.002,-0.71,2
1545310131232254766,5,122521,1.901,-0.018,-0.715,2
1545310131469732659,5,122752,1.921,-0.057,-0.718,2
1545310131587444455,5,122868,1.924,-0.072,-0.714,2
1545310131705495142,5,122985,1.926,-0.079,-0.709,2
1545310131823545315,5,123100,1.925,-0.091,-0.709,2
1545310131941406794,5,123216,1.925,-0.112,-0.706,2
1545310132059256205,5,123334,1.928,-0.135,-0.706,2
1545310132177504617,5,123450,1.931,-0.16,-0.705,2
1545310132296612788,5,123565,1.934,-0.183,-0.704,2
1545310132414610834,5,123681,1.936,-0.2,-0.706,2
1545310132533123992,5,123798,1.937,-0.221,-0.708,2
1545310132650833946,5,123914,1.938,-0.242,-0.709,2
1545310132768527124,5,124029,1.94,-0.263,-0.711,2
1545310132886974457,5,124145,1.942,-0.284,-0.713,2
1545310133005294336,5,124262,1.945,-0.302,-0.716,2
1545310133123194797,5,124378,1.948,-0.322,-0.717,2
1545310133241560997,5,124494,1.951,-0.342,-0.72,2
1545310133358953402,5,124611,1.954,-0.366,-0.723,2
1545310133478148422,5,124727,1.957,-0.389,-0.724,2
1545310133596488387,5,124842,1.96,-0.41,-0.725,2
1545310133713978412,5,124958,1.961,-0.432,-0.729,2
1545310133832116376,5,125075,1.959,-0.451,-0.739,2
1545310133950333116,5,125190,1.961,-0.473,-0.736,2
1545310134068719865,5,125306,1.964,-0.498,-0.734,2
1545310134186457151,5,125423,1.969,-0.523,-0.728,2
1545310134305687089,5,125541,1.976,-0.549,-0.716,2
1545310134423496550,5,125656,1.977,-0.574,-0.717,2
1545310134542085661,5,125772,1.978,-0.595,-0.718,2
1545310134659394485,5,125888,1.979,-0.616,-0.718,2
1545310134777162417,5,126005,1.98,-0.639,-0.717,2
1545310134896509370,5,126120,1.981,-0.657,-0.723,2
1545310135015001899,5,126236,1.98,-0.676,-0.73,2
1545310135132182486,5,126352,1.978,-0.695,-0.74,2
1545310135368156061,5,126585,1.975,-0.736,-0.749,2
1545310135486622876,5,126701,1.977,-0.76,-0.748,2
1545310135606108602,5,126818,1.977,-0.779,-0.748,2
1545310135723677897,5,126933,1.977,-0.797,-0.749,2
1545310135841482137,5,127049,1.979,-0.82,-0.745,2
1545310135959193032,5,127165,1.982,-0.845,-0.74,2
1545310136077385677,5,127282,1.987,-0.873,-0.732,2
1545310136196800646,5,127397,1.993,-0.9,-0.725,2
1545310136314373764,5,127514,1.995,-0.92,-0.723,2
1545310136431833192,5,127631,1.997,-0.938,-0.725,2
1545310136549869194,5,127746,1.998,-0.957,-0.725,2
1545310136669885114,5,127862,2.0,-0.979,-0.721,2
1545310136785948602,5,127978,2.002,-0.997,-0.721,2
1545310136905151817,5,128095,2.004,-1.019,-0.716,2
1545310137023676660,5,128210,2.006,-1.037,-0.714,2
1545310137141147816,5,128326,2.004,-1.051,-0.719,2
1545310137377252155,5,128559,2.006,-1.082,-0.709,2
1545310137495320258,5,128675,2.008,-1.114,-0.696,2
1545310137613991823,5,128791,2.007,-1.141,-0.692,2
1545310137732034826,5,128908,2.008,-1.17,-0.685,2
1545310137851800982,5,129023,2.005,-1.184,-0.69,2
1545310137968487211,5,129139,2.004,-1.199,-0.694,2
1545310138086503957,5,129255,2.002,-1.22,-0.686,2
1545310138204921248,5,129372,1.993,-1.228,-0.696,2
1545310138322827289,5,129487,1.988,-1.246,-0.689,2
1545310138441379395,5,129604,1.973,-1.251,-0.697,2
1545310138559439074,5,129721,1.96,-1.262,-0.693,2
1545310138677613208,5,129836,1.947,-1.278,-0.684,2
1545310138795490799,5,129952,1.926,-1.282,-0.69,2
1545310138914402559,5,130068,1.908,-1.289,-0.688,2
1545310139032536151,5,130185,1.889,-1.293,-0.693,2
1545310139150571636,5,130300,1.874,-1.303,-0.679,2
1545310139269296433,5,130416,1.858,-1.314,-0.665,2
1545310139505132276,5,130650,1.838,-1.326,-0.655,2
1545310139622159337,5,130766,1.812,-1.331,-0.658,2
1545310139741530882,5,130882,1.785,-1.335,-0.663,2
1545310139859318210,5,130999,1.758,-1.339,-0.673,2
1545310139978247975,5,131115,1.737,-1.339,-0.682,2
1545310140095311498,5,131230,1.713,-1.331,-0.696,2
1545310140213452120,5,131346,1.691,-1.327,-0.708,2
1545310140331379889,5,131463,1.67,-1.324,-0.712,2
1545310140450397560,5,131579,1.649,-1.323,-0.712,2
1545310140567885241,5,131695,1.633,-1.335,-0.691,2
1545310140686036967,5,131811,1.615,-1.346,-0.669,2
1545310140804797077,5,131928,1.595,-1.352,-0.658,2
1545310140922915840,5,132043,1.573,-1.355,-0.655,2
1545310141039923067,5,132159,1.55,-1.354,-0.662,2
1545310141159077853,5,132276,1.526,-1.351,-0.67,2
1545310141277708573,5,132392,1.502,-1.349,-0.676,2
1545310141395511549,5,132507,1.476,-1.344,-0.686,2
1545310141513661010,5,132623,1.451,-1.338,-0.695,2
1545310141632535962,5,132741,1.428,-1.334,-0.701,2
1545310141749861215,5,132856,1.405,-1.33,-0.706,2
1545310141869200243,5,132972,1.385,-1.331,-0.7,2
1545310141986733113,5,133088,1.365,-1.334,-0.693,2
1545310142104886629,5,133205,1.342,-1.332,-0.691,2
1545310142222241410,5,133320,1.32,-1.331,-0.69,2
1545310142339928303,5,133436,1.299,-1.333,-0.683,2
1545310142460017283,5,133553,1.277,-1.331,-0.684,2
1545310142577274659,5,133669,1.257,-1.331,-0.682,2
1545310142695348212,5,133785,1.236,-1.33,-0.681,2
1545310142931879238,5,134018,1.193,-1.321,-0.687,2
1545310143049768276,5,134133,1.171,-1.313,-0.697,2
1545310143168979044,5,134249,1.148,-1.303,-0.704,2
1545310143286864857,5,134366,1.129,-1.3,-0.709,2
1545310143877875269,5,134946,1.07,-1.315,-0.705,2
1545310143995613246,5,135062,1.042,-1.314,-0.709,2
1545310144113839175,5,135178,1.01,-1.31,-0.715,2
1545310144233094585,5,135295,0.98,-1.306,-0.716,2
1545310144349908304,5,135410,0.959,-1.303,-0.718,2
1545310144468973211,5,135526,0.938,-1.303,-0.716,2
1545310144587264739,5,135643,0.918,-1.302,-0.716,2
1545310144705036121,5,135759,0.895,-1.299,-0.72,2
1545310144822882723,5,135876,0.874,-1.298,-0.721,2
1545310144941003885,5,135992,0.85,-1.29,-0.727,2
1545310145058961758,5,136109,0.833,-1.284,-0.728,2
1545310145296634857,5,136340,0.804,-1.25,-0.744,2
1545310145532022256,5,136573,0.788,-1.22,-0.747,2
1545310145649569725,5,136689,0.796,-1.216,-0.736,2
1545310145768465347,5,136804,0.808,-1.231,-0.721,2
1545310145886865270,5,136922,0.83,-1.251,-0.704,2
1545310146004625258,5,137038,0.843,-1.247,-0.699,2
1545310146121983383,5,137153,0.844,-1.236,-0.7,2
1545310146240937776,5,137269,0.836,-1.206,-0.705,2
1545310146359750340,5,137386,0.824,-1.169,-0.711,2
1545310146476966496,5,137502,0.821,-1.155,-0.709,2
1545310146595662519,5,137617,0.817,-1.139,-0.707,2
1545310146713750101,5,137733,0.81,-1.119,-0.709,2
1545310146831883797,5,137850,0.802,-1.098,-0.714,2
1545310146949971645,5,137966,0.798,-1.082,-0.713,2
1545310147067882292,5,138082,0.796,-1.063,-0.714,2
1545310147303483408,5,138315,0.796,-1.041,-0.715,2
1545310147422918443,5,138430,0.798,-1.02,-0.716,2
1545310147540936601,5,138546,0.796,-0.995,-0.718,2
1545310147658695288,5,138663,0.796,-0.971,-0.719,2
1545310147777969993,5,138779,0.795,-0.951,-0.717,2
1545310147895991505,5,138894,0.795,-0.93,-0.716,2
1545310148013825626,5,139012,0.796,-0.91,-0.716,2
1545310148131972398,5,139128,0.799,-0.892,-0.712,2
1545310148249793661,5,139243,0.8,-0.873,-0.71,2
1545310148487400540,5,139476,0.801,-0.828,-0.713,2
1545310148604957450,5,139592,0.799,-0.81,-0.711,2
1545310148723119082,5,139707,0.796,-0.784,-0.713,2
1545310148841377456,5,139823,0.792,-0.761,-0.713,2
1545310148958760986,5,139940,0.787,-0.731,-0.712,2
1545310149077930977,5,140056,0.783,-0.697,-0.719,2
1545310149195218489,5,140172,0.78,-0.669,-0.717,2
1545310149313766125,5,140289,0.779,-0.646,-0.719,2
1545310149431956732,5,140405,0.78,-0.626,-0.719,2
1545310149668926241,5,140636,0.792,-0.607,-0.73,2
1545310149786929021,5,140753,0.792,-0.586,-0.731,2
1545310149904853027,5,140869,0.793,-0.569,-0.735,2
1545310150022636127,5,140984,0.795,-0.551,-0.738,2
1545310150140274965,5,141101,0.786,-0.511,-0.732,2
1545310150258780236,5,141219,0.785,-0.486,-0.732,2
1545310150377580505,5,141334,0.784,-0.461,-0.73,2
1545310150495746046,5,141450,0.782,-0.435,-0.728,2
1545310150732002624,5,141683,0.78,-0.388,-0.722,2
1545310150849669056,5,141798,0.779,-0.365,-0.719,2
1545310150968917541,5,141914,0.779,-0.343,-0.716,2
1545310151086849434,5,142030,0.778,-0.324,-0.715,2
1545310151205106666,5,142148,0.778,-0.305,-0.714,2
1545310151322663334,5,142263,0.777,-0.285,-0.713,2
1545310151441911223,5,142379,0.778,-0.266,-0.711,2
1545310151558685593,5,142496,0.779,-0.245,-0.708,2
1545310151677549512,5,142611,0.779,-0.225,-0.704,2
1545310151795988734,5,142727,0.779,-0.206,-0.7,2
1545310151914317197,5,142843,0.778,-0.188,-0.698,2
1545310152032075424,5,142960,0.777,-0.17,-0.696,2
1545310152149812141,5,143075,0.776,-0.151,-0.695,2
1545310152269051131,5,143192,0.774,-0.132,-0.697,2
1545310152387039369,5,143309,0.778,-0.12,-0.699,2
1545310152622940671,5,143540,0.788,-0.104,-0.711,2
1545310152740851597,5,143656,0.801,-0.099,-0.714,2
1545310152858753351,5,143773,0.813,-0.087,-0.714,2
1545310152976720108,5,143888,0.828,-0.075,-0.71,2
1545310153095990039,5,144004,0.844,-0.065,-0.706,2
1545310153213584923,5,144120,0.86,-0.056,-0.701,2
