rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags,angle
1545310129813982605,5,121126,1.666,0.03,-0.696,2,0.0
1545310129931906993,5,121244,1.684,0.029,-0.696,2,0.0
1545310130049912243,5,121360,1.702,0.025,-0.699,2,0.0
1545310130169517249,5,121475,1.721,0.026,-0.701,2,0.0
1545310130523788455,5,121823,1.754,0.019,-0.703,2,0.0
1545310130759204883,5,122055,1.819,0.01,-0.706,2,0.0
1545310130877243498,5,122172,1.853,0.005,-0.707,2,0.0
1545310130996250550,5,122288,1.871,0.004,-0.707,2,0.0
1545310131115036033,5,122404,1.888,-0.002,-0.71,2,0.0
1545310131232236471,5,122521,1.901,-0.018,-0.715,2,0.0
1545310131469646631,5,122752,1.921,-0.057,-0.718,2,0.0
1545310131587417177,5,122868,1.924,-0.072,-0.714,2,0.0
1545310131705276547,5,122985,1.926,-0.079,-0.709,2,0.0
1545310131823527066,5,123100,1.925,-0.091,-0.709,2,0.0
1545310131941192247,5,123216,1.925,-0.112,-0.706,2,0.0
1545310132059234877,5,123334,1.928,-0.135,-0.706,2,0.0
1545310132177468932,5,123450,1.931,-0.16,-0.705,2,0.0
1545310132296576841,5,123565,1.934,-0.183,-0.704,2,0.0
1545310132414592545,5,123681,1.936,-0.2,-0.706,2,0.0
1545310132533104762,5,123798,1.937,-0.221,-0.708,2,0.0
1545310132650792660,5,123914,1.938,-0.242,-0.709,2,0.0
1545310132768506533,5,124029,1.94,-0.263,-0.711,2,0.0
1545310132886955782,5,124145,1.942,-0.284,-0.713,2,0.0
1545310133005276323,5,124262,1.945,-0.302,-0.716,2,0.0
1545310133123172693,5,124378,1.948,-0.322,-0.717,2,0.0
1545310133241311392,5,124494,1.951,-0.342,-0.72,2,0.0
1545310133358882203,5,124611,1.954,-0.366,-0.723,2,0.0
1545310133478074209,5,124727,1.957,-0.389,-0.724,2,0.0
1545310133596404522,5,124842,1.96,-0.41,-0.725,2,0.0
1545310133713853753,5,124958,1.961,-0.432,-0.729,2,0.0
1545310133832054382,5,125075,1.959,-0.451,-0.739,2,0.0
1545310133950244113,5,125190,1.961,-0.473,-0.736,2,0.0
1545310134068702773,5,125306,1.964,-0.498,-0.734,2,0.0
1545310134186325870,5,125423,1.969,-0.523,-0.728,2,0.0
1545310134305411069,5,125541,1.976,-0.549,-0.716,2,0.0
1545310134423478900,5,125656,1.977,-0.574,-0.717,2,0.0
1545310134542069178,5,125772,1.978,-0.595,-0.718,2,0.0
1545310134659197118,5,125888,1.979,-0.616,-0.718,2,0.0
1545310134777083961,5,126005,1.98,-0.639,-0.717,2,0.0
1545310134896721059,5,126120,1.981,-0.657,-0.723,2,0.0
1545310135014822488,5,126236,1.98,-0.676,-0.73,2,0.0
1545310135132230913,5,126352,1.978,-0.695,-0.74,2,0.0
1545310135368150811,5,126585,1.975,-0.736,-0.749,2,0.0
1545310135486372966,5,126701,1.977,-0.76,-0.748,2,0.0
1545310135605882308,5,126818,1.977,-0.779,-0.748,2,0.0
1545310135723538634,5,126933,1.977,-0.797,-0.749,2,0.0
1545310135841390438,5,127049,1.979,-0.82,-0.745,2,0.0
1545310135959197157,5,127165,1.982,-0.845,-0.74,2,0.0
1545310136077201744,5,127282,1.987,-0.873,-0.732,2,0.0
1545310136196785326,5,127397,1.993,-0.9,-0.725,2,0.0
1545310136314356607,5,127514,1.995,-0.92,-0.723,2,0.0
1545310136431817220,5,127631,1.997,-0.938,-0.725,2,0.0
1545310136549851510,5,127746,1.998,-0.957,-0.725,2,0.0
1545310136669483620,5,127862,2.0,-0.979,-0.721,2,0.0
1545310136785935061,5,127978,2.002,-0.997,-0.721,2,0.0
1545310136905087615,5,128095,2.004,-1.019,-0.716,2,0.0
1545310137023622708,5,128210,2.006,-1.037,-0.714,2,0.0
1545310137141132310,5,128326,2.004,-1.051,-0.719,2,0.0
1545310137377176321,5,128559,2.006,-1.082,-0.709,2,0.0
1545310137495299356,5,128675,2.008,-1.114,-0.696,2,0.0
1545310137613860745,5,128791,2.007,-1.141,-0.692,2,0.0
1545310137731957989,5,128908,2.008,-1.17,-0.685,2,0.0
1545310137851611671,5,129023,2.005,-1.184,-0.69,2,0.0
1545310137968473061,5,129139,2.004,-1.199,-0.694,2,0.0
1545310138086511071,5,129255,2.002,-1.22,-0.686,2,0.0
1545310138204889985,5,129372,1.993,-1.228,-0.696,2,0.0
1545310138322827275,5,129487,1.988,-1.246,-0.689,2,0.0
1545310138441262994,5,129604,1.973,-1.251,-0.697,2,0.0
1545310138559392521,5,129721,1.96,-1.262,-0.693,2,0.0
1545310138677499279,5,129836,1.947,-1.278,-0.684,2,0.0
1545310138795472080,5,129952,1.926,-1.282,-0.69,2,0.0
1545310138914374435,5,130068,1.908,-1.289,-0.688,2,0.0
1545310139032614235,5,130185,1.889,-1.293,-0.693,2,0.0
1545310139150456497,5,130300,1.874,-1.303,-0.679,2,0.0
1545310139269099440,5,130416,1.858,-1.314,-0.665,2,0.0
1545310139504234173,5,130650,1.838,-1.326,-0.655,2,0.0
1545310139622137367,5,130766,1.812,-1.331,-0.658,2,0.0
1545310139741361100,5,130882,1.785,-1.335,-0.663,2,0.0
1545310139859299658,5,130999,1.758,-1.339,-0.673,2,0.0
1545310139978108269,5,131115,1.737,-1.339,-0.682,2,0.0
1545310140095291213,5,131230,1.713,-1.331,-0.696,2,0.0
1545310140213300001,5,131346,1.691,-1.327,-0.708,2,0.0
1545310140331354299,5,131463,1.67,-1.324,-0.712,2,0.0
1545310140450330310,5,131579,1.649,-1.323,-0.712,2,0.0
1545310140567869166,5,131695,1.633,-1.335,-0.691,2,0.0
