rosbagTimestamp,address,x_m,y_m,z_m
1545310448084224513,4,0.0,0.0,0.0
1545310448084399424,6,0.083,-1.252,0.0
1545310448084418848,9,2.644,0.0,0.0
1545310458367287150,4,0.0,0.0,0.0
1545310458367622499,6,0.083,-1.252,0.0
1545310458367860876,9,2.644,0.0,0.0
1545310468651287074,4,0.0,0.0,0.0
1545310468651297969,6,0.083,-1.252,0.0
1545310468651882206,9,2.644,0.0,0.0
1545310478934552982,4,0.0,0.0,0.0
1545310478935081307,6,0.083,-1.252,0.0
1545310478935112987,9,2.644,0.0,0.0
1545310489217537278,4,0.0,0.0,0.0
1545310489217552216,6,0.083,-1.252,0.0
1545310489217565591,9,2.644,0.0,0.0
1545310499501111571,4,0.0,0.0,0.0
1545310499501124953,6,0.083,-1.252,0.0
1545310499501168998,9,2.644,0.0,0.0
1545310509784195209,4,0.0,0.0,0.0
1545310509784214180,6,0.083,-1.252,0.0
1545310509784309716,9,2.644,0.0,0.0
1545310520066883024,4,0.0,0.0,0.0
1545310520067096919,6,0.083,-1.252,0.0
1545310520067816692,9,2.644,0.0,0.0
1545310530349396447,4,0.0,0.0,0.0
1545310530349698708,6,0.083,-1.252,0.0
1545310530349720450,9,2.644,0.0,0.0
