rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545310438871310660,5,425169,1.64,0.05,-0.74,2
1545310438988378057,5,425285,1.643,0.037,-0.731,2
1545310439106739678,5,425402,1.653,0.031,-0.716,2
1545310439225753136,5,425517,1.659,0.028,-0.7,2
1545310439344574012,5,425634,1.663,0.026,-0.69,2
1545310439462040682,5,425751,1.665,0.035,-0.689,2
1545310439579659232,5,425867,1.664,0.036,-0.689,2
1545310439697634732,5,425982,1.662,0.037,-0.696,2
1545310439816525474,5,426098,1.662,0.04,-0.697,2
1545310439934677283,5,426215,1.662,0.039,-0.696,2
1545310440053013715,5,426330,1.663,0.038,-0.696,2
1545310440171842247,5,426446,1.662,0.039,-0.696,2
1545310440288693326,5,426562,1.662,0.037,-0.697,2
1545310440407835783,5,426680,1.662,0.037,-0.697,2
1545310440525846648,5,426795,1.662,0.037,-0.696,2
1545310440643642881,5,426911,1.663,0.036,-0.696,2
1545310440762388063,5,427028,1.663,0.037,-0.696,2
1545310440879503801,5,427144,1.663,0.037,-0.696,2
1545310440998092916,5,427259,1.662,0.038,-0.697,2
1545310441116981466,5,427375,1.662,0.035,-0.698,2
1545310441234813032,5,427492,1.662,0.035,-0.698,2
1545310441352797666,5,427607,1.662,0.035,-0.698,2
1545310441471707801,5,427724,1.663,0.034,-0.698,2
1545310441588748366,5,427841,1.662,0.036,-0.699,2
1545310441707567270,5,427957,1.662,0.035,-0.698,2
1545310441825670445,5,428072,1.662,0.036,-0.697,2
1545310441944214821,5,428188,1.661,0.036,-0.696,2
1545310442061949805,5,428305,1.661,0.038,-0.694,2
1545310442179651378,5,428420,1.661,0.04,-0.695,2
1545310442298503171,5,428536,1.661,0.041,-0.696,2
1545310442416600884,5,428652,1.662,0.04,-0.697,2
1545310442535650556,5,428770,1.662,0.038,-0.697,2
1545310442653553814,5,428886,1.662,0.039,-0.697,2
1545310442890980463,5,429118,1.661,0.038,-0.698,2
1545310443007837408,5,429235,1.66,0.039,-0.7,2
1545310443125968116,5,429350,1.655,0.039,-0.715,2
1545310443243989338,5,429466,1.651,0.042,-0.723,2
1545310443362949216,5,429582,1.648,0.045,-0.732,2
1545310443480834652,5,429699,1.646,0.049,-0.739,2
1545310443599427324,5,429815,1.649,0.052,-0.733,2
1545310443716522063,5,429931,1.65,0.049,-0.731,2
1545310443834429638,5,430048,1.65,0.047,-0.731,2
1545310443953038702,5,430163,1.652,0.043,-0.727,2
1545310444072192229,5,430279,1.652,0.04,-0.729,2
1545310444307717334,5,430512,1.649,0.039,-0.737,2
1545310444425442229,5,430627,1.648,0.04,-0.736,2
1545310444543676764,5,430743,1.652,0.039,-0.727,2
1545310444781457220,5,430976,1.662,0.038,-0.704,2
1545310444899274629,5,431092,1.663,0.036,-0.701,2
1545310445016685207,5,431208,1.663,0.035,-0.701,2
1545310445134906090,5,431325,1.663,0.037,-0.7,2
1545310445253046240,5,431440,1.663,0.036,-0.7,2
1545310445372918590,5,431556,1.664,0.034,-0.7,2
1545310445490891201,5,431672,1.665,0.028,-0.701,2
1545310445608520114,5,431789,1.666,0.018,-0.71,2
1545310445725596546,5,431905,1.661,0.017,-0.717,2
1545310445843751398,5,432021,1.656,0.023,-0.717,2
1545310445962692042,5,432138,1.647,0.036,-0.715,2
1545310446081170854,5,432253,1.64,0.051,-0.703,2
1545310446199191120,5,432369,1.653,0.027,-0.714,2
1545310446435377506,5,432602,1.658,0.018,-0.714,2
1545310446555594626,5,432717,1.665,0.01,-0.713,2
1545310446672724690,5,432833,1.672,-0.001,-0.719,2
1545310446792087305,5,432951,1.664,0.009,-0.702,2
1545310446908186297,5,433066,1.663,0.003,-0.706,2
1545310447025805822,5,433182,1.66,-0.002,-0.703,2
1545310447144785654,5,433298,1.655,-0.015,-0.703,2
1545310447262700893,5,433415,1.646,-0.012,-0.706,2
1545310447381426791,5,433530,1.64,-0.013,-0.708,2
1545310447498671496,5,433646,1.637,-0.02,-0.712,2
1545310447616614382,5,433762,1.638,-0.006,-0.709,2
1545310447735675335,5,433879,1.645,-0.002,-0.706,2
1545310447854538312,5,433996,1.654,-0.003,-0.702,2
1545310447971959489,5,434112,1.66,0.004,-0.706,2
1545310448089839807,5,434229,1.662,0.003,-0.708,2
1545310448207931448,5,434345,1.661,0.014,-0.705,2
1545310448325569019,5,434460,1.658,0.027,-0.703,2
1545310448444558307,5,434576,1.658,0.027,-0.703,2
1545310448563150275,5,434693,1.66,0.023,-0.707,2
1545310448681857661,5,434809,1.664,0.012,-0.712,2
1545310448916775502,5,435041,1.666,0.008,-0.715,2
1545310449035748145,5,435158,1.667,0.006,-0.716,2
1545310449155215417,5,435273,1.667,0.008,-0.715,2
1545310449272269610,5,435389,1.668,0.01,-0.715,2
1545310449390045091,5,435506,1.669,0.006,-0.714,2
1545310449507573961,5,435622,1.67,0.01,-0.709,2
1545310449626760545,5,435737,1.676,0.014,-0.705,2
1545310449744706997,5,435853,1.687,0.018,-0.701,2
1545310449863808266,5,435970,1.702,0.024,-0.699,2
1545310449980752754,5,436086,1.721,0.024,-0.698,2
1545310450098926196,5,436202,1.742,0.019,-0.7,2
1545310450217122386,5,436318,1.763,0.017,-0.702,2
1545310450335857364,5,436435,1.784,0.012,-0.703,2
1545310450454019917,5,436550,1.807,0.006,-0.706,2
1545310450571971894,5,436666,1.828,0.007,-0.705,2
1545310450690111230,5,436783,1.85,0.005,-0.704,2
1545310450808023912,5,436899,1.869,0.003,-0.703,2
1545310450928344309,5,437014,1.886,-0.002,-0.705,2
1545310451045110520,5,437131,1.9,-0.019,-0.709,2
1545310451163008109,5,437248,1.907,-0.031,-0.712,2
1545310451398963807,5,437479,1.914,-0.05,-0.711,2
1545310451517992175,5,437596,1.918,-0.068,-0.708,2
1545310451635782754,5,437712,1.92,-0.084,-0.707,2
1545310451753843192,5,437827,1.925,-0.109,-0.706,2
1545310451871635207,5,437943,1.928,-0.131,-0.708,2
1545310451990186308,5,438060,1.93,-0.15,-0.709,2
1545310452108833399,5,438176,1.933,-0.171,-0.71,2
1545310452226550313,5,438292,1.935,-0.191,-0.711,2
1545310452345867353,5,438408,1.936,-0.208,-0.712,2
1545310452463366011,5,438525,1.938,-0.23,-0.712,2
1545310452581254174,5,438640,1.94,-0.25,-0.711,2
1545310452698983822,5,438756,1.943,-0.268,-0.712,2
1545310452817934781,5,438873,1.946,-0.287,-0.713,2
1545310452935935013,5,438989,1.949,-0.307,-0.715,2
1545310453054284055,5,439104,1.952,-0.327,-0.718,2
1545310453408690368,5,439455,1.956,-0.361,-0.719,2
1545310453526551107,5,439570,1.959,-0.393,-0.721,2
1545310453645539238,5,439686,1.963,-0.426,-0.721,2
1545310453762675517,5,439803,1.968,-0.458,-0.717,2
1545310453881592833,5,439919,1.971,-0.479,-0.714,2
1545310453999655508,5,440034,1.973,-0.501,-0.713,2
1545310454235933175,5,440268,1.976,-0.527,-0.713,2
1545310454354051804,5,440383,1.977,-0.555,-0.717,2
1545310454473416631,5,440499,1.977,-0.583,-0.718,2
1545310454591049590,5,440616,1.978,-0.611,-0.718,2
1545310454709184499,5,440732,1.978,-0.635,-0.717,2
1545310454826747852,5,440847,1.978,-0.656,-0.716,2
1545310455181598585,5,441196,1.977,-0.686,-0.723,2
1545310455299549403,5,441312,1.977,-0.72,-0.727,2
1545310455417673110,5,441429,1.977,-0.749,-0.735,2
1545310455535800095,5,441545,1.978,-0.78,-0.741,2
1545310455654837315,5,441660,1.98,-0.802,-0.74,2
1545310455892740924,5,441893,1.981,-0.825,-0.741,2
1545310456008923857,5,442009,1.984,-0.855,-0.734,2
1545310456127222731,5,442124,1.987,-0.883,-0.73,2
1545310456245309090,5,442240,1.99,-0.91,-0.725,2
1545310456364914203,5,442358,1.992,-0.933,-0.721,2
1545310456482183543,5,442473,1.994,-0.953,-0.72,2
1545310456600020882,5,442589,1.998,-0.972,-0.719,2
1545310456717646954,5,442706,1.999,-0.99,-0.719,2
1545310456836062609,5,442822,2.002,-1.008,-0.718,2
1545310456955553217,5,442937,2.006,-1.028,-0.716,2
1545310457073562457,5,443053,2.006,-1.047,-0.713,2
1545310457191212608,5,443170,2.008,-1.07,-0.71,2
1545310457426844979,5,443402,2.007,-1.096,-0.708,2
1545310457547236915,5,443519,2.006,-1.124,-0.703,2
1545310457664334642,5,443635,2.005,-1.15,-0.701,2
1545310457782640820,5,443750,2.002,-1.175,-0.698,2
1545310457899115147,5,443866,2.001,-1.197,-0.692,2
1545310458017149469,5,443983,1.999,-1.215,-0.689,2
1545310458137783878,5,444099,1.995,-1.227,-0.689,2
1545310458255040500,5,444214,1.99,-1.24,-0.688,2
1545310458373636224,5,444330,1.98,-1.248,-0.689,2
1545310458491405097,5,444448,1.965,-1.258,-0.686,2
1545310458609496610,5,444564,1.954,-1.279,-0.669,2
1545310458727656876,5,444680,1.936,-1.292,-0.659,2
1545310458845795510,5,444796,1.919,-1.306,-0.648,2
1545310458964972961,5,444913,1.901,-1.312,-0.645,2
1545310459200121506,5,445144,1.875,-1.312,-0.655,2
1545310459319504424,5,445260,1.85,-1.315,-0.662,2
1545310459437042740,5,445377,1.826,-1.322,-0.664,2
1545310459554674607,5,445493,1.801,-1.328,-0.669,2
1545310459673314652,5,445609,1.781,-1.336,-0.666,2
1545310459791844978,5,445726,1.762,-1.342,-0.668,2
1545310459910557931,5,445841,1.738,-1.338,-0.683,2
1545310460028550346,5,445957,1.713,-1.332,-0.695,2
1545310460147095403,5,446073,1.685,-1.32,-0.712,2
1545310460265008338,5,446190,1.661,-1.317,-0.717,2
1545310460383180782,5,446305,1.64,-1.318,-0.713,2
1545310460501488573,5,446421,1.623,-1.333,-0.691,2
1545310460619555601,5,446539,1.605,-1.342,-0.678,2
1545310460737051976,5,446655,1.585,-1.35,-0.662,2
1545310460855218165,5,446770,1.565,-1.356,-0.657,2
1545310460973473264,5,446886,1.541,-1.364,-0.635,2
1545310461092411317,5,447003,1.518,-1.364,-0.639,2
1545310461211239787,5,447118,1.493,-1.36,-0.645,2
1545310461328524808,5,447234,1.468,-1.352,-0.654,2
1545310461446173033,5,447350,1.443,-1.331,-0.696,2
1545310461564541161,5,447467,1.421,-1.33,-0.696,2
1545310461683312662,5,447583,1.398,-1.324,-0.706,2
1545310461918746899,5,447816,1.372,-1.329,-0.699,2
1545310462036312319,5,447931,1.346,-1.333,-0.691,2
1545310462154159089,5,448047,1.32,-1.339,-0.677,2
1545310462274750952,5,448163,1.297,-1.313,-0.719,2
1545310462392495255,5,448280,1.277,-1.291,-0.754,2
1545310462509719923,5,448395,1.257,-1.293,-0.743,2
1545310462627882006,5,448511,1.236,-1.283,-0.753,2
1545310462745722326,5,448629,1.214,-1.307,-0.71,2
1545310462865845966,5,448745,1.192,-1.321,-0.68,2
1545310462983721676,5,448860,1.17,-1.31,-0.697,2
1545310463101673306,5,448976,1.153,-1.313,-0.697,2
1545310463218229678,5,449093,1.137,-1.317,-0.693,2
1545310463457486996,5,449324,1.115,-1.317,-0.694,2
1545310463574799403,5,449440,1.096,-1.321,-0.693,2
1545310463693111361,5,449557,1.071,-1.317,-0.7,2
1545310463809815891,5,449674,1.046,-1.314,-0.707,2
1545310463927260712,5,449790,1.026,-1.314,-0.708,2
1545310464046124550,5,449906,1.005,-1.313,-0.71,2
1545310464165406173,5,450023,0.982,-1.311,-0.711,2
1545310464283300454,5,450138,0.96,-1.309,-0.711,2
1545310464401311550,5,450254,0.939,-1.307,-0.712,2
1545310464519777116,5,450371,0.919,-1.303,-0.715,2
1545310464637945514,5,450487,0.9,-1.301,-0.715,2
1545310464874297578,5,450719,0.872,-1.296,-0.721,2
1545310464992500033,5,450836,0.849,-1.29,-0.725,2
1545310465110350667,5,450951,0.826,-1.276,-0.733,2
1545310465229404929,5,451067,0.81,-1.251,-0.751,2
1545310465347195413,5,451183,0.804,-1.236,-0.752,2
1545310465465549968,5,451300,0.799,-1.224,-0.751,2
1545310465583246580,5,451415,0.802,-1.22,-0.743,2
1545310465702917126,5,451531,0.805,-1.223,-0.727,2
1545310465820579120,5,451648,0.812,-1.215,-0.72,2
1545310465937991128,5,451764,0.816,-1.199,-0.718,2
1545310466055970399,5,451880,0.814,-1.175,-0.719,2
1545310466292541276,5,452113,0.811,-1.152,-0.715,2
1545310466412046626,5,452228,0.806,-1.128,-0.713,2
1545310466528960727,5,452344,0.801,-1.105,-0.713,2
1545310466647381418,5,452460,0.8,-1.087,-0.711,2
1545310466764883348,5,452577,0.799,-1.07,-0.714,2
1545310466884481758,5,452692,0.799,-1.053,-0.716,2
1545310467003254399,5,452809,0.8,-1.038,-0.717,2
1545310467120334862,5,452926,0.802,-1.022,-0.718,2
1545310467238413514,5,453041,0.8,-1.0,-0.718,2
1545310467355894941,5,453157,0.799,-0.981,-0.719,2
1545310467473773677,5,453273,0.798,-0.961,-0.718,2
1545310467710788875,5,453505,0.797,-0.938,-0.715,2
1545310467829554191,5,453621,0.797,-0.916,-0.713,2
1545310467947463885,5,453738,0.797,-0.891,-0.712,2
1545310468066008105,5,453854,0.798,-0.866,-0.711,2
1545310468184417750,5,453970,0.798,-0.843,-0.71,2
1545310468302348464,5,454086,0.797,-0.82,-0.71,2
1545310468420099899,5,454203,0.794,-0.793,-0.71,2
1545310468537805385,5,454318,0.791,-0.764,-0.71,2
1545310468655745979,5,454434,0.786,-0.733,-0.714,2
1545310468775101655,5,454550,0.782,-0.699,-0.715,2
1545310468894053830,5,454667,0.782,-0.676,-0.717,2
1545310469012748254,5,454782,0.782,-0.655,-0.72,2
1545310469247387123,5,455017,0.783,-0.63,-0.721,2
1545310469365560110,5,455133,0.784,-0.607,-0.722,2
1545310469603076080,5,455364,0.787,-0.582,-0.724,2
1545310469720025459,5,455481,0.787,-0.553,-0.725,2
1545310469956112362,5,455712,0.787,-0.523,-0.724,2
1545310470075130739,5,455828,0.788,-0.495,-0.724,2
1545310470193772480,5,455946,0.784,-0.466,-0.721,2
1545310470312542789,5,456061,0.782,-0.439,-0.716,2
1545310470666133184,5,456410,0.78,-0.39,-0.714,2
1545310470783966846,5,456525,0.78,-0.365,-0.713,2
1545310471020101970,5,456758,0.782,-0.323,-0.715,2
1545310471138283839,5,456874,0.782,-0.303,-0.714,2
1545310471256325411,5,456990,0.782,-0.285,-0.713,2
1545310471493332987,5,457223,0.78,-0.246,-0.709,2
1545310471612094132,5,457338,0.779,-0.226,-0.707,2
1545310471846898359,5,457571,0.778,-0.201,-0.704,2
1545310472203039688,5,457918,0.778,-0.169,-0.702,2
1545310472320034227,5,458036,0.778,-0.143,-0.707,2
1545310472557302931,5,458267,0.789,-0.104,-0.714,2
1545310472674304722,5,458384,0.802,-0.096,-0.715,2
1545310472793842579,5,458500,0.816,-0.086,-0.71,2
1545310472911308471,5,458615,0.832,-0.078,-0.707,2
1545310473030412495,5,458731,0.847,-0.068,-0.703,2
1545310473148063608,5,458848,0.862,-0.063,-0.701,2
1545310473265296924,5,458964,0.881,-0.059,-0.699,2
1545310473383332515,5,459080,0.899,-0.056,-0.699,2
1545310473502358174,5,459197,0.917,-0.054,-0.698,2
1545310473620750944,5,459313,0.934,-0.052,-0.699,2
