rosbagTimestamp,timestamp_ms,x_m,y_m,z_m,flags
1545310681645784830,663706,1.032,-0.049,-0.752,2
1545310681763696748,663823,1.023,-0.034,-0.733,2
1545310681882154139,663940,1.015,-0.028,-0.719,2
1545310681999728319,664056,1.013,-0.041,-0.732,2
1545310682118901431,664173,1.0,-0.028,-0.715,2
1545310682236558401,664289,0.994,-0.031,-0.719,2
1545310682356171815,664404,0.99,-0.027,-0.718,2
1545310682473308471,664520,0.99,-0.025,-0.713,2
1545310682827980792,664868,0.991,-0.026,-0.713,2
1545310682945933070,664985,0.993,-0.026,-0.712,2
1545310683064184645,665102,0.993,-0.025,-0.71,2
1545310683182114249,665217,0.993,-0.026,-0.71,2
1545310683301468771,665333,0.993,-0.027,-0.71,2
1545310683417302259,665450,0.971,-0.031,-0.738,2
1545310683537008425,665566,0.97,-0.031,-0.742,2
1545310683655633871,665681,0.965,-0.029,-0.748,2
1545310683772854003,665797,0.964,-0.028,-0.752,2
1545310683891167672,665914,0.986,-0.024,-0.723,2
1545310684009283772,666030,0.987,-0.022,-0.722,2
1545310684127719179,666146,0.993,-0.016,-0.709,2
1545310684245937163,666263,0.991,-0.012,-0.697,2
1545310684363842100,666379,0.999,-0.029,-0.715,2
1545310684483059555,666494,1.001,-0.022,-0.706,2
1545310684600176972,666610,1.005,-0.025,-0.711,2
1545310684718757215,666727,1.008,-0.018,-0.706,2
1545310684836892133,666843,0.999,0.006,-0.673,2
1545310684954952445,666958,1.0,-0.005,-0.679,2
1545310685072549423,667075,0.986,-0.003,-0.69,2
1545310685190916878,667192,0.988,0.0,-0.692,2
1545310685309027986,667307,0.99,0.007,-0.684,2
1545310685427991176,667423,1.007,0.005,-0.683,2
1545310685664000087,667656,1.054,0.016,-0.635,2
1545310685900233304,667887,1.086,0.03,-0.632,2
1545310686018973177,668004,1.097,0.02,-0.655,2
1545310686136808234,668120,1.102,0.01,-0.676,2
1545310686254409492,668236,1.103,0.006,-0.691,2
1545310686372747529,668352,1.102,0.017,-0.695,2
1545310686491337898,668469,1.103,0.019,-0.694,2
1545310686609587537,668584,1.102,0.019,-0.693,2
1545310686728115731,668700,1.102,0.019,-0.688,2
1545310686845881459,668817,1.103,0.006,-0.686,2
1545310686964106239,668933,1.103,0.001,-0.69,2
1545310687081954965,669048,1.104,-0.004,-0.693,2
1545310687200260986,669165,1.105,-0.009,-0.702,2
1545310687319030084,669283,1.105,-0.02,-0.71,2
1545310687436503619,669399,1.105,-0.012,-0.707,2
1545310687554848765,669514,1.106,-0.009,-0.705,2
1545310687673882419,669630,1.108,-0.007,-0.706,2
1545310687790912624,669747,1.11,0.003,-0.709,2
1545310687909215512,669863,1.115,-0.003,-0.719,2
1545310688027561830,669978,1.114,-0.003,-0.718,2
1545310688145444164,670094,1.113,0.0,-0.716,2
1545310688263976287,670212,1.108,0.025,-0.706,2
1545310688382487598,670327,1.104,0.025,-0.698,2
1545310688500097560,670443,1.103,0.025,-0.698,2
1545310688618786578,670560,1.105,0.019,-0.697,2
1545310688737829703,670676,1.113,-0.013,-0.712,2
1545310688854920629,670791,1.119,-0.013,-0.723,2
1545310688973192429,670907,1.132,-0.031,-0.752,2
1545310689091007842,671024,1.136,-0.036,-0.764,2
1545310689211614094,671139,1.133,-0.026,-0.759,2
1545310689328064037,671256,1.145,-0.062,-0.776,2
1545310689445737909,671373,1.141,-0.04,-0.766,2
1545310689563761727,671489,1.135,-0.018,-0.747,2
1545310689682529787,671604,1.132,-0.029,-0.746,2
1545310689799929421,671720,1.115,0.008,-0.718,2
1545310689919999829,671837,1.105,0.006,-0.695,2
1545310690037195360,671953,1.103,-0.007,-0.696,2
1545310690154741315,672068,1.101,0.001,-0.69,2
1545310690273102710,672184,1.1,0.001,-0.689,2
1545310690390827321,672302,1.101,-0.004,-0.697,2
1545310690510382384,672417,1.1,-0.006,-0.7,2
1545310690628266047,672533,1.101,-0.008,-0.702,2
1545310690746943716,672650,1.101,-0.006,-0.701,2
1545310690864005345,672766,1.102,-0.008,-0.703,2
1545310690982355473,672881,1.104,-0.007,-0.702,2
1545310691100869084,672997,1.105,-0.008,-0.703,2
1545310691218902513,673114,1.105,-0.009,-0.705,2
1545310691336825139,673230,1.105,-0.01,-0.705,2
1545310691573301220,673463,1.104,-0.012,-0.705,2
1545310691690754501,673579,1.103,-0.014,-0.706,2
1545310691809904551,673694,1.103,-0.01,-0.702,2
1545310691929508342,673810,1.101,-0.005,-0.699,2
1545310692046390642,673927,1.101,-0.004,-0.699,2
1545310692163796207,674043,1.101,-0.004,-0.698,2
1545310692281645196,674158,1.101,-0.008,-0.7,2
1545310692401524239,674274,1.102,-0.009,-0.702,2
