rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags,angle
1545310681528150277,5,663590,1.021,-0.027,-0.73,2,0.0
1545310681645711366,5,663706,1.032,-0.049,-0.752,2,0.0
1545310681763700158,5,663823,1.023,-0.034,-0.733,2,0.0
1545310681882066246,5,663940,1.015,-0.028,-0.719,2,0.0
1545310681999591053,5,664056,1.013,-0.041,-0.732,2,0.0
1545310682118218642,5,664173,1.0,-0.028,-0.715,2,0.0
1545310682236520414,5,664289,0.994,-0.031,-0.719,2,0.0
1545310682356105431,5,664404,0.99,-0.027,-0.718,2,0.0
1545310682473066728,5,664520,0.99,-0.025,-0.713,2,0.0
1545310682827928147,5,664868,0.991,-0.026,-0.713,2,0.0
1545310682945881196,5,664985,0.993,-0.026,-0.712,2,0.0
1545310683064148082,5,665102,0.993,-0.025,-0.71,2,0.0
1545310683181954011,5,665217,0.993,-0.026,-0.71,2,0.0
1545310683301448152,5,665333,0.993,-0.027,-0.71,2,0.0
1545310683417249345,5,665450,0.971,-0.031,-0.738,2,0.0
1545310683536796655,5,665566,0.97,-0.031,-0.742,2,0.0
1545310683655598079,5,665681,0.965,-0.029,-0.748,2,0.0
1545310683772794899,5,665797,0.964,-0.028,-0.752,2,0.0
1545310683891128672,5,665914,0.986,-0.024,-0.723,2,0.0
1545310684009231263,5,666030,0.987,-0.022,-0.722,2,0.0
1545310684127620705,5,666146,0.993,-0.016,-0.709,2,0.0
1545310684245928854,5,666263,0.991,-0.012,-0.697,2,0.0
1545310684363816799,5,666379,0.999,-0.029,-0.715,2,0.0
1545310684482845980,5,666494,1.001,-0.022,-0.706,2,0.0
1545310684599831055,5,666610,1.005,-0.025,-0.711,2,0.0
1545310684718438345,5,666727,1.008,-0.018,-0.706,2,0.0
1545310684836875288,5,666843,0.999,0.006,-0.673,2,0.0
1545310684954914100,5,666958,1.0,-0.005,-0.679,2,0.0
1545310685072421531,5,667075,0.986,-0.003,-0.69,2,0.0
1545310685190730772,5,667192,0.988,0.0,-0.692,2,0.0
1545310685308957224,5,667307,0.99,0.007,-0.684,2,0.0
1545310685427845300,5,667423,1.007,0.005,-0.683,2,0.0
1545310685663955402,5,667656,1.054,0.016,-0.635,2,0.0
1545310685900095095,5,667887,1.086,0.03,-0.632,2,0.0
1545310686018905856,5,668004,1.097,0.02,-0.655,2,0.0
1545310686136658311,5,668120,1.102,0.01,-0.676,2,0.0
1545310686254351135,5,668236,1.103,0.006,-0.691,2,0.0
1545310686372634410,5,668352,1.102,0.017,-0.695,2,0.0
1545310686491111706,5,668469,1.103,0.019,-0.694,2,0.0
1545310686609522363,5,668584,1.102,0.019,-0.693,2,0.0
1545310686728046560,5,668700,1.102,0.019,-0.688,2,0.0
1545310686845840118,5,668817,1.103,0.006,-0.686,2,0.0
1545310686963893764,5,668933,1.103,0.001,-0.69,2,0.0
1545310687081674389,5,669048,1.104,-0.004,-0.693,2,0.0
1545310687200067766,5,669165,1.105,-0.009,-0.702,2,0.0
1545310687318795822,5,669283,1.105,-0.02,-0.71,2,0.0
1545310687436431993,5,669399,1.105,-0.012,-0.707,2,0.0
1545310687554782291,5,669514,1.106,-0.009,-0.705,2,0.0
