rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,orientation,x,y,z,w,orientation_covariance,angular_velocity,x,y,z,angular_velocity_covariance,linear_acceleration,x,y,z,linear_acceleration_covariance
1545310737717539598,,270,,1545310737,717003541,"""imu_link""",,-0.1895994064,-0.1003386377,-0.3949092452,0.8933126423,"[0.002252425765618682, 0.00012236808834131807, 0.0015859530540183187, 0.00012236798647791147, 0.0015487488126382232, 0.00023221896844916046, 0.0015859591076150537, 0.00023221869196277112, 0.00501057505607605]",,-0.49534831782,0.599744307382,-0.830906855698,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,0.3233502,-0.26406933,9.99691035,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545310737768259499,,271,,1545310737,767622026,"""imu_link""",,-0.1881559265,-0.0871459028,-0.4183406166,0.8842825006,"[0.0022756338585168123, 0.00014416323392651975, 0.001584246871061623, 0.0001441631611669436, 0.0015561721520498395, 0.0002719818730838597, 0.0015842533903196454, 0.0002719814074225724, 0.004909673240035772]",,-0.478304074626,0.611462224578,-0.843690038094,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,0.20658485,-0.56945563,9.88912695,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545310737818693737,,272,,1545310737,818153239,"""imu_link""",,-0.186645308,-0.074523846,-0.4426112205,0.873808879,"[0.002292417222633958, 0.00016273198707494885, 0.0015788971213623881, 0.0001627319579711184, 0.001557638170197606, 0.00030250943382270634, 0.0015789031749591231, 0.00030250896816141903, 0.004797645844519138]",,-0.490021991822,0.566721086194,-0.93636811046,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,0.18682456,-0.4311336,9.99691035,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545310737869193668,,273,,1545310737,868471409,"""imu_link""",,-0.1853361053,-0.0631774226,-0.4648676664,0.8621939012,"[0.0023133137729018927, 0.00018144596833735704, 0.001573785557411611, 0.00018144596833735704, 0.0015623338986188173, 0.000331132672727108, 0.0015737914945930243, 0.00033113217796199024, 0.004687810316681862]",,-0.471912483429,0.576308472991,-0.830906855698,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,0.46167223,-0.44191194,9.82086413,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545310737920246710,,274,,1545310737,919908857,"""imu_link""",,-0.1844297342,-0.0494140096,-0.4875940825,0.8519552647,"[0.0023353390861302614, 0.00020247435895726085, 0.0015616201562806964, 0.0002024744899244979, 0.0015743942931294441, 0.00036292485310696065, 0.0015616263262927532, 0.0003629242710303515, 0.004579202737659216]",,-0.466586157431,0.591222185785,-0.801079430109,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,0.16706427,-0.50119281,9.88912695,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545310737971665559,,275,,1545310737,970582635,"""imu_link""",,-0.1838926254,-0.0384704178,-0.5084070485,0.8403738562,"[0.0023600957356393337, 0.00022121139045339078, 0.001554206945002079, 0.00022121156507637352, 0.0015832737553864717, 0.0003872523957397789, 0.0015542126493528485, 0.00038725201738998294, 0.004471347201615572]",,-0.484695665824,0.453802975035,-0.843690038094,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,0.11856174,-0.54969534,10.00768869,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545310738019496924,,276,,1545310738,19149892,"""imu_link""",,-0.1812406507,-0.0259154996,-0.5292200145,0.8283896161,"[0.0023682420141994953, 0.00024065360776148736, 0.001536003896035254, 0.00024065389879979193, 0.0015870881034061313, 0.0004133111797273159, 0.0015360102988779545, 0.00041331080137751997, 0.00435778358951211]",,-0.451672444636,0.66046442376,-0.784035186915,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,-0.26406933,-0.55867729,9.75260131,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545310738070980820,,277,,1545310738,70703528,"""imu_link""",,-0.1794950471,-0.0133941507,-0.549865134,0.8156332821,"[0.0023869264405220747, 0.00026185926981270313, 0.0015193670988082886, 0.00026185970637016, 0.0015977589646354318, 0.0004390040412545204, 0.0015193740837275982, 0.00043900348828174174, 0.0042427885346114635]",,-0.485760931024,0.478304074626,-0.823449999301,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,0.05928087,-0.40239136,10.01667064,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545310738120965572,,278,,1545310738,120454382,"""imu_link""",,-0.1791593541,-0.0035919151,-0.5699731447,0.8018698691,"[0.0024098556023091078, 0.000278380059171468, 0.0015059371944516897, 0.00027838049572892487, 0.0016047803219407797, 0.0004530683800112456, 0.0015059453435242176, 0.00045306788524612784, 0.004127010237425566]",,-0.459129301033,0.561394760196,-0.808536286506,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,0.18682456,-0.28382962,10.0957118,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
1545310738171817691,,279,,1545310738,171222670,"""imu_link""",,-0.1779508593,0.0059753354,-0.5930352538,0.7852530656,"[0.0024308771826326847, 0.0002903684217017144, 0.0014797921758145094, 0.00029036917840130627, 0.0016143100801855326, 0.0004580174863804132, 0.0014797999756410718, 0.0004580168460961431, 0.003998148255050182]",,-0.483630400624,0.884170115679,-1.04289463042,"[2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05]",,2.92272653,0.18682456,9.23164821,"[0.0036, 0.0, 0.0, 0.0, 0.0036, 0.0, 0.0, 0.0, 0.0036]"
